Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,131.17505,138,160,160,163,166,176,184,152,140,116,104,8.8,7.7,6.6,5.5,3.3,2.2,2.2,1.1,1.1,29,23,39,37,36,39,268,383,551,799,1631,1367,1485,1673
Albania,1563.07751,1698,1874,2039,2216,2370,2389,2352,2407,2417,2283,1198,403,236,186,88,125,43,54,54,33,23,17,64,64,50,50,50,67,11,11,5.5,5.5,3.3,
Algeria,7.71618,7.7,7.7,7.7,7.7,8.8,9.9,8.8,11,17,11,17,17,22,22,24,13,12,8.8,5.5,,,,,,,,,,,,,,,
Argentina,429.9009,549,568,536,561,441,401,411,564,567,304,322,223,185,383,336,342,277,320,370,285,205,51,98,56,28,155,121,177,90,72,99,105,91,92
Australia,115195.8042,133350,139098,152683,162789,177170,189058,214906,193591,215458,225491,242075,251700,249194,248463,266546,272435,291515,316750,320774,338103,362855,374673,376616,386144,408505,412984,431046,432383,449631,467823,461799,492786,521121,553283
Austria,3158.11815,3374,3634,3352,3228,3396,3273,3071,2347,2277,2698,2294,1953,1865,1510,1431,1221,1246,1257,1253,1377,1329,1556,1270,259,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,25,71,196,334,428,746,913,777,735,920,931,942
Belgium,6971.00844,6819,7249,6745,6991,6875,6200,4817,2741,2087,1142,699,240,,,,,,,,,,,,,,,,,,,,,,
Bhutan,0.05512,0.09921,0.1,0.2,0.4,0.6,0.9,2,2.2,2.2,2.2,2.2,62,51,71,75,71,60,55,55,55,93,98,73,33,94,108,116,112,89,67,114,124,86,93
"Bosnia and Herzegovina",,,,,,,,,,,,,1653,1433,1543,1808,1863,6011,7755,7465,8200,8325,5592,5973,6216,6356,6499,6761,7452,7390,7047,7829,7684,6875,6798
Botswana,408.95751,420,457,435,433,482,540,537,671,731,875,864,993,981,993,1003,802,855,1019,793,1036,1009,1051,907,1004,1086,1060,913,1003,814,1089,869,1621,1649,1653
Brazil,5778.30902,6271,6995,7426,8288,8501,8147,7588,8081,7354,5065,5719,5215,5065,5659,5731,5297,6225,6080,6239,7502,6232,5670,5121,5959,6895,6484,6575,7288,6293,5969,6068,7293,9473,7132
Bulgaria,33304.09203,32233,35511,35704,37099,34039,38827,40586,37641,37807,34916,31295,33426,32002,31699,33984,34505,32747,33192,27886,29136,29334,28680,30092,29195,27222,28305,31364,31734,29967,32413,40927,36847,31537,34506
"Burma (Myanmar)",41.88783,62,74,78,96,95,108,82,72,72,76,83,80,64,58,64,58,54,57,207,639,708,537,944,515,633,808,854,737,683,756,764,930,636,449
Canada,40441.54928,44189,47297,49391,63275,67079,62885,67469,77870,77743,75323,78412,72327,76063,80274,82652,83615,86723,82825,79894,76239,77553,73312,68513,72749,72582,73296,76461,75678,71251,74835,73980,73299,75958,74595
Chile,1284.19115,1251,1130,1135,1349,1462,1839,1760,2162,2190,2406,2434,1792,1494,1303,1144,1107,1151,1037,535,403,635,477,635,257,600,743,268,735,701,682,721,785,3338,3364
China,683587.3665,685230,734492,787635,869977,961524,985510,1023044,1080122,1162002,1189725,1195214,1228581,1269179,1355314,1424396,1504610,1460849,1436118,1415748,1525800,1622078,1709022,2022627,2339775,2607124,2832640,3042256,3200453,3434086,3779212,4149575,4348754,4380935,4270259.653
Colombia,4590.01884,4721,5130,5596,7311,9663,11628,14731,16502,20101,23562,21929,24049,23302,24911,28275,33068,35897,37157,36065,42155,48849,44198,55646,59728,65107,72307,77054,81022,80256,81957,94582,98132,94247,97640
"Congo (Kinshasa)",152.12,154,136,125,133,133,131,134,165,121,86,88,94,101,104,105,105,103,106,106,106,109,112,116,119,132,136,140,144,149,153,158,146,161,146
Croatia,,,,,,,,,,,,,132,128,114,90,73,54,56,17,,,,,,,,,,,,,,,
"Czech Republic",,,,,,,,,,,,,,93896,84816,82564,85038,81589,74438,65183,71829,72869,69838,70444,70632,68372,69339,69033,66359,62189,60857,64002,61566,53990,51651
Egypt,,,,,,,,,,,,,,,,,,,,43,64,41,41,41,36,28,28,28,28,76,42,9.9,23,3.3,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,40,23,,,
Czechoslovakia,137244.3781,134745,137146,141556,144636,141544,141079,140837,138308,131863,116977,110566,99276,,,,,,,,,,,,,,,,,,,,,,
"Serbia and Montenegro",,,,,,,,,,,,,42345,40632,37203,44748,44673,47375,48585,36486,40889,40058,42326,44400,45368,,,,,,,,,,
"Soviet Union",789714.5973,772801,785678,778854,785338,800719,828063,837580,851310,816066,881836,701655,,,,,,,,,,,,,,,,,,,,,,,
Yugoslavia,45526.46225,57235,60257,65468,71730,77012,77002,78771,79999,82226,83608,78036,,,,,,,,,,,,,,,,,,,,,,,
France,25077.5525,25618,24047,23411,22822,20827,20375,18416,15997,15944,14132,13330,12187,11296,9964,9276,8940,7506,6172,5613,3816,2531,1798,1917,176,,,,,,,,,,
Georgia,,,,,,,,,,,,,155,165,203,37,18,5.5,17,18,7.7,1.1,6.6,8.8,8.8,5.5,9.9,15,12,168,116,154,280,446,330
Germany,,,,,,,,,,,,388368,346087,315234,291781,277357,271420,251737,233000,226117,226047,227112,232573,229101,232672,226993,220553,225526,214351,203738,202286,208846,217144,210493,205597
"East Germany",285311.1377,294556,304332,305804,325806,343291,342196,339450,341148,331117,287447,,,,,,,,,,,,,,,,,,,,,,,,
"West Germany",248447.2059,250141,247782,237769,235400,233092,224275,212843,209291,208394,190978,,,,,,,,,,,,,,,,,,,,,,,,
Greece,25571.38738,30110,30202,33724,35827,39560,41994,49176,53267,57172,57205,58086,60683,60425,62470,63561,65897,64864,67113,68399,70423,73132,77678,75287,77207,76498,71415,73092,72444,71532,62303,64668,69397,59441,56047
Hungary,28687.61775,28941,29144,28124,27927,26557,25751,25502,23306,22401,19654,18888,17465,16349,15525,16283,16820,17377,16169,16035,15469,15338,14360,14662,12392,10549,10970,10822,10366,9905,10045,10533,10240,10536,10528
