Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Argentina,73.3,95,100,100,100,100,100,100,100,100,100,100,100
Armenia,,,,13.5,24.4,34.5,38.3,46.6,56,63.8,65.8,94.1,71.1
Australia,95.4,100,100,100,100,100,100,100,100,100,100,100,100
Austria,39.3,45.4,39.9,40.6,40.9,39.2,40.6,51.6,52.6,51.8,53.2,52.8,53.6
Bahrain,,,,29.1,29.1,25,23,23.6,23.5,26,48.3,29,25.7
Bhutan,,,,,,,,,,,18,23.2,26
Bolivia,,24.6,20.3,22.6,29.7,33.9,31.4,35.9,34.7,36.5,39,43.2,45.2
"Bosnia and Herzegovina",15.6,19.3,22.9,63.7,69.2,64.3,47.2,39.6,4.8,4.9,8.1,9.9,10.4
Botswana,30.9,30.8,43.2,58.3,52.9,51.9,57.6,59.6,58.9,60.7,51.7,51.1,53.5
Brazil,42.5,53.6,43,46.4,62.2,59.2,53.5,61.5,62.2,63.4,63.6,79,78.9
Bulgaria,,,3,3,5,6.2,13.1,,,,,,
Cambodia,,,,,,,,,12.1,21.1,29.3,37,44
Canada,100,100,100,100,100,100,100,100,100,100,100,100,100
Chile,22,22.1,19.3,33.5,34.5,33.9,22.9,25.8,3.5,5.9,8.8,11.2,12.4
China,,,,,,,,,,,,,21.3
Colombia,30,31.7,28.3,39.9,42.5,60.5,63.1,71.2,72.5,83.8,87,88.7,92.1
"Costa Rica",4.5,4.5,39.2,52.7,51.6,56,64.8,78.9,100,100,100,100,100
"Ivory Coast",,,,,,,,,,,,,2.3
Croatia,,,,72.4,71.8,77,81.2,100,100,100,100,100,100
Cyprus,,,,,,,5.3,7.4,6.5,6.7,6.8,67.3,68.9
"Czech Republic",24.9,37.9,51,53,65.2,73.1,73.2,95.7,74.2,76,76.6,78.7,79.2
Denmark,7.1,7.7,11.5,11.5,5,5.2,5.4,7.3,7.3,7.5,7.8,7.7,7.4
"Dominican Republic",29.4,34.6,57.1,35.4,35,46.1,47.3,54.3,60,59.8,63.1,74.6,74.9
Ecuador,,,43.7,44.1,46.8,46,45,57.9,53.5,70.9,73,52.9,58.3
Egypt,,,,,4.7,8.2,10.3,13.7,16.4,19.6,21.8,20.9,21.6
"El Salvador",82.3,78.7,79.6,74.6,83,94.6,95,81.1,83.7,83.3,32,34.4,3
Estonia,9.5,12.5,18.2,19.7,20.6,20.6,22.4,33.1,33.4,33.7,34.2,34.7,35.1
Fiji,21.2,28.3,33.4,41.2,42.3,48.6,47.7,67.6,69.5,72.9,78.9,82.4,
Finland,14.8,14.7,14.9,14.9,14.8,14.7,14.9,20.5,18.9,19.5,19.6,20.5,20.7
Georgia,,,,0.2,4.5,12.2,16.4,29.6,35.5,46.1,56.8,74.5,88.6
Germany,85.6,88.2,93.9,98.1,98.4,98.3,98.4,100,100,100,100,100,100
Ghana,,,,,,,2.1,3.3,5.7,10.4,14.1,16.3,16
Greece,11.1,17.7,37.5,38.7,39,46.9,61.5,82.4,84,84.4,82.5,81.2,79.6
Guatemala,12.4,9.9,9.2,13.1,19.7,28.4,8.8,8.9,8.7,8.6,8.7,8.8,7.9
Guyana,,,,,,,,,,,,2.4,16.4
Honduras,,18.7,18.7,58,60.5,58.7,100,31.2,32.9,31.9,36.1,36.2,60.5
"Hong Kong",61.5,64.5,64.5,64.7,69.9,71.9,72,86.3,89.4,93.6,96.1,96,100
Hungary,3.3,4,5.9,6.9,10,10.3,11.4,16.1,15.8,73.2,74.6,88.6,89.8
Iceland,100,100,100,100,100,100,100,100,100,100,100,100,100
India,,1.7,6.1,10.8,10.5,10.2,10,15.1,14.9,19.8,22.4,22,21.4
Indonesia,,0.1,0.2,0.2,,,,,,,,,
Iran,,,,,,,4.5,24.4,31.9,33.3,33.8,46.6,50.5
Ireland,100,100,100,100,100,100,100,100,100,100,100,100,100
Israel,100,100,100,91.6,91,89.8,88.2,100,100,100,100,67.5,72.5
Italy,57.1,59.9,67.8,71.5,74.9,77.5,80.5,100,100,100,100,100,100
Jamaica,,,,,,,,,,,10.1,22.4,23.3
Japan,61.5,61.2,61.2,68.3,76.2,76.2,76.1,99,100,100,100,100,100
Kazakhstan,,,5.5,13.7,25.6,29.5,29.9,37.6,39.3,45.6,51.7,81.4,52
Kenya,0.1,0.1,0.1,1.5,2.1,2.3,3.3,4.5,4.9,4.7,4.9,14.3,25.8
"South Korea",80.7,80.7,76.6,74.2,90.4,93.8,93.3,100,100,100,100,100,100
Kuwait,16.6,16.1,16.1,14.5,31.2,30.4,29.6,29,31,29,32,34.2,31
Kyrgyzstan,,0.2,0.4,1.6,3.7,5.9,11.9,18.7,24.6,32.1,38.2,35.3,30.6
Latvia,,,,,,,,,,,,,63.2
Lesotho,,,,,,,,,,,,1,7.1
Lithuania,,12.1,7.2,7.3,7.2,18.4,67.8,75.6,81.2,89.4,97.7,79.3,84.2
