Country,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Benin,,400,13892,7172,37414,4006,4315,16334,4302,2273,1427,855,695,492,186,172,181,30,3,1,,,,,,,,,,,,
"Burkina Faso",2558,1957,1069,45004,42187,26985.5,11784,8281,6861,6281,3241,2477,2227,2184,1956,1032,591,203,60,30,5,3,1,,,,,,,,,
Cameroon,86,419,752,871,742,393,127,72,30,15,17,19,23,8,5,5,3,,,,,,,,,,,,,,,
"Central African Republic",,,,,,,,,,18,9,5,34,26,35,36,,,,,,,,,,,,,,,,
Chad,314,287.6667,261.3333,235,208.6667,182.3333,156,1231,640,149,127,25,3,1,3,3.7,4.4,5.1,5.8,6.5,7.2,7.9,8.6,9.3,10,10,10,14,13,9,16,13
"Ivory Coast",,,,1555,1360,12690,10362,8034,5061,3801,2794,1254,1414,476,297,231,198,42,21,10,5,,,,,,,,,,,
Ethiopia,3385,2068,751,3565,2333,1318,303,1120,1252,514,371,451,366,249,60,29,47,28,17,37,3,3,41,24,21,8,4,7,3,3,3,12
Ghana,,,,179556,123793,66697,33464,17918,8432,8894,4877,8921,5473,9027,7402,4739,5611,8290,7275,3981,4136,3358,501,242,8,,,,,,,
India,23070,17031,12023,7881,4798,2185,1081,755,371,60,9,,,,,,,,,,,,,,,,,,,,,
Kenya,,,,5,6,15.6667,25.3333,35,53,23,14.5,6,7,1,4,8,17,12,7,2,,,,,,,,,,,,
Mali,,,,1111,884,16024,14017.5,12011,5581,4218,2402,1099,650,410,290,718,861,829,357,659,329,313,417,186,57,12,4,11,40,5,,
Mauritania,,,,447,8036,4796.5,1557,5882,5029,1762,562,388,379,255,136,94,42,13,3,,,,,,,,,,,,,
Niger,,699,493.5,288,16558.5,32829,500,25346,18562,13821,2956,3030,2700,1920,1166,417,248,293,240,183,110,14,3,5,3,3,3,,,,,
Nigeria,2821,216484,653492,640008,394082,281937,183169,75752,39774,16374,12282,12590,13420,13237,7869,5355,3820,1459,495,120,16,73,38,,,,,,,,,
Pakistan,,,,534,160,106,23,2,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,,,,,38,1341,728,815,195,76,19,4,3.25,2.5,1.75,1,,,,,,,,,,,,,,,,
"South Sudan",822,399,542,1018.25,1494.5,1970.75,2447,2984,53271,64608,118578,43596,47977,66097,54890,49471,41493,20270,7266,5569,20581,5811,3618,2733,1698,1028,521,113,70,5,6,
Sudan,822,399,542,1018.25,1494.5,1970.75,2447,2984,53271,64608,118578,43596,47977,66097,54890,49471,41493,20270,7266,5569,1,4,3.8333,3.6667,3.5,3.3333,3.1667,3,,,,
Togo,1325,740.5,156,2749,3042,5118,8179,10349,5044,2073,1626,1762,2128,1589,828,1354,1502,669,278,73,29,2,,,,,,,,,,
Uganda,,,,1309,4704,120259,126369,42852,10425,4810,1455,1374,1061,321,96,55,24,26,4,9,2,4,,,,,,,,,,
Yemen,,,,,,,,,94,82,62,7,5.5,4,2.5,1,,,,,,,,,,,,,,,,
