Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.6170196533203,94.8262481689453,98.2667694091797,97.1386566162109,89.5258331298828,87.5594787597656,87.5902786254883,88.3062,89.0220794677734,92.6066,96.1910934448242,97.5297,98.8684,100.207,101.545700073242,99.2572631835938,,,,,,
Afghanistan,,,,9.60499954223633,8.40972995758057,7.9276,7.4455,6.96337985992432,9.33279991149902,11.4141,13.4953098297119,16.1467800140381,10.7438201904297,11.7711,12.7984104156494,13.1899900436401,13.7743,14.3586,14.9429,15.5272,16.1115,16.6958,17.2802,17.8644599914551,17.7115,17.5585,17.4056,17.2526,17.0997,16.9467,16.7937,16.6408,16.4878,16.3349,16.1819,16.0289402008057,19.1803,22.3317,25.4831,28.6344,31.7858,34.9372,38.0886,41.2399,44.3913,47.5427,50.6940689086914,53.0751419067383,55.3464202880859,,
Angola,,,,,,,,,,,,,2.73674011230469,3.2997,3.8626,4.4256,4.9885,5.5515,6.1144,6.6774,7.2404,7.8033,8.3663,8.9292,9.4922,10.0551,10.6181,11.181,11.744,12.3069,12.8699,13.4328,13.9958,14.5587,15.1217,15.6846,16.2476,16.8105,17.3734798431396,17.6657600402832,19.2023,20.7388191223145,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,89.9776229858398,87.8901,85.8027,83.7152,81.6277008056641,87.7508392333984,87.1098,86.46875,87.7509,89.033,90.3151,91.5971527099609,91.0732421875,89.9128494262695,94.4054412841797,93.7546997070313,93.7310485839844,94.058952331543,94.3811111450195,99.1567764282227,93.6606,88.1643676757813,96.3348236083984,92.8239898681641,
"United Arab Emirates",,,,,15.0741901397705,15.1679096221924,21.5841598510742,25.7033405303955,28.8037300109863,31.2104,33.6171112060547,46.4323,59.2475090026855,65.4190673828125,67.2272872924805,67.78955078125,63.1662483215332,56.103199005127,54.6531791687012,59.0365409851074,61.8073806762695,64.9096527099609,68.8976669311523,72.3984069824219,80.9717788696289,82.1190032958984,80.5571,78.9952011108398,80.0785,81.1618,82.2451324462891,79.4171981811523,76.6099700927734,78.0100708007813,83.1654586791992,81.3934020996094,79.3404693603516,74.3495712280273,79.3763,84.4030685424805,84.4338836669922,84.5141372680664,73.0252990722656,74.9185333251953,81.7057266235352,,,,,,
Argentina,16.8398609161377,16.0487098693848,16.4846,16.9205,17.3564395904541,18.0484294891357,20.6436,23.2388,25.834,28.4291,31.0243,33.6195,36.2146,38.8098,41.405,44.0002,46.5953,49.1905,51.7857,54.3809,56.976,59.5712,62.1664,64.7616,67.3567,69.9519,72.5471,75.1423,77.7374,80.3326110839844,85.1910400390625,85.5663223266602,85.1942672729492,80.8704299926758,79.1654891967773,80.1669616699219,76.5988998413086,74.7632522583008,76.435546875,77.7337112426758,81.5473785400391,85.2694396972656,86.2102508544922,88.4562072753906,88.9163208007813,90.1158599853516,89.2053070068359,89.8170394897461,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,90.5451736450195,90.0343,89.5235,89.0127,88.5018,87.991,87.4801,86.9693,86.4584579467773,85.4582672119141,89.2915878295898,96.7920684814453,100.289703369141,95.3009414672852,90.4260101318359,106.273391723633,96.9200897216797,95.3529,93.7857,92.2185,90.6513,89.0841,87.5168762207031,89.0390319824219,93.2921981811523,92.1980514526367,
"Antigua and Barbuda",,,,,,,,,,,,,,,,,,,,,,,106.75,105.5676,104.3852,103.2028,102.0204,100.8379,99.6555,98.4731,97.2907,96.1083,94.9259,93.7435,92.5611,91.3786,90.1962,89.0138,87.831413269043,83.1081085205078,95.8556137084961,99.4449,103.034217834473,95.7756,88.5170593261719,95.7661285400391,102.0061,108.245979309082,98.6486511230469,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.618118286133,103.819877624512,103.3234,102.8268,102.33032989502,101.396553039551,100.707298278809,100.029373168945,101.871322631836,101.713981628418,99.3048629760742,97.3342132568359,96.9089431762695,96.2254104614258,97.179817199707,97.6730575561523,97.4635467529297,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,93.1715927124023,90.4699020385742,89.2161,87.962272644043,86.4720764160156,86.2903,86.1085662841797,38.2466812133789,73.9950714111328,88.5560684204102,85.510009765625,83.6433715820313,82.8402633666992,88.8690719604492,89.5993194580078,88.0786819458008,90.7474670410156,90.5791091918945,89.3144378662109,94.1759796142578,86.7486190795898,86.619140625,86.07421875,89.0382919311523,88.4545364379883,84.7130966186523,,
Burundi,,0.959829986095428,0.85495001077652,0.9143,0.9737,1.0331,1.0924,1.15180003643036,1.23513996601105,1.1739399433136,1.11229002475739,1.42962002754211,1.86208999156952,1.48002004623413,1.31210994720459,1.29900002479553,1.38528001308441,2.24618005752563,2.46491003036499,2.73511004447937,2.99699997901917,3.9923,4.98762989044189,5.20836019515991,5.4512,5.694,5.9369,6.1797,6.4226,6.6654,6.9083,7.1511,7.3939,7.6368,7.87963008880615,8.23991966247559,9.08817958831787,10.5742,12.0602502822876,16.4259300231934,16.5992298126221,18.4784297943115,20.2951908111572,23.8469505310059,26.7433605194092,33.8707809448242,40.4493103027344,39.7222900390625,32.5729103088379,29.7798690795898,
Belgium,,,,,41.0180816650391,43.4648284912109,45.9436912536621,48.7349281311035,52.4389,56.1429,59.8469,63.5509,67.2549,70.9589,74.6629,78.3669,82.0709,85.7749,89.4789,93.1829,96.8869,100.5909,104.2949,107.998863220215,108.69319152832,107.1024,105.5117,103.921,102.3302,100.7395,99.1487,97.558,95.9672,94.3765,92.7858,91.195,89.6042709350586,86.2859878540039,83.7125091552734,84.1692504882813,89.3075485229492,92.2060394287109,92.5573425292969,93.7531814575195,93.9303436279297,95.0421600341797,94.4042434692383,93.5528869628906,92.9188079833984,,
Benin,,3.78591990470886,4.31431007385254,4.98535013198853,5.42678022384644,6.34491014480591,8.49044990539551,8.72996997833252,8.51916027069092,9.39846992492676,9.25693035125732,12.4043197631836,15.1509,17.8974208831787,16.2756004333496,15.7112302780151,13.6037197113037,9.46732997894287,8.5015,7.5357,6.56984996795654,7.433,8.2961,9.1592,10.0223,10.8854,11.7485,12.6116,13.4747,14.3378,15.2009401321411,16.5073394775391,18.0442199707031,19.9073,21.7704,23.6334,25.4964809417725,27.8762,30.2559,32.6356,35.0154,37.3950805664063,41.98,46.5649299621582,43.1773300170898,45.1002311706543,45.8471984863281,,,,
"Burkina Faso",,1.15910005569458,1.14603996276855,1.20457005500793,1.2694000005722,1.26995003223419,1.40767002105713,1.43764996528625,1.4819,1.52622997760773,2.08470010757446,1.91856002807617,2.09421992301941,2.362380027771,2.30714988708496,2.7918,3.27639007568359,3.7319,4.18746995925903,4.92276000976563,5.11715984344482,5.15971994400024,5.74518013000488,5.73321008682251,5.96561002731323,6.062,6.1583,6.2546,6.351,6.4473,6.54365015029907,7.40016984939575,7.7632,8.12627029418945,9.0096,9.89290046691895,10.8982801437378,11.7057504653931,14.7374496459961,15.5786399841309,16.4392700195313,18.0662708282471,20.1529197692871,21.465160369873,24.7252006530762,27.0115795135498,30.1442604064941,37.0093688964844,42.9748802185059,41.3698501586914,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.494270324707,52.9633712768555,54.9888000488281,59.4272613525391,60.583179473877,60.7983207702637,56.2092208862305,54.1523895263672,54.0037384033203,54.862190246582,55.9516,57.0409812927246,55.4867782592773,60.0886383056641,64.946,69.8033905029297,72.9889,76.1744,79.3598709106445,80.4359664916992,87.9658737182617,,
