Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Belgium,,10.2705097198486,9.24833011627197,9.0877,8.9271,8.7665,8.60583019256592,8.18000984191895,8.16213035583496,8.5649,8.9676,9.3703,9.773,10.1757297515869,10.2769804000854,5.82660007476807,5.8946099281311,6.4812,7.0679,7.6545,8.2411,8.8277,9.4143,10.001,10.5876,11.1742000579834,11.6203,12.0664,12.5125198364258,11.8473196029663,12.0131502151489,11.700309753418,11.7967,11.8931503295898,12.0101900100708,12.170729637146,12.3283500671387,12.4903297424316,,
Benin,,,,,,,,,,,,,,,,,,,18.4617404937744,17.8851890563965,13.5131998062134,15.3105802536011,14.1290798187256,16.6825294494629,19.2139492034912,18.7903900146484,19.7096099853516,14.9486904144287,19.0885791778564,18.1756191253662,26.1439609527588,25.5826,25.0213108062744,22.3412208557129,22.227710723877,17.4795207977295,18.7914009094238,19.8796501159668,17.7091808319092,
"Burkina Faso",,,,,,,,,8.3382396697998,10.2735,12.2087,14.144,16.0792,18.0144,19.9496803283691,13.6449,7.34017992019653,8.6906,10.0411,11.3915,12.742,14.0924,15.4429,16.7933,18.1437,19.4941902160645,18.2017002105713,17.8638191223145,17.3002,16.7365,16.1728191375732,19.5006103515625,15.8953800201416,16.1652793884277,19.3681106567383,18.0270805358887,19.7355,21.4440002441406,22.661169052124,
Bangladesh,5.26359987258911,6.63402986526489,6.39411020278931,6.47325992584229,8.08761978149414,8.38862991333008,9.13004970550537,10.4684295654297,10.7093,10.9502,11.191029548645,11.0621004104614,12.5366697311401,12.1138496398926,12.8846,13.6554,14.4261,15.1968698501587,16.6633,18.129789352417,20.4904193878174,18.5847797393799,15.6937999725342,16.6816291809082,15.9531202316284,16.6448,17.3365306854248,18.1534004211426,17.8161907196045,14.0298700332642,15.4119,16.7939701080322,15.5932397842407,13.8228197097778,13.0217,12.2206,11.4194202423096,10.7042,9.989,9.27375030517578
Bulgaria,,,,,,,,,,,,,,,,,,,8.95102024078369,9.0599,9.1688,9.27773952484131,9.65431976318359,11.1802501678467,6.70300006866455,12.0725202560425,12.010479927063,11.113920211792,12.6122598648071,12.6567497253418,11.1634197235107,11.1000499725342,10.6909198760986,11.4398002624512,11.7626,12.0854,12.4082,12.7309503555298,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9186601638794,11.0267295837402,10.5586700439453,9.9911,9.4236,8.856,8.28845024108887,7.21531009674072,8.6840295791626,7.29735994338989,7.2389,7.18034982681274,,
Bahamas,,,,,,,,,,,,,,,,,,,,,18.9228096008301,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,12.5523500442505,12.6201095581055,12.4503202438354,10.1337203979492,9.2916,8.44954967498779,11.7781295776367,11.6266498565674,12.7523002624512,12.2739896774292,12.406720161438,11.4617300033569,12.1587800979614,12.2816896438599,,
Belize,,,,,,,,,,,,,,,,,,,,19.1840801239014,15.6122598648071,18.3053703308105,17.2185,16.1316699981689,16.2484703063965,16.7008,17.1531,17.6054,18.0577392578125,21.5731391906738,22.381799697876,22.3342,22.2866,22.239049911499,22.1576099395752,21.6129207611084,20.5523490905762,21.2952308654785,21.3652896881104,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,11.036600112915,11.1138496398926,12.1054000854492,12.5717,13.0379,13.5042,13.9704303741455,12.9342403411865,11.6498,10.3653,9.0809,7.79644012451172,9.01879978179932,8.3961,7.77346992492676,,
