Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.133624466,0.13756709,0.108152489,0.135968132,0.16012746,0.1939684,0.346334138,0.46057897,0.531062425,0.723810211,0.555766729,0.507546796,0.490698818
Albania,,,,,,,,,,,,,,,,,,,,,0.950093149,1.275700413,1.233591847,1.273983794,1.322988765,1.308979853,1.266804346,1.179806087,1.177935307,1.315058766,0.892773868,0.985524938,0.623202585,0.528000105,0.401814332,0.384369108,0.340544718,0.2923567,0.304506862,0.45687063,0.433578273,0.428494674,0.47844689,0.517771523,0.475165987,0.458949056,0.398906744,0.379517341,0.393145176,0.38072058,0.385548421,0.428428109,0.395824525,0.403758511,0.447740468
Algeria,0.224556038,0.255896633,0.297811948,0.212262824,0.208817763,0.229531998,0.30813198,0.28188736,0.27309768,0.313420782,0.384902929,0.537574362,0.640648767,0.833997994,0.646119843,0.617490133,0.696696239,0.707866819,0.967446702,0.656731941,0.950057894,0.643941599,0.511779463,0.650692014,0.832544042,0.821843822,0.857829861,0.952710826,0.960362569,0.877133806,0.836727249,0.869766855,0.866159121,0.907612133,0.962711721,1.022749323,1.001068765,0.890669267,1.038194799,0.865405727,0.795675298,0.740424379,0.748443844,0.7111194,0.658967549,0.754141655,0.698729128,0.731673905,0.7200505,0.780433442,0.739281181,0.730618103,0.758092907,0.763085821,0.795017388
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.208697965,0.203516431,0.201642742,0.205579867,0.199001747,0.202385025,0.206730196,0.194128772,0.198487523,0.199209275,0.201133259,0.189628891,0.180669682,0.162390033,0.157468897,0.149838811,0.135969106,0.134039414,0.146642222,0.146240258,0.154503046,0.154240344,0.155831955,0.152413753,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,0.172149426,0.166023662,0.192002187,0.16038243,0.155975383,0.159766018,0.160895066,0.176430404,0.26042889,0.169505438,0.433117664,0.371145256,0.242782133,0.225055499,0.273120136,0.276283106,0.270391394,0.378140666,0.257138883,0.480796827,0.41440758,0.39895384,0.367608737,0.330139355,0.348477468,0.352334016,0.35402371,0.370602297,0.3388477,0.344577654
"Antigua and Barbuda",,,,,,,,,,,,,,,,,,1.443558242,1.459160381,1.118347854,0.363283853,0.260207449,0.718417188,0.19602988,0.309464464,0.488731943,0.438348876,0.453427254,0.44819855,0.425832636,0.408083222,0.378641548,0.369178387,0.360403766,0.333282832,0.358021808,0.35822952,0.356629335,0.352679713,0.351796827,0.346357643,0.369228,0.388323789,0.398572,0.393803301,0.376952012,0.345586982,0.33450536,0.342182189,0.412756326,0.456800865,0.455244839,0.447815309,0.448713146,0.434968169
Argentina,0.422371464,0.420037454,0.444469677,0.437811129,0.442334424,0.422584922,0.456262885,0.458995235,0.461519178,0.471022588,0.489051169,0.4975734,0.496302543,0.503659565,0.484877466,0.481777119,0.516848128,0.48819982,0.520611136,0.509434071,0.480442341,0.478056367,0.509805016,0.499278273,0.494552165,0.505381847,0.485323341,0.5201554,0.564134636,0.587850192,0.576872426,0.534604045,0.494926092,0.454132319,0.44539463,0.479244418,0.479119563,0.453032551,0.441962888,0.480905222,0.46874259,0.461328024,0.482862808,0.480469364,0.514176202,0.485916781,0.486695169,0.445815394,0.462504098,0.467825073,0.443595179,0.426742488,0.432793453,0.417125085,0.459818105
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.783365399,0.857737451,0.861662781,1.015748576,0.721151321,0.880701786,0.853355331,0.740511941,0.80388902,0.75007157,0.56938996,0.56244892,0.541280013,0.567666626,0.504860952,0.512919484,0.52671661,0.48119301,0.455390955,0.507187634,0.547919237,0.511972229,0.497148756
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.016421779,,,,
Australia,0.4445608,0.445565354,0.460717808,0.461721603,0.465578306,0.487637154,0.473874556,0.478892684,0.474577182,0.468461637,0.453604774,0.451377552,0.44778329,0.473866507,0.458848892,0.46208134,0.446213793,0.464148368,0.494870153,0.482771885,0.504284234,0.509159437,0.500842055,0.492323789,0.49477472,0.479307247,0.458014042,0.476536848,0.459374495,0.470367099,0.431318278,0.429276848,0.438057074,0.43574431,0.419867672,0.409584237,0.42240906,0.41124951,0.408044851,0.398963016,0.388946473,0.376255564,0.380708696,0.363875463,0.356069916,0.352541013,0.357180646,0.350626007,0.350674313,0.35236691,0.341998256,0.334889368,0.320099995,0.299327648,0.283091981
