Country,2010,2011,2012,2013,2014,2015,2016
Afghanistan,38,35,35,40,28,32,30
Albania,24,14,13,16,27,26,27
Algeria,25,20,18,21,,,
Angola,41,40,40,32.5,25,,
Argentina,30,24,24,28,29,30,30
Armenia,23,23,19,21,20,21,20
Australia,57,58,60,55,56,60,56
Austria,52,43,41,45,48,43,42
Azerbaijan,32,28,28,30,27,21,19
Bahrain,36,33,31,,,,
Bangladesh,15,32,22,25.5,29,28,18
Belarus,25,29,25,25,28,27,22
Belgium,36,35,34,33,36,43,35
Belize,35,35,,,,,
Benin,25,25,15,19,23,27,24
Bhutan,,,,,53,49,
Bolivia,,,,,,,33
"Bosnia and Herzegovina",21,18,20,21,23,21,34
Botswana,32,33,22,27,32,38,28
Brazil,30,29,27,26,26,34,32
Bulgaria,17,17,15,19,19,21,19
"Burkina Faso",20,23,17,21,26,33,30
"Burma (Myanmar)",,,,,,70,65
Burundi,12,12,14,,,,
"Ivory Coast",19,19,22.3333,25.6667,29,26,
Cambodia,16,34,37,25,23,27,18
Cameroon,29,32,30,32,33,39,33
Canada,56,54,58,58,60,56,54
"Central African Republic",40,29,23,23.75,24.5,25.25,26
Chad,29,26,23,25,22,24,27
Chile,38,38,38,40,36,38,37
China,14,20,13,16,18,11,14
Colombia,36,38,37,41,35,33,34
Comoros,28,35,27,27,,,
"Congo (Brazzaville)",,,,,,,31
"Congo (Kinshasa)",,,,,,19,
"Costa Rica",39,37,35,43,40,37,38
Croatia,22,15,16,16,18,22,20
Cyprus,36,43,44,43,43,42,38
"Czech Republic",29,28,24,23,22,23,18
Denmark,44,46,49,42,47,47,44
Djibouti,28,22,21,,,,
"Dominican Republic",34,37,43,39,42,42,41
Ecuador,23,23,17,27,17,27,36
Egypt,26,25,22,23,21,24,25
"El Salvador",23,26,22,22,25,30,27
Estonia,21,21,27,25,23,23,27
Ethiopia,25,21,21,21,29,30,25
Finland,37,44,45,40,43,46,40
France,27,31,34,28,26,31,33
Gabon,,,28,28,29,29,27
Georgia,19,21,17,20,20,23,18
Germany,44,43,38,43,42,47,45
Ghana,37,44,36,33,34,33,43
Greece,14,13,13,13,21,19,24
Guatemala,43,43,35,41,43,43,39
Guinea,44,44,31,29,39,34,27
Guyana,45,45,,,,,
Haiti,38,35,30,42,39,38,36
Honduras,34,31,40,34,33,33,39
"Hong Kong",44,49,44,44,43.6667,43.3333,43
Hungary,21,22,24,28,29,20,21
Iceland,47,47,45.5,44,50,49,46
India,19,28,16,25,29,29,31
Indonesia,36,37,52,44,51,56,60
Iran,,,,,,,45
Iraq,25,24,25,26,39,43,39
Ireland,56,59,60,57,60,54,53
Israel,39,40,34,41,40,41,41
Italy,41,26,33,44,28,30,30
Jamaica,36,36,39,42,45,,
Japan,22,26,26,26,26,24,24
Jordan,20,23,21,19,24,33,32
Kazakhstan,21,25,20,31,24,27,30
Kenya,41,34,37,40,49,52,60
Kosovo,21,33,27,28,36,37,33
Kuwait,42,36,39,42,45,48,41
Kyrgyzstan,21,32,23,29,28,42,30
Laos,50,50,44.5,39,,,
Latvia,23,23,29,25,26,24,18
Lebanon,37,34,30,30,31,31,31
Lesotho,,,32,32.25,32.5,32.75,33
Liberia,38,47,49,43.5,38,38,46
Libya,,,,,,41,
Lithuania,14,18,22,19,21,22,16
Luxembourg,42,44,41,42,31,39,38
"Macedonia (F.Y.R.O.M.)",,,,,,,34
Madagascar,12,12,15,21,22,20,18
Malawi,41,41,34,38,34,42,40
Malaysia,30,29,28,29,55,46,
Mali,27,23,23,19,21,27,24
Malta,48,45,44,47,49,49,48
Mauritania,32,32,29,25,22,29,18
Mauritius,,,43,42.75,42.5,42.25,42
Mexico,32,34,28,28,27,26,26
Moldova,,,,,,24,27
