Country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albania,,,1.59,1.31,1.36,1.31,1.16,0.83,0.76,0.83,1.35,1.42,1.93
Algeria,2.23,1.92,1.13,1.04,1.13,0.99,1.09,0.84,0.8,2.06,1.78,1.73,1.54
Andorra,,,,,2.36,2.34,1.76,1.18,2.43,6.3,3.95,8.24,1.42
Argentina,,,8.06,8.25,8.2,8.34,8.4067,8.4733,8.54,8.6067,8.6733,8.74,8.02
Armenia,0.1,0.3,0.5,0.23,0.17,0.5,0.51,0.37,0.34,0.47,0.5,0.6,0.99
Austria,,8.38,8.23,8.46,8.55,8.32,9.32,10.43,11.57,10.44,10.86,9.85,9.67
Azerbaijan,0.59,0.3,0.51,0.4,0.39,0.28,0.39,0.18,0.3,0.2,0.33,0.33,
Bahamas,,,26.42,21.44,39.44,33.85,30.72,21.62,29.18,25.78,,,
Bahrain,2.49,3.34,2.88,1.81,2.05,3.23,,,,,,,
Bangladesh,,,7.9,8.07,,,,,,,,,
Barbados,,30.76,28.1,27.27,26.07,22.36,24.42,22.53,24.95,18.82,20.53,19.06,22.17
Belarus,4.43,3.98,5.01,3.68,3.52,2.52,2.29,1.51,1.25,1.01,1.47,1.48,
Belgium,27.34,28.06,28.68,30.26,30.73,29.97,29.04,30.27,30.87,30.73,29.99,27.35,25.36
Belize,,,16.94,15.13,13.2733,11.4167,9.56,6.53,8.2,8.32,7.55,12.51,
Bermuda,55.49,66.09,55.05,44.01,32.97,21.93,10.89,3.13,9.44,4.75,9.56,1.6,
Bhutan,,,,,,4.03,7.21,6.25,7.51,8.07,7.69,,
Bolivia,,,12.46,14.07,17.3,18.97,22.76,29.15,25.52,33.79,,,
"Bosnia and Herzegovina",,,1.02,1.04,1.15,0.91,0.76,1.2,0.91,1.07,0.92,0.71,0.94
Botswana,,,,,,,87.38,91.07,86.14,87.9667,89.7933,91.62,
Brazil,,,,12.41,13.34,14.46,17.24,20.73,20.59,24.47,24.44,,
Brunei,6.87,7.31,6.63,7.61,,,,,,,,,
Bulgaria,7.83,6.83,5.25,4.07,2.97,3.49,3.3,2.85,2.13,2.56,2.26,2.06,1.66
Burundi,,,,,,6.65,7.47,7.31,6.6,10.02,9.11,10.58,
"Cape Verde",,,,,,,,24.47,22.22,26.55,21.29,17.9,20.36
Cameroon,2.62,3.14,3.27,3.12,2.34,2.395,2.45,2.79,2.76,2.61,3.97,3.75,1.94
Canada,1.68,1.84,1.75,1.75,1.6,1.47,1.4,1.7,1.59,1.43,,,
Chile,,,,17.6,17.87,20.12,20.22,18.45,20.87,18.83,18.15,16.08,15.34
Colombia,,2.78,6.07,7.64,7.62,7.54,7.91,7.05,7.94,11.18,11.33,14.73,27.76
"Costa Rica",,,,30.43,30.6,30.64,35.69,35.49,35.67,30.73,36.18,,
Croatia,4.85,3.76,3.24,4.28,3.72,4.33,2.98,3.27,2.84,2.94,6.41,7.87,6.08
Cyprus,3.21,4.04,3.78,2.77,1.79,3.16,2.48,3.26,3.4,2.21,1.58,1.21,1.72
"Czech Republic",6.33,6.73,5.83,5.16,6.17,5.09,4.59,5.58,6.41,6.34,5.59,6.35,5.67
Denmark,8.77,10.41,8.77,9.69,9,7.21,6.37,17.19,15.3,15.52,14.92,14.82,18.54
"Dominican Republic",,,,,,,,,,15.67,9.25,2.83,
Ecuador,11.2,9.22,10.91,10.62,12.2067,13.7933,15.38,14.17,12.93,13.41,11.07,9.07,
Egypt,0.03,0.03,0.06,0.06,0.08,0.11,0.09,0.11,0.12,,,,
"El Salvador",,,,,9.59,9.39,6.01,5.93,5.38,6.49,6.32,6.01,36.69
Estonia,7.79,8.87,13.2,11.34,9.08,11.94,9.28,6.08,6.85,10.8,10.23,11.17,12.27
Finland,10.99,11.38,11.3,11.64,13.97,17.22,12.36,15.24,19.26,18.6,17.88,18.41,19.12
France,17.21,17.26,16.32,15.88,16.35,16.49,15.71,16.05,16.45,17.13,17.5,18.96,20.12
Georgia,1.14,1.37,3.15,3.77,3.56,2.3,1.95,1.93,1.7025,1.475,1.2475,1.02,
Germany,10.75,10.85,10.01,10.02,9.29,9.04,9.08,9.6,9.37,9.98,9.19,9.11,8.7
Greece,2.09,2.17,1.6,1.64,1.66,2.08,1.91,1.92,1.54,1.5,1.35,1.22,1.11
Grenada,,,22.34,21.31,28.96,29.83,43.15,22.93,34.26,18.01,33.99,16.93,32.76
Guatemala,,2.82,2.38,2.14,2.3,2.73,2.78,3.37,3.78,4.26,4.36,3.83,
Guinea,,,,,0.91,,,,,,,,
Guyana,,,,,,,8.26,15.53,31.75,35.47,35.35,38.6,41.85
Honduras,,,,,,,,,23.54,13.47,13.16,10.33,7.5
"Hong Kong",1.02,1.34,1.45,1.4,1.56,1.52,1.96,1.6,1.29,1.7,1.47,,
Hungary,5.28,2.64,2.61,2.04,2.14,2.13,2.27,2.46,1.96,1.93,2.5,3.22,3.86
Iceland,23.81,17.4,25.27,23.93,28.49,21.93,24.81,30.81,39.87,37.72,55.32,39.41,54.03
India,,1.62,1.6,1.66,1.76,1.79,1.76,1.8,1.94,1.97,2.63,,
Indonesia,,,,,,1.23,1.07,0.9,0.81,0.72,0.67,0.67,0.67
Ireland,9.16,9.93,10.73,8.64,8.13,7.77,7.22,10.35,19.64,11.12,9.65,10.18,11.47
Israel,,20.39,18.52,19.11,18.35,17.52,15.64,13.76,13.82,,,,
Jamaica,,,,26.27,26.4,31.39,25.9,26.52,31.03,34.6,30.69,25.26,21.34
Japan,1.95,1.72,1.63,1.53,1.39,1.25,1.11,1.02,0.94,0.99,1.11,0.99,
Jordan,,,1.46,1.99,,,,,,,,,
Kazakhstan,,,10.24,10.15,9.61,8.16,8.55,8.5,10.64,13.7,18.42,14.55,13.27
Kenya,,4.18,3.86,3.56,2.35,1.92,2.16,2.29,2.25,1.85,2.18,1.99,1.85
Kuwait,,4.52,4.77,5.23,5.4,4.44,4.13,,,,,,
Kyrgyzstan,5.86,5.48,5.83,5.25,5.74,5.72,5.63,5.75,5.96,5.65,5.88,5.72,4.8
Latvia,5.38,14.13,11.27,5.87,4.28,4.66,3.26,3.73,2.42,3.14,3.63,3.77,3.04
Lebanon,,,,,,2.46,4.26,4.27,4.07,3.7,3.42,2.98,3.28
Lesotho,,,,,91.89,95.22,89.28,,,,,,
Liechtenstein,,2.89,11.48,5.69,2.82,8.4,7.4233,6.4467,5.47,10.87,8.1,13.41,2.66
Lithuania,8.16,7.7,7.93,7.65,6.13,5.09,4.7,6.66,6.22,5.9,4.49,5.42,5.38
Luxembourg,,,,8.59,9.27,11.75,11.28,12.99,13.46,14.27,16.33,13.12,
Macau,,,,,,4.14,4.03,4.86,4.57,4.84,4.22,5.71,5.11
Madagascar,,,,,,,,2.25,2.23,1.57,1.62,1.51,1.38
Maldives,0.68,0.33,0.7467,1.1633,1.58,2.18,1.84,2.71,3.84,0.87,1.42,,
Malta,2.8,3.29,1.76,4.25,2.48,4.68,2.93,2.67,4.35,3.13,3.6,2.63,5.49
Mauritius,4.38,3.29,3.11,5.21,6.24,5.57,4.59,4.09,4.63,,,,
Mexico,,12.61,12.35,12.47,12.55,12.24,12.71,12.64,12.41,13,13.31,11.87,12.55
Monaco,3.03,5.95,8.87,5.82,,,,,,,,,
Mongolia,15.63,15.14,12.67,12.27,13.69,13.46,12.44,12.61,13.3,10.86,12.03,10.31,9.43
Montenegro,,,1.3,1.78,1.13,2.74,1.45,0.8,0.48,0.48,0.64,0.8,0.8
Morocco,2.07,1.51,1.56,3.46,3.92,3.6,4.75,4.46,4.17,3.88,7.14,,
Mozambique,,0.5,0.3,0.21,0.18,0.2,0.19,,,,,,
"Burma (Myanmar)",,,,,,,0.51,0.43,0.7,0.83,0.92,1.41,1.27
Nepal,,,0.75,0.81,,,,,,,,,
Netherlands,10.51,11.07,15.34,14.66,12.97,11.77,11.58,9.98,9.62,8.42,7.2,7,7.06
"New Zealand",,,24.04,28.25,26.97,26.37,26.06,25.84,30.08,29.8,32.05,,
Nicaragua,,,24.58,27.96,28.94,29.92,30.9,31.88,,,,,
Nigeria,,,,,1.05,0.9517,0.8533,0.755,0.6567,0.5583,0.46,,
Norway,15.48,16.1,17.26,18,20.04,19.78,20.66,19.18,21.7,22.24,22.35,21.89,
Oman,,,,,5.09,6.9,,,,,,,
Panama,,19.29,23.23,23.44,24.87,20.38,22.73,27.51,27.97,31.71,28.69,23.87,23.03
Paraguay,,,,21.84,21.44,21.76,22.86,21.45,20.07,14.99,19.32,18.86,17.14
Peru,22.24,20.98,22.7,23.5,25.53,26.39,23.28,22.35,24.94,29.45,28.17,28.51,29.31
Philippines,3.72,3.45,3.44,2.95,2.71,2.86,6.15,5.24,5.13,4.93,9.09,9.99,
Poland,6.04,5.66,5.17,5.2,4.75,4.18,3.97,4.06,3.88,3.71,3.53,4.9,3.19
Portugal,3.77,3.24,3.48,3.24,2.89,2.97,3.56,4.01,3.54,3.57,3.3,3.6,3.62
"Puerto Rico",,,,,,2.55,1.75,1.05,1.22,0.87,0.92,1.52,4.48
Qatar,1.65,1.78,,,,,,,,,,,
"South Korea",12.54,13.36,,,,,,,,,,,
Moldova,6.52,7.13,6.73,6.47,6.81,7.44,6.45,9.01,7.14,8.83,8.57,8.64,
Romania,4.53,4.42,4.73,5.26,5,4.9,4.91,4.42,3.88,4.49,4.94,4.45,5.21
Russia,,6.14,6.42,6.19,4.92,4.34,3.77,3.43,3.35,3.13,2.96,2.9,2.74
Rwanda,,,,,,3.93,2.92,3.03,2.43,2.45,2.39,,
"Saint Thomas and Principe",,,,0.64,1.25,3.06,4.19,1.17,1.72,,,,
Senegal,,,2.67,1.37,1.4,3.4,5.64,5.35,4.352,3.354,2.356,1.358,0.36
Serbia,,,0.97,1.26,1.15,1.35,1.22,0.79,0.88,0.95,0.78,0.73,0.69
"Sierra Leone",,,,,2.5,1.43,,,,,,,
Singapore,2.59,2.35,2.76,2.56,2.73,3.44,4.07,3.23,2.89,2.51,2.22,2.98,2.89
Slovakia,4.33,4.16,3.71,3.23,3.38,2.82,2.63,2.16,2.77,1.62,1.68,1.6,1.6
Slovenia,3.52,4.37,2.91,2.74,4.81,2.81,3.87,3.07,2.67,2.81,2.57,2.13,2.03
"Solomon Islands",,37.13,13.85,16.43,12.4,11.12,,,,,,,
Spain,,,4.88,4.72,5.6,5.32,4.43,3.39,3.24,2.74,2.79,2.68,2.66
"Sri Lanka",7.17,7.39,7.4625,7.535,7.6075,7.68,7.96,8.74,8.74,10.83,10.63,,
"Saint Kitts and Nevis",,,,,,,30.94,28.65,35.85,,,,
"Saint Vincent and Grenadines",,60.79,80,45.91,55.02,32.98,49.43,25.61,51.22,18.29,,,
"West Bank and Gaza",2.47,2.79,2.93,2.0567,1.1833,0.31,0.33,0.37,0.43,0.19,,,
Sudan,,,,,,3.49,,,,,,,
Suriname,38.14,45.57,,,,,,,,,,,
Swaziland,72.15,77.55,,,,,,,,,,,
Sweden,24.99,25.17,36.91,40.75,46.64,53.12,58.61,58.4,64.03,62.34,58.54,64.86,56.69
Switzerland,7.5,7.8,8.72,8.54,8.57,8,8.61,6.93,6.96,7.09,7.03,6.77,6.41
Syria,0.76,0.55,0.74,0.6,0.64,0.78,,,,,,,
Tajikistan,,0.8,0.79,0.81,0.66,0.76,0.49,0.75,0.55,,,,
Thailand,,,7.7,8.02,7.76,6.98,7.03,4.05,3.22,3.06,2.71,2.34,2.08
"Macedonia (F.Y.R.O.M.)",,,4.55,2.39,2.05,1.99,1.8,1.36,1.98,2.08,1.83,2.17,
"Trinidad and Tobago",,23.63,25.75,19.88,24.21,17.94,18.69,16.34,14.98,21.32,15.72,14.62,13.23
Turkey,2.43,2.45,2.5,2.6,1.65,1.52,,,,,,,
Turkmenistan,0.8,0.77,0.57,0.56,,,,,,,,,
Uganda,2.05,2.02,2.61,2.59,2,4.95,1.93,2.14,1.52,1.5,2.85,2.91,
Ukraine,2.21,2.05,1.97,2.14,1.9,1.91,1.65,1.39,,,,,
"United Arab Emirates",1.21,1.31,1.38,1.39,1.3133,1.2367,1.16,1.0833,1.0067,0.93,0.85,0.86,0.94
"England and Wales",25.11,26.36,26.96,25.53,23.3,23.88,27.29,28.54,28.55,28.95,36.44,51.04,
