Country,2010,2011,2012,2013,2014,2015,2016
Albania,3.456214,3.644136308,3.346034947,3.3886914,3.737437898,3.737437898,3.611990345
Algeria,2.685908,2.32383767,2.013272525,2.720678441,3.064014636,3.064014636,3.071854488
Angola,2.867995,2.771301281,2.9151,3.058824,3.236487922,,
Argentina,3.24194,3.324062105,3.092524162,2.922947984,2.923875484,2.923875484,2.950878683
Armenia,3.585704,4.091575288,4.52426795,4.429015128,4.01333158,4.01333158,3.775978611
Australia,5.109294,5.080397623,4.766105714,4.852288608,5.207642605,5.207642605,5.134131118
Austria,5.094273,5.220911679,5.222510731,5.255712169,5.272804947,5.272804947,5.25434414
Azerbaijan,4.220086,4.218449323,4.097725164,4.103664272,4.054561387,4.054561387,4.526315689
Bahrain,5.530371,5.792457527,5.761248476,5.599110248,5.504733762,5.504733762,5.132972824
Bangladesh,3.873156,3.956987907,3.658778016,3.669592318,3.90174608,3.90174608,4.021130872
Barbados,4.468602,4.651347979,4.467191683,4.364246883,4.462854608,4.2824,4.102040768
Belgium,5.311918,5.209768997,5.103402478,5.281373867,5.514691097,5.514691097,5.473530092
Belize,,3.083601,,,,,
Benin,4.055436,3.849009707,3.346217915,3.247085667,3.247085667,3.247085667,3.662935376
Bhutan,,,,3.893554,4.017389594,4.017389594,4.107341039
Bolivia,3.931958,3.544771831,3.549890249,3.84678817,3.736793711,3.736793711,4.672525724
"Bosnia and Herzegovina",3.245642,3.245642,3.5076444,3.72201,3.72201,3.72201,3.389814815
Botswana,3.89183,3.888050198,4.050242054,4.129622628,4.154072168,4.154072168,4.277578364
Brazil,4.479712,4.450952993,4.294618807,4.459101715,4.985450284,4.985450284,3.887777883
Brunei,4.51715,4.56823715,4.570613,4.703958559,4.4739,4.2439,4.013888836
Bulgaria,3.484632,3.428049091,3.356253373,3.465612836,3.959818401,3.959818401,4.468181545
"Burkina Faso",2.724342,2.993281757,3.179177062,2.951929794,3.079025261,,
Burundi,2.760615,2.771017522,2.532939917,2.562329556,2.732525116,2.732525116,2.715789557
"Cape Verde",3.670116,3.711810473,3.794512971,3.59333123,3.783073847,3.783073847,3.472077918
Cambodia,4.132659,4.182085085,4.227910754,4.113386853,3.862911977,3.862911977,4.128261889
Cameroon,3.127558,3.242308325,3.583873176,3.685626937,3.664545505,3.664545505,3.959770656
Canada,5.472194,5.319058452,5.260438324,5.550339357,5.826403246,5.826403246,4.982411914
Chad,2.828239,2.781436671,2.727852682,2.67606859,2.903031543,2.903031543,2.701005329
Chile,5.516477,5.366563581,5.189394729,5.025258813,4.866945422,4.866945422,5.349707687
China,4.690554,4.733549936,4.560898378,4.416379905,4.379049094,4.379049094,4.338829617
Colombia,4.268952,4.021310827,3.891182774,3.774997627,3.6071985,3.6071985,4.408424541
"Congo (Kinshasa)",,,,,,,3.164948463
"Costa Rica",4.463825,4.25400666,4.361774885,4.226048176,4.13873544,4.13873544,4.145457055
"Ivory Coast",3.608061,3.375137054,3.185285534,3.292342051,3.857537985,3.857537985,3.666936504
Croatia,3.753865,3.58325885,3.629095233,3.914816503,3.77279846,3.77279846,3.563041069
Cyprus,4.610154,4.595364125,4.488431416,4.48933249,4.371286196,4.371286196,3.794527741
"Czech Republic",3.68696,3.742484553,3.628323044,3.950691778,5.051701904,5.051701904,4.975590662
Denmark,4.953715,4.989960025,4.576641901,4.711005336,5.034847849,5.034847849,4.825125622
"Dominican Republic",4.129991,4.123881884,4.155020021,4.066038648,3.784562444,3.784562444,4.472997967
Ecuador,3.448392,3.622316918,3.719372,3.998274951,3.998274951,3.998274951,3.882376923
Egypt,4.164071,4.022108547,4.089098856,3.695216474,3.292330036,3.292330036,4.489795685
"El Salvador",4.139302,4.33608295,4.185060221,3.728493962,3.953357181,3.953357181,4.543665819
Estonia,4.511733,4.338989133,4.344283237,4.693805025,4.885871236,4.885871236,4.920761172
Ethiopia,3.288364,3.20286179,3.193863562,3.446442767,3.643561231,3.643561231,3.576968091
Finland,5.690815,5.587266546,5.519447761,5.796728195,6,6,5.561248541
France,5.405785,5.403339775,5.028594298,4.862365003,5.150522936,5.150522936,4.809149987
Gabon,,,3.431713,3.269137359,3.254569279,3.254569279,3.410080876
Gambia,4.383491,4.354683537,4.639005933,4.312172904,3.952775894,3.952775894,4.021322661
Georgia,3.503513,3.735183472,3.922705,3.992702573,4.077977364,4.077977364,4.086085651
Germany,5.361832,5.111385391,5.071366325,5.277702429,5.510297883,5.510297883,5.230090307
Ghana,3.853142,3.872253559,3.972473791,4.104656777,3.81725228,3.81725228,3.967438793
Greece,4.092756,3.932000061,3.741099053,3.586426245,3.577837142,3.577837142,2.987044987
Guatemala,5.026483,4.879880931,4.944385229,5.036059797,5.048795663,5.048795663,5.235361878
Guinea,,,3.224043,3.020169838,2.81781238,2.81781238,
Guyana,3.772594,3.843117541,4.067617459,4.184133985,4.074645942,4.074645942,
Haiti,,2.567665,2.737788047,2.959371954,2.927711583,2.927711583,
Honduras,4.406781,4.512635811,4.489154795,4.173573762,4.222552301,4.222552301,4.581773222
"Hong Kong",5.831689,5.855303284,6.005130575,6.097070667,5.98975322,5.98975322,5.974359035
Hungary,3.486013,3.804529676,3.736613562,3.654728849,3.795173279,3.795173279,3.978033638
Iceland,3.43849,3.497669655,3.439529753,3.73714931,4.156182123,4.156182123,4.712243196
India,4.822392,4.914822765,4.873325719,4.782261589,4.114542485,4.114542485,4.593115462
Indonesia,4.431256,4.38319645,4.362999449,4.613198617,4.870092473,4.870092473,4.805306543
Iran,3.084731,3.144923914,3.251468441,3.147325982,3.140412334,3.140412334,3.472866981
Ireland,4.504748,4.124070854,3.838067001,4.210823263,4.70643699,4.70643699,4.229329575
Israel,4.503748,4.512208985,3.986949137,4.090508178,4.222426994,4.222426994,4.858905367
Italy,3.513396,3.531218782,3.379971017,3.619374169,3.983521796,3.983521796,3.465216193
Jamaica,3.752971,3.658076726,3.816588815,4.07436861,4.013609356,4.013609356,4.256711019
Japan,4.968783,4.939129341,4.989422104,5.1591998,5.128205667,5.128205667,5.360758338
Jordan,4.440691,4.376620694,4.397169314,4.443381,4.540168503,4.540168503,4.592152984
Kazakhstan,3.599818,3.599818,3.99326532,4.29545229,4.286050491,4.286050491,4.073915996
Kenya,4.252909,4.39191328,4.376497563,4.147634242,4.163510441,4.163510441,4.461316698
"South Korea",3.959959,4.311476367,4.585353267,4.143501221,3.880470908,3.880470908,4.066499937
Kuwait,4.80302,4.591223118,4.334798408,4.349799181,4.35567767,4.35567767,4.463321825
Kyrgyzstan,3.139088,2.810423666,2.88370815,3.27203317,3.693990442,3.693990442,3.470781501
Laos,,,,4.491213,4.237766616,4.237766616,4.147236595
Latvia,4.092567,4.176318073,4.356664616,4.676447703,5.05090831,5.05090831,4.484836464
Lebanon,4.856287,4.914681333,4.695825977,4.341695917,4.115106597,4.115106597,4.502686745
Lesotho,3.058418,3.154888218,3.117113327,3.481921852,3.392058904,3.392058904,2.435606651
Liberia,,,3.905231,3.678660341,3.678660341,3.678660341,3.75446765
Libya,2.375516,2.4529,2.530318,2.319331867,2.025786408,,
Lithuania,4.286125,4.08761004,4.066178774,4.476966782,4.878581612,4.878581612,4.657825282
Luxembourg,5.665595,5.827711145,5.945211413,5.991829574,6.080208428,6.080208428,5.554155476
"Macedonia (F.Y.R.O.M.)",3.471062,3.433916932,3.473516623,3.992345587,4.300403786,4.300403786,4.176292678
Madagascar,2.90888,2.976767036,3.193066345,3.205609322,3.10250786,3.10250786,3.66931225
Malawi,3.513206,3.780822067,3.875746208,3.548384618,3.10171519,3.10171519,3.544707859
Malaysia,5.467778,5.524928283,5.41239799,5.421234543,5.579174834,5.579174834,5.382618284
Mali,3.212864,3.439049794,3.768758551,3.728153271,3.609540282,3.609540282,3.293879377
Malta,5.006614,4.972194856,4.891491091,5.11018061,5.245251438,5.245251438,4.869480962
Mauritania,2.596355,2.930825769,3.505546217,3.0777095,3.173182416,3.173182416,2.272871475
Mauritius,4.799369,4.518855198,4.601515549,4.926060067,4.874278347,4.874278347,4.61661007
Mexico,3.550495,3.943287175,4.145192037,3.981304018,3.729689581,3.729689581,4.088617386
Moldova,3.094491,3.182400118,3.449546,3.617864511,3.739047321,3.739047321,3.440821892
Mongolia,3.192276,3.273940582,3.499077995,3.602667989,3.507094057,3.507094057,3.130329127
Montenegro,4.349117,4.24741919,4.112308079,4.062319132,4.036192823,4.036192823,3.533578669
Morocco,4.452216,4.452216,4.372601051,4.15984478,4.192279068,4.192279068,3.852395616
Mozambique,3.75818,3.545481678,3.294382503,3.278875211,3.57959949,3.57959949,3.383864945
"Burma (Myanmar)",,,,3.025106,2.990268182,2.990268182,
Namibia,4.006795,3.961739564,3.954711178,4.229881432,4.396345266,4.396345266,4.551818021
Nepal,3.437204,3.62219549,3.746913692,3.92442335,4.097459326,4.097459326,4.093331965
Netherlands,5.390411,5.401414081,5.2350487,5.251626888,5.497458565,5.497458565,4.734071407
"New Zealand",4.636942,4.925380124,5.214008303,5.425830705,5.706631223,5.706631223,5.538873083
Nicaragua,3.875652,3.573005911,3.568208376,3.793891645,3.846200781,3.846200781,3.87142849
Nigeria,3.915212,4.044628997,4.128881715,3.844278575,3.457768156,3.457768156,3.726819518
Norway,5.578623,5.382982422,5.433273912,5.737153236,5.894199298,5.894199298,5.735014126
Oman,5.022474,4.922965578,5.14614773,5.417782,5.158796684,5.158796684,4.619044113
Pakistan,3.900342,3.768366744,3.72591545,3.780054971,3.962517332,3.962517332,3.723529549
Panama,5.809721,5.906566975,5.988939588,5.785651911,5.481088901,5.481088901,5.762651002
Paraguay,4.44293,4.556169828,4.546641146,4.022533478,3.674101185,3.674101185,4.346139157
Peru,4.982491,4.877056906,4.620413449,4.284115481,4.126655173,4.126655173,4.811208671
Philippines,4.834134,4.67482716,4.806221347,5.003025485,4.827448696,4.827448696,4.680242301
Poland,4.33168,4.343781874,4.391492248,4.590493528,4.821584054,4.821584054,4.561517105
Portugal,5.189057,4.904039774,4.582405821,4.06420833,4.199658242,4.199658242,4.491190585
"Puerto Rico",5.274719,5.245395445,5.366352077,5.316707479,5.291772918,,
Qatar,5.595125,5.595125,5.794597788,5.889343518,5.874215816,5.874215816,5.279685879
Romania,3.632354,3.577090922,3.650456278,3.901882744,4.155194438,4.155194438,3.37707966
Russia,3.7666,3.531750602,3.447281583,3.823293301,4.131612559,4.131612559,3.602076054
Rwanda,3.977671,4.01864059,4.04905,4.181648056,4.257961,4.257961,4.263188923
"Saudi Arabia",5.354029,5.354029,5.288115892,5.152247606,5.100570504,5.100570504,4.595447704
Senegal,3.966423,3.99947929,3.932822837,3.630224197,3.747769396,3.747769396,3.655161674
