Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Angola,,,,8.60238563,8.639121953,8.7612,8.883349087,9.297499911,,,
Albania,6.6,5.24882145,4.0275755,3.319292956,3.441610902,3.149612714,2.722086494,2.767527471,2.399344588,2.366558531,2.282613299
"United Arab Emirates",5,4.76833366,4.7704458,4.367355475,4.488130184,4.675607899,4.554765613,4.151179315,4.101574708,3.968280091,3.988979925
Argentina,12,8.52581585,7.8853298,11.19742275,10.68799017,10.93267114,10.57262366,10.46130904,11.20860511,11.12018188,11.66201696
Armenia,2.2,3.33443199,13.5720673,2.263386424,2.347635387,2.221590038,2.756943915,2.759365378,2.901642026,4.586984114,3.962423572
Australia,6.5,9.41628317,9.3106304,4.339068378,3.840167167,2.943839787,4.051368673,2.343940832,2.312685372,2.063787626,2.158949605
Austria,3.4,1.05907208,1.0718542,0.886899348,0.849888498,0.903368416,0.820191606,0.842101789,1.151456349,1.041106756,1.112245948
Azerbaijan,5.6,6.04157692,6.0415769,6.929973597,7.220598233,7.146479471,7.46297739,7.467035978,7.429182559,7.705330635,7.864468083
Burundi,14.7,11.64036327,11.6403633,11.64036327,8.685771813,8.934317994,9.263935419,8.691242739,9.546845205,9.618565662,9.461783656
Belgium,3.4,1.05907208,1.0718542,0.886899348,0.849888498,0.903368416,0.820191606,0.842101789,1.151456349,1.041106756,1.112245948
Benin,12.3,7.83522961,7.7813395,7.78309359,11.06099323,11.40347916,10.52170746,10.4519,10.38208715,9.89116787,10.79342751
"Burkina Faso",11.7,9.85368746,9.8300884,9.836911583,11.0636024,11.40603743,10.5239309,10.81299714,,,
Bangladesh,55.8,13.03005664,13.0300566,12.90947313,13.12655631,13.09277517,13.52696513,13.67181288,13.52762885,13.46286519,13.1459816
Bulgaria,9.6,1.05907208,1.0718542,0.886899348,0.849888498,0.903368416,0.820191606,0.842101789,1.151456349,1.041106756,1.112245948
Bahrain,5.5,4.97514563,4.9773422,4.381461265,4.488797888,4.395898527,4.585086194,4.135436173,4.08953573,3.947189458,3.963563853
"Bosnia and Herzegovina",4.9,8.87897428,8.5211835,5.132920692,5.222880691,5.062248977,4.932642462,4.9172,4.901696044,4.834935633,4.94467494
Belize,,,,,11.01638167,,,,,,
Bolivia,8.5,7.99767601,8.2504479,8.301336584,8.692299334,8.626691443,8.518565556,8.774066137,8.828832596,8.89460151,
Brazil,8.2,8.53092577,8.6454849,11.86187264,11.46581053,11.63569457,11.2669739,11.42993147,11.59451469,11.49630311,12.08494108
Barbados,16.5,14.55527922,14.5552792,17.02396705,17.27187213,28.91758165,26.3944026,16.64885247,15.4291,14.20930913,
Brunei,,5.82861202,5.6950024,5.329993249,5.75401049,5.207134823,3.615350593,2.9896,2.3639,1.738183535,1.853575563
Bhutan,,,,,,,22.34203677,22.71216908,22.40995095,22.65343937,22.36666802
Botswana,10.2,4.60744896,4.6041613,6.069285749,6.086639335,6.650891799,6.07476796,5.934992243,6.306521941,6.389628599,6.642510307
Canada,3.6,2.56584263,2.4213601,2.773200947,2.996065297,2.703033877,2.590574561,2.668762639,2.598518344,2.81023114,2.818132135
Switzerland,2.6,3.1108921,2.4079744,2.081320375,4.084371952,3.458217515,2.576163671,3.488499609,2.739012983,3.975851521,3.509530426
Chile,6,4.74050123,4.6304496,4.65486377,4.667505269,4.666563664,4.670910938,4.643163554,4.648993463,3.239043286,3.224433718
China,4.7,14.23271736,13.8774884,13.31420473,12.96730097,11.51013343,10.99401066,11.08582676,11.04412062,11.06859462,11.64516539
"Ivory Coast",,10.50713292,10.5348613,10.5725601,11.06817155,11.41129028,10.52743102,10.81698989,10.38891755,9.89116787,
Cameroon,14.4,14.08195559,14.0819556,14.68923994,13.53980676,13.32097649,14.9160121,14.26002801,14.06568279,14.55702877,15.52141293
"Congo (Kinshasa)",,,,,,,,,,10.18477086,10.361288
Colombia,11.4,10.2971848,10.1885856,10.0483127,11.1885,8.321630497,6.599697105,6.565746072,6.426217692,6.355562416,6.494339341
"Cape Verde",,,,10.57605772,10.93606154,11.12514647,10.08582298,10.33587201,9.4033977,8.797554295,10.33438604
"Costa Rica",4.3,3.04202229,3.0420228,2.961648397,3.652778656,3.575149357,3.619826929,3.89961854,3.559715591,3.645288686,3.605236118
Cyprus,3.4,1.05907208,1.0718542,0.886899348,0.849888498,0.903368416,0.820191606,0.842101789,1.151456349,1.041106756,1.112245948
"Czech Republic",3.4,1.05907208,1.0718542,0.886899348,0.849888498,0.903368416,0.820191606,0.842101789,1.151456349,1.041106756,1.112245948
Germany,3.4,1.05907208,1.0718542,0.886899348,0.849888498,0.903368416,0.820191606,0.842101789,1.151456349,1.041106756,1.112245948
Denmark,3.4,1.05907208,1.0718542,0.886899348,0.849888498,0.903368416,0.820191606,0.842101789,1.151456349,1.041106756,1.112245948
"Dominican Republic",8.1,6.55305731,6.2038407,6.232757547,7.250351811,7.25576372,7.345827778,7.419755208,5.896361865,6.164367226,6.377698869
Algeria,12,15.59129145,15.6237985,13.31369542,13.81100755,14.04675266,14.44047817,14.46414947,13.7815994,13.75528908,14.00427142
Ecuador,10,8.62244721,7.6594301,7.736855951,7.65992726,7.192397873,7.464682732,8.5617,9.658740521,9.891600016,11.15683138
Egypt,13.9,21.83326466,22.1984225,13.77810368,14.66411574,15.21072143,17.74267867,15.96043944,13.9965536,13.64287935,14.87931305
Spain,3.4,1.05907208,1.0718542,0.886899348,0.849888498,0.903368416,0.820191606,0.842101789,1.151456349,1.041106756,1.112245948
Estonia,3.4,1.05907208,1.0718542,0.886899348,0.849888498,0.903368416,0.820191606,0.842101789,1.151456349,1.041106756,1.112245948
Ethiopia,13.5,12.40574286,12.1162311,12.69997612,12.44617718,12.78755888,12.69552515,12.68456481,12.73485852,13.02780007,13.12846146
Finland,3.4,1.05907208,1.0718542,0.886899348,0.849888498,0.903368416,0.820191606,0.842101789,1.151456349,1.041106756,1.112245948
France,3.4,1.05907208,1.0718542,0.886899348,0.849888498,0.903368416,0.820191606,0.842101789,1.151456349,1.041106756,1.112245948
Gabon,,,,,,0.134583496,15.20577527,14.3269884,13.13576781,13.44777362,
"United Kingdom",3.4,1.05907208,1.0718542,0.886899348,0.849888498,0.903368416,0.820191606,0.842101789,1.151456349,1.041106756,1.112245948
Georgia,9.1,0.64202516,0.6829861,0.669781879,0.741106821,0.992041431,1.109797331,1.056455802,0.831714377,0.861675325,0.9087399
Ghana,,10.52746328,10.3585762,10.01730218,10.62526547,10.56453766,10.3730646,10.40449909,9.728746493,10.15971196,10.94410105
Guinea,,,,,,0.119292739,11.598259,11.52890857,11.30510281,11.6076,11.91000651
Gambia,12.7,16.1547492,16.1547492,15.81008499,17.32836083,17.92450956,14.64598378,13.72001073,14.63241646,14.30664278,14.22150674
Greece,3.4,1.05907208,1.0718542,0.886899348,0.849888498,0.903368416,0.820191606,0.842101789,1.151456349,1.041106756,1.112245948
Guatemala,5.9,3.50093071,3.3284887,3.342828105,4.337287177,4.306227287,4.844143248,3.945072308,3.409254341,3.402403127,3.532872268
Guyana,11.5,12.03607989,11.4431243,11.54960501,9.404113122,10.80009758,10.68543409,11.82151282,11.97209121,,
Honduras,5.4,6.42123676,6.5133791,4.175476522,4.351851743,4.415009359,4.446054318,4.559191544,3.942152391,3.953117425,4.072779236
Croatia,4.9,2.45311332,2.4468041,2.935340629,2.975226158,3.04785364,3.273097099,3.192861293,1.151456349,1.041106756,1.037269076
Haiti,,,,,3.265046597,5.386556274,5.8961805,5.801143683,5.649591896,5.9697,6.28976405
Hungary,3.4,1.05907208,1.0718542,0.886899348,0.849888498,0.903368416,0.820191606,0.842101789,1.151456349,1.041106756,1.112245948
Indonesia,4.8,5.39548624,6.0694323,3.818810227,4.831770398,4.626221984,4.72643127,4.592945773,4.585382266,4.428847333,4.796631797
India,14.7,18.72189722,10.8981063,14.40286937,13.18602257,12.64157424,11.68635705,12.37374183,12.67562061,13.03216592,12.91498136
Ireland,3.4,1.05907208,1.0718542,0.886899348,0.849888498,0.903368416,0.820191606,0.842101789,1.151456349,1.041106756,1.112245948
Iran,,,,23.14381076,23.29535316,25.58418198,26.55286226,27.05840446,27.34271778,27.98112754,29.49503625
Iceland,3,4.78802155,4.264011,2.992850074,3.415497768,4.099894531,3.179432182,3.220972345,2.834214419,2.885326662,2.638000413
Israel,3,4.38804306,4.8142451,4.103986748,4.523450647,4.118584986,4.031394236,4.129685097,2.910779752,2.958719342,3.047604196
Italy,3.4,1.05907208,1.0718542,0.886899348,0.849888498,0.903368416,0.820191606,0.842101789,1.151456349,1.041106756,1.112245948
Jamaica,9.8,8.92885117,8.9288512,9.068523095,6.65018429,8.119972944,7.78570252,8.575989339,9.038279533,9.651737447,9.377308466
