Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1474.47,1528.99,1592.61,1644.84,1697.39,1774.40,1816.03,1912.22,1985.65,2046.36,2169.88,2219.48,2178.72,2187.64,2211.44,2227.99,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2167.75,2283.76,2662.31,2825.38,3010.40,3071.10,3252.75,3474.04,3805.98,4151.61,4548.61,4899.95,4414.03,4944.79,5520.26,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.96,172.60,244.06,275.79,294.82,311.92,325.02,387.75,411.01,468.15,529.00,596.19,566.38,582.80,650.27,718.37,605.89,665.55,727.93,764.05,798.74,898.04,954.37,1005.28
"United Arab Emirates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17562.55,18071.30,18846.13,20338.11,21674.81,23248.52,23683.94,26115.73,22445.77,23036.90,24965.86,25440.53,26966.85,27993.82,29549.16,30982.90,33516.65,33231.15,33955.27
Argentina,,,,,,30542.71,30809.55,32517.31,34349.45,38316.28,37330.89,39632.71,41215.87,42850.59,45367.68,44209.54,42868.34,46217.94,41354.60,45467.18,46475.34,40865.37,39714.92,42422.64,43472.57,39364.44,43321.07,43788.51,41645.12,38527.04,36443.86,40225.34,44323.78,45888.89,47953.73,44518.04,47390.29,51727.18,52683.49,48506.29,46651.78,43217.29,38482.74,44627.35,49971.94,53681.44,58566.34,62978.71,65259.23,60521.52,67123.18,72269.25,70163.81,71218.74,67619.31,68137.23,64320.77,65973.44,62675.51,58752.13
"Antigua and Barbuda",,,,,,,,,,,,,,,,,,6.96,8.37,9.68,11.50,14.01,14.01,14.32,14.89,15.34,15.95,16.59,16.94,17.45,17.97,16.98,15.97,15.17,15.47,14.70,15.29,16.21,17.10,17.87,18.40,18.75,19.75,20.04,21.00,22.03,24.76,27.02,24.56,27.16,24.77,25.45,21.93,25.37,26.36,26.76,28.47,27.77,29.56,31.38
Australia,,,,,,,,,,,,,,,,55882.53,55285.58,56651.65,56407.08,58728.91,61260.73,62515.77,64066.08,58796.49,59688.70,62737.82,63137.66,64864.96,69190.85,73176.42,72313.98,70721.84,68623.66,70089.49,73216.65,74770.97,76511.95,77754.12,80244.91,82351.94,83442.86,85213.60,87553.94,90928.89,92086.59,91179.90,90595.01,92467.12,96146.18,91212.88,91574.91,91342.41,92171.06,89204.81,88243.41,86841.94,84723.65,84207.15,85961.00,84689.06
Austria,,,,,,,,,,,,,,,,,27409.28,28668.70,29204.57,30681.62,31752.36,31754.55,31730.60,33060.13,33216.23,35158.56,36481.06,36031.35,37809.17,39180.62,41693.29,42816.33,42597.23,41685.63,43231.76,45755.38,46174.91,47451.13,48794.53,50951.08,54244.94,55725.85,54973.75,55340.12,57016.24,59563.60,64285.48,69290.09,70043.62,59728.77,64578.05,69247.21,70658.85,70842.74,72427.67,73046.09,76376.08,79987.50,84070.76,84844.39
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6689.65,5373.65,3838.32,3070.66,2741.66,2763.59,2440.25,2218.19,1283.60,1336.23,1445.74,1648.32,1821.19,2118.16,2308.75,2544.45,2724.87,2382.01,2543.67,2731.39,2859.93,2920.42,3028.10,3115.96,3078.68,3044.78,3239.55,3613.69
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.93,249.89,261.36,245.08,229.81,215.49,202.06,189.48,185.35,197.21,203.13,188.91,190.42,187.89,186.01,181.54,199.70,215.68,201.40,203.83,,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50562.97,52003.68,55267.48,56930.77,57348.83,60594.48,61024.43,61279.87,61157.26,64270.47,65971.85,64440.63,68528.15,66238.54,60466.38,64152.21,64235.18,63224.93,63879.77,65870.85,67622.49,66418.42,68319.25,67972.91,67812.98
