Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Denmark,,,,,,,0.1,0.2,0.3,0.4,0.8,1.1,1.4,1.7,1.9,2.1,2.4,3.3,4.3,4.8,6.1,6.4,7.4,8.8,10.2,10.602,10.002,11.102,10.897,10.815,13.155,14.942,15.55,16.683,18.696,18.121
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005,0.0005,0.0005,,,,
"Dominican Republic",,,,,0.1,0.0955,0.091,0.0864,0.0819,0.0774,0.0729,0.0683,0.0638,0.0593,0.0548,0.0502,0.0457,0.0412,0.0367,0.0321,0.0276,0.0231,0.0186,0.014,0.0095,0.005,0.029,0.038,0.029,0.0285,0.0315,0.132,0.183,0.184,0.272,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,0.05004,0.70004,0.90104,0.21104,0.22004,0.23904,0.28104,0.298,0.36,0.499,
Egypt,,,,,,,,,,,,,,,,,,,,,0.1,0.2,0.2,0.4,0.5,0.6002,0.6002,0.8002,0.9002,1.1002,1.706,1.743,1.497,1.532,1.57,
"El Salvador",0.5,0.8,0.9,0.6,0.7,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.8,1,1,1,1,1.189,1.2,1.5,1.674,1.732,1.783,1.817,1.91,2.001,1.997,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,0.089,0.116,0.124,0.136,0.514,1.017,1.149,1.435,1.255,1.431,1.606
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0141,0.0243,0.0183,0.0483,0.208,0.373,0.409,
"Falkland Islands",,,,,,,,,,,,,,,,,,,,,,,,,,0.00025,0.0003,0.0003,0.002,0.002,0.004,0.005,0.005,0.005,0.005,
"Faroe Islands",,,,,,,,,,,,,,,,,,,,,,,,,,0.010332,0.014978,0.015759,0.012969,0.015005,0.014,0.015,0.011,0.02,0.035,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,0.0201,0.0201,0.0301,0.0201,0.0201,0.0061,0.0051,0.007,0.005,0.004,
