Country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Central African Republic",,,,,,,,13.71,13.795,13.88,16.0375,18.195,20.3525,22.51,19.76,29.88,29.88,29.24,29.89,17.61,17.61,17.61,17.61,19.98,21.91,11.15,15.03,18.91
Chad,,,,,,,,15.92,15.92,15.92,17.0625,18.205,19.3475,20.49,20.85,23.45,24.84,21.84,22.11,18.23,17.14,18.16,17.66,18.42,18.765,19.11,20.045,20.98
Chile,,,,,11,11,11,10.86,10.93,11,11,10,9,8,7,6,2.64,2.98,2.19,3.01,2.56,2.06,2.2,1.96,1.89,6,3.32,0.64
China,,,,,13.96,13.94,12.81,18.895,24.98,19.89,19.79,16.67,18.82,19.18,6.02,5.73,6.22,3.47,3.54,3.03,2.02,1.68,1.82,1.55,1.57,1.59,1.61,2.07
Colombia,,,,7.52,10.62,11.35,12.08,11.45,12.4,12.34,12.775,13.21,12.69,13.06,12.99,12.75,10.26,9.52,7.89,8.2,8.4,7.57,8.3,5.27,3.9,4.22,3.83,
Comoros,,,,,,,,,,,,,,,,,,,,,2.99,2.995,3,3,7.26,5.66,3.14,4.39
"Congo (Kinshasa)",,,,,,,,,,,,,,,,12.01,11.5033,10.9967,10.49,11.88,10.77,11.74,10.17,10.37,10.57,10.77,10.97,
"Congo (Brazzaville)",,,,,,,20.5,18.7867,17.0733,15.36,15.6125,15.865,16.1175,16.37,16.33,16.27,16.27,16.35,16.27,18.7,16.65,16.85,16.41,16.92,18.305,19.69,19.61,17.04
"Costa Rica",,,,,,,,10.5,9.49,8.48,7.47,6.46,6.05,7.92,7.18,5.26,5.84,6.12,4.48,5.12,4.43,3.64,4.48,4.51,5.06,4.48,4.22,
"Ivory Coast",,,,,,21.65,20.58,19.51,18.44,15.886,13.332,10.778,8.224,5.67,6.92,6.88,5.11,4.1,4.2,4.14,4.14,5.43,5.12,5.02,4.26,4.26,4.09,13.52
Croatia,,,,,,,,,,,,,,3.98,5.16,4.19,2.78,2.27,2.23,1.95,1.7,1.93,1.8,1.67,1.8,2.84,,
Cuba,,,,,,7.2,6.975,6.75,6.525,6.3,6.0267,5.7533,5.48,6.22,6.04,6.45,5.15,5.01,8.38,8.29,8.15,7.31,7.16,5.13,5.53,4.97,5.175,5.38
Cyprus,2.73,2.71,3.7,3.73,4.06,3.62,3.54,8.79,6.23,5.58,4.8,3.31,0.91,1.64,1.04,0.99,0.73,0.75,0.59,0.61,0.46,0.58,0.57,0.46,0.43,0.43,0.69,0.75
"Czech Republic",2.73,2.71,3.7,3.73,4.06,3.62,3.54,8.79,6.23,5.58,4.8,3.31,0.91,1.64,1.04,0.99,0.73,0.75,0.59,0.61,0.46,0.58,0.57,0.46,0.43,0.43,0.69,0.75
Denmark,2.73,2.71,3.7,3.73,4.06,3.62,3.54,8.79,6.23,5.58,4.8,3.31,0.91,1.64,1.04,0.99,0.73,0.75,0.59,0.61,0.46,0.58,0.57,0.46,0.43,0.43,0.69,0.75
Djibouti,,,,,,,,,,,,,,,20.97,21.12,21.27,21.42,20.41,18.2433,16.0767,13.91,13.805,13.7,13.7,13.89,14.08,
Dominica,,,,,,,,,18.48,17.3867,16.2933,15.2,12.38,17.8,18.95,17.96,13.8533,9.7467,5.64,5.68,7.3567,9.0333,10.71,6.39,6.41,7.22,11.42,15.62
"Dominican Republic",,,,,,,,,,9.77,10.85,11.93,13.01,7.11,9.04,8.44,8.87,9.07,8.4,7.23,6.54,5.345,4.15,4.71,4.56,4.71,4.865,5.02
Ecuador,,,,,,6.41,9.83,9.54,9.13,8.29,10.02,10.38,7.87,8.27,9.84,7.77,5.73,5.31,3.77,3.28,2.74,2.84,4.04,2.4,2.61,2.58,2.55,2.83
Egypt,,,,,,,,7.65,8.0533,8.4567,8.86,10.87,12.88,12.45,8.53,11.83,8.87,6.3,8.14,7.82,6.4,7.35,7.69,4.97,4.7,7.35,5.53,5.39
"El Salvador",,,,,,,,10.18,9.32,8.46,7.88,8.055,8.23,7.95,3.76,8.13,3.86,7.73,2.45,3.47,2.31,2.51,6.89,6.52,2.05,2.06,1.69,1.83
"Equatorial Guinea",,,,,,,,,,,23.61,21.98,20.35,18.72,24.49,22.4667,20.4433,18.42,19.895,21.37,,,,,,,,
Eritrea,,,,,,,,,,,,,,,4.05,3.9225,3.795,3.6675,3.54,,,,,,,,,
