Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,35.8,36.5,36.5,48.3
Albania,58.2,56.5,51.3,49.6,43.6,40.3,38.3,38.5,31.5,31.4,36.5,36.5
Algeria,76.9,76.9,74.2,74.4,73,73,73,72.8,72.7,72.7,72.7,65.6
Angola,52.2,52.2,52.2,52.2,52.2,52.2,52.3,52.3,52,52.6,49,48
"Antigua and Barbuda",51.5,47.6,46.2,46.2,41,41,41,41,40.9,41.6,41.9,41.9
Argentina,107.3,107.3,107.3,107.3,107.3,107.4,107.4,107.5,119.4,137.4,137.6,106
Armenia,36.6,36.6,38.9,38.6,38.6,38.6,38.8,38.8,35.9,20.1,20,18.5
Australia,52.1,51.1,50.1,50,47.8,47.6,47.3,47.2,47.3,47.4,47.6,47.6
Austria,57.2,51.1,51.1,51.1,51.6,51.3,50.8,52.3,51.9,51.7,51.7,51.6
Azerbaijan,46.4,42.2,40.9,40.9,40.9,40.9,40,40,39.8,39.8,39.8,39.8
Bahamas,,,42.9,42.9,42.9,42.9,44.6,44.6,48.5,41.1,33.8,33.8
Bahrain,,,14.7,14.7,14.7,13.5,13.5,13.5,13.5,13.5,13.5,13.5
Bangladesh,38.8,38.8,40.8,39.9,38.8,38.8,38.8,38.8,32.5,35.4,34.4,34.4
Barbados,,,,,,,35,34.7,34.6,34.6,34.7,34.7
Belarus,137.2,137.2,120.8,117.4,99.9,80.8,63,59.2,52,52.4,54,54.8
Belgium,60.1,59.9,57.9,55.9,55.2,57.3,57.7,58.2,58,58.4,58.4,58.7
Belize,34.7,34.8,34.8,33.2,33.2,33.2,33.2,33.2,31.1,31.1,31.1,31.1
Benin,72.1,72.1,72.1,72.1,68.4,62.7,62.7,62.7,63.3,57.3,57.4,57.4
Bhutan,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,35.3,35.3,35.3,35.3
Bolivia,80,80,80,80,80,80,80,83.4,83.7,83.7,83.7,83.7
"Bosnia and Herzegovina",42.8,42.7,42.8,42.8,25.9,22.2,23.6,23.6,22.2,23.3,23.3,22.6
Botswana,17.1,17.1,17.1,17.1,17,19.5,19.5,25.4,25.3,25.1,25.1,25.1
