Country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Bulgaria,0.1,0.2,1.0,1.1,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.9,0.8,0.8,0.7,0.7,0.6,0.7,0.8,0.7,0.6,0.5,0.5,0.7,0.5,0.4,0.5,0.1,0.1,0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.1,-1.1,-1.4,-1.3,-2.5,-0.9,-0.9,-1.0,-1.0,-1.0,-0.9,-0.8,-0.8,-0.8,-0.8,-0.7,-0.7,-0.7,-0.6,-0.6,-0.5,-0.5,-0.5,-0.6,-0.6,-0.5,-0.6,-0.6
"Burkina Faso",1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.5,0.6,0.7,0.8,0.8,0.9,1.0,1.1,1.2,1.2,1.2,1.3,1.4,1.4,1.5,1.6,2.2,2.3,2.4,2.4,2.5,2.5,2.6,2.6,2.7,2.8,3.0,3.2,3.3,3.3,3.4,3.4,3.4,3.6,3.5,3.2,3.2,3.1,3.2,3.2,3.9,4.5,3.8,3.2,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1
"Ivory Coast",2.0,2.0,2.0,2.0,2.1,2.1,2.1,2.2,2.6,3.3,3.6,3.7,4.1,4.2,4.4,4.8,5.0,5.2,5.2,5.3,5.3,5.1,4.8,4.4,4.2,4.3,4.2,4.1,4.0,3.9,3.8,3.8,3.7,3.7,3.7,3.7,3.7,3.7,3.6,4.7,4.4,2.9,3.3,3.7,3.2,2.9,2.6,2.3,2.6,2.6,2.5,2.2,2.2,2.4,2.2,2.1,2.2,2.2,2.2,2.1,2.1,2.1,2.0,2.0,2.0,1.9
Cambodia,2.5,2.5,2.5,2.5,2.5,2.7,2.7,2.7,2.7,2.7,2.7,2.8,2.8,2.8,2.7,2.7,2.7,2.6,2.6,0.9,-0.1,0.9,1.1,1.0,-1.6,-3.5,-3.3,-3.2,-0.5,2.3,2.8,3.0,3.1,2.1,1.9,3.3,3.7,3.7,3.7,3.7,3.6,4.5,4.7,3.3,2.4,2.2,2.1,1.9,1.8,1.6,1.5,1.5,1.5,1.5,1.4,1.5,1.6,1.7,1.8,1.7,1.7,1.7,1.7,1.7,1.6,1.6
Cameroon,1.2,1.3,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.6,1.6,1.7,1.7,1.8,1.8,1.9,1.9,2.0,2.0,2.1,2.1,2.2,2.3,2.3,2.4,2.7,3.1,3.1,3.0,3.6,3.3,2.6,3.0,3.2,3.3,3.3,3.2,3.1,3.0,3.0,3.0,2.9,2.9,2.9,2.8,2.8,2.8,2.7,2.7,2.7,2.7,2.8,2.8,2.8,2.8,2.7,2.8,2.9,2.8,2.8,2.7,2.7,2.7,2.6,2.6,2.6
Canada,2.3,3.2,2.7,3.0,2.6,2.5,3.4,2.7,2.3,2.2,2.0,1.9,1.9,1.9,1.8,1.9,1.8,1.6,1.4,1.4,1.3,1.2,1.2,1.4,1.5,1.3,1.2,1.0,1.0,1.3,1.2,1.2,1.0,1.0,0.9,1.0,1.3,1.3,1.8,1.5,1.2,1.5,1.4,1.3,1.2,1.1,0.9,0.8,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7
Chile,2.6,2.0,1.8,1.8,2.0,2.2,2.3,2.4,2.5,2.5,2.5,2.4,2.3,2.2,2.2,2.1,2.0,1.9,1.9,1.8,1.8,1.9,1.8,1.8,1.7,1.8,1.6,1.5,1.5,1.6,1.7,1.8,1.7,1.6,1.6,1.6,1.7,1.7,1.8,1.8,1.9,1.8,1.7,1.7,1.6,1.5,1.4,1.4,1.3,1.2,1.1,1.1,1.0,1.0,1.0,0.9,0.9,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.8,0.8
China,2.0,2.1,2.2,2.4,2.2,2.1,2.6,2.5,2.0,0.2,-1.0,0.8,2.5,2.3,2.4,2.8,2.6,2.6,2.8,2.8,2.8,2.5,2.3,2.1,1.8,1.6,1.4,1.3,1.3,1.3,1.3,0.6,2.3,1.3,1.4,1.5,1.6,1.6,1.5,1.5,1.4,1.2,1.2,1.1,1.1,1.1,1.0,1.0,0.9,0.8,0.7,0.7,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.4
Colombia,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.3,3.3,3.3,3.3,3.2,3.2,3.1,3.1,3.0,2.9,2.8,2.7,2.7,2.6,2.5,2.3,2.3,2.2,2.1,2.0,1.8,1.9,2.1,2.2,2.2,2.3,2.3,2.2,2.2,2.1,2.0,2.0,2.0,2.1,2.0,2.0,1.9,1.8,1.5,1.4,1.4,1.1,0.9,1.0,1.3,1.4,1.4,1.4,1.3,1.3,1.3,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.0
"Costa Rica",3.3,3.5,3.5,3.6,3.8,3.9,3.8,3.8,4.0,4.0,3.9,3.7,3.6,3.4,3.3,3.4,3.3,3.1,3.0,2.9,2.9,2.8,2.8,2.7,2.8,2.9,2.9,4.0,3.1,1.7,2.5,2.8,2.9,2.9,3.0,3.0,2.8,2.7,2.6,2.6,2.3,2.4,2.8,2.9,2.8,2.6,2.5,2.4,2.3,2.2,1.9,1.6,1.6,1.5,1.5,1.5,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.2,1.2
Croatia,0.6,0.6,0.6,0.6,0.7,0.5,0.4,0.3,0.4,0.4,0.5,0.5,0.5,0.4,0.5,0.5,0.4,0.4,0.3,0.1,0.2,0.2,0.2,0.3,0.2,0.7,0.8,0.7,0.7,0.1,0.2,0.5,0.4,0.2,0.4,0.3,0.3,0.2,0.2,0.2,0.7,-1.0,-0.2,0.6,-0.3,-0.7,-0.4,-0.5,-0.3,0.1,0.6,0.9,0.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Cyprus,1.6,1.2,1.4,1.6,1.3,1.1,1.9,2.2,1.6,1.1,1.0,-0.5,1.1,0.7,0.7,0.7,0.7,0.8,0.8,0.9,0.8,1.0,1.2,1.1,-4.7,-1.9,0.0,0.4,0.7,1.0,1.1,1.0,1.2,1.3,1.2,0.4,1.4,0.7,1.0,1.6,2.8,2.9,2.7,2.4,2.2,2.0,1.8,1.6,1.5,1.4,1.4,1.5,1.9,2.3,2.4,2.0,1.7,1.7,1.7,1.7,1.6,1.6,1.5,1.5,1.4,1.4
"Czech Republic",1.1,1.1,1.0,0.8,0.8,0.8,0.8,0.6,0.5,0.4,-0.8,0.3,0.5,0.6,0.5,0.4,0.2,0.2,-0.5,-0.1,0.3,0.4,0.5,0.6,0.7,0.6,0.6,0.5,0.5,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.1,0.0,0.1,0.2,0.3,0.6,0.9,0.6,0.3,0.2,0.2,0.2,0.2,0.2,0.2
Czechoslovakia,1.2,1.2,1.1,1.0,1.1,1.0,1.0,0.9,0.7,0.7,0.9,0.6,0.7,0.7,0.7,0.5,0.4,0.3,-0.3,0.2,0.4,0.5,0.6,0.7,0.8,0.8,0.7,0.7,0.6,0.5,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.0,0.0,,,,,,,,,,,,,,,,,,,
Denmark,0.8,0.7,0.8,0.8,0.7,0.6,0.5,0.6,0.7,0.8,0.6,0.8,0.8,0.8,0.8,0.8,0.9,0.6,0.5,0.8,0.7,0.6,0.6,0.5,0.3,0.3,0.3,0.3,0.2,0.1,0.0,-0.1,-0.1,-0.1,0.0,0.1,0.1,0.0,0.1,0.2,0.3,0.3,0.3,0.3,0.5,0.6,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2
"Dominican Republic",2.8,3.0,3.1,3.2,3.2,3.3,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.3,3.2,3.2,3.1,3.1,3.0,2.9,2.8,2.7,2.7,2.6,2.6,2.5,2.5,2.4,2.4,2.4,2.4,2.4,2.3,2.2,2.2,2.2,2.1,2.1,2.1,2.0,2.0,1.9,1.8,1.7,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.6,1.5,1.5,1.4,1.4,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.2,1.2
"Congo (Kinshasa)",1.9,1.9,1.9,2.0,2.0,2.1,2.1,2.1,2.2,2.2,2.1,3.1,3.1,2.2,2.3,2.6,3.1,3.2,3.0,2.8,2.8,2.8,2.9,2.8,2.9,2.8,2.9,3.1,3.2,2.9,2.7,2.8,2.6,2.8,3.1,3.1,3.2,3.2,3.2,3.3,3.5,3.3,3.5,3.5,4.2,2.1,1.3,2.2,3.1,3.1,3.1,3.0,2.9,2.9,3.0,3.0,2.9,2.8,2.8,2.7,2.7,2.6,2.6,2.6,2.5,2.5
"East Germany",-0.3,0.0,-0.3,-1.2,-0.7,-1.1,-1.4,-1.2,-0.7,-0.2,-0.7,-0.8,0.3,0.2,0.3,0.2,0.1,0.0,0.0,-0.1,0.0,-0.1,-0.4,-0.3,-0.4,-0.4,-0.1,-0.1,-0.1,0.0,0.0,0.0,-0.2,-0.2,-0.2,-0.1,0.1,0.2,-1.6,-1.8,-1.2,-1.1,-0.5,-0.5,-0.4,-0.3,-0.3,,,,,,,,,,,,,,,,,,,
Ecuador,2.6,2.6,2.6,2.7,2.7,2.8,2.8,2.8,2.9,2.9,2.9,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9,2.9,2.9,2.9,2.9,2.9,2.8,2.8,2.8,2.7,2.7,2.7,2.6,2.6,2.6,2.6,2.7,1.1,1.2,1.9,2.4,2.3,2.3,2.3,2.2,1.8,1.4,1.5,1.6,1.9,2.3,2.2,1.9,1.6,1.6,1.5,1.5,1.5,1.4,1.4,1.4,1.4,1.3
Egypt,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.5,2.4,2.3,2.5,2.5,2.4,2.2,2.1,1.9,1.8,1.8,1.8,1.9,2.1,2.0,2.1,2.8,3.2,3.1,3.3,3.7,3.4,3.1,3.1,3.1,3.1,2.3,2.3,2.3,2.6,1.7,1.4,1.3,1.3,1.4,1.4,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2.0,2.0,2.0,1.9,1.9,1.8,1.8
Estonia,1.5,1.7,0.9,0.7,0.5,0.7,1.0,0.9,1.0,1.1,1.1,1.2,1.3,1.4,1.2,1.0,0.9,1.0,1.4,1.5,1.3,1.2,1.0,0.8,0.7,0.7,0.8,0.7,0.6,0.7,0.8,0.7,0.7,0.8,0.8,0.8,0.8,0.4,0.1,-0.1,-0.6,-2.0,-2.4,-1.6,-1.4,-1.3,-1.0,-0.9,-0.8,-0.7,-0.7,-0.7,-0.7,-0.7,-0.6,-0.7,-0.5,-0.4,-0.3,-0.4,-0.4,-0.6,-0.7,-0.6,-0.6,-0.5
Ethiopia,1.6,1.7,1.7,1.7,1.8,1.8,1.9,1.9,1.9,1.9,2.0,2.0,2.0,2.0,2.1,2.1,2.1,2.1,2.2,2.1,2.1,2.2,2.3,2.3,2.4,2.5,2.3,1.7,1.2,1.0,4.5,4.5,3.0,2.4,1.5,1.8,2.7,3.1,3.0,2.8,4.0,3.6,2.6,2.9,3.1,3.0,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,3.0,3.0,3.0,3.0,3.0,2.9,2.9,2.9,2.9,2.9
Finland,1.0,1.1,1.2,1.1,1.1,1.1,1.0,0.8,0.8,0.8,0.7,0.7,0.7,0.6,0.3,0.4,0.5,0.4,-0.1,-0.4,0.1,0.6,0.6,0.5,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.6,0.6,0.5,0.4,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.5,0.4,0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4
France,0.8,0.8,0.7,0.8,0.9,1.0,1.1,1.1,1.0,1.0,1.2,2.0,1.5,1.1,0.9,0.9,0.8,0.8,0.9,0.9,1.0,0.9,0.8,0.7,0.5,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.6,0.4,0.4,0.5,0.5,1.0,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.4,0.4
Georgia,1.8,1.4,1.6,2.0,1.8,1.6,1.3,1.5,1.9,1.9,1.6,1.6,1.5,1.4,1.3,1.2,1.0,0.9,0.9,0.9,1.0,0.9,0.8,0.8,0.7,0.7,0.7,0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.6,0.5,0.4,1.5,1.5,0.5,0.0,-1.1,-1.9,-2.3,-2.0,-1.5,-1.0,-0.7,-0.6,-0.7,-0.5,-0.4,-0.5,-0.2,1.0,0.9,-0.1,0.0,0.7,1.0,0.7,0.2,-0.2,-0.1,-0.1,-0.1
Germany,0.7,0.4,0.6,0.5,0.5,0.6,0.6,0.7,0.7,0.6,0.9,0.8,0.8,0.8,0.9,0.8,0.2,0.3,0.7,0.8,0.7,0.5,0.3,0.0,-0.4,-0.5,-0.2,-0.1,0.0,0.3,0.1,-0.1,-0.3,-0.3,-0.2,0.0,0.0,0.4,0.8,0.9,0.8,0.8,0.7,0.3,0.3,0.3,0.1,0.0,0.1,0.1,0.2,0.2,0.1,0.0,-0.1,-0.1,-0.1,-0.2,-0.3,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Ghana,2.6,2.7,2.7,2.7,2.7,2.8,2.8,2.8,2.9,2.9,2.8,2.8,2.8,2.9,2.9,2.9,3.0,3.0,3.0,-2.4,3.1,3.2,3.2,2.6,2.2,2.1,2.0,1.7,1.5,1.3,1.5,2.0,6.6,5.6,3.1,4.2,2.9,2.8,2.8,2.8,2.2,2.1,2.5,2.3,1.8,1.7,1.8,1.9,1.9,2.0,2.0,2.1,2.2,2.2,2.2,2.3,2.2,2.2,2.2,2.3,2.3,2.3,2.2,2.2,2.2,2.2
Greece,1.1,1.1,1.1,1.0,0.9,0.8,0.8,0.9,1.0,0.8,0.8,0.6,0.4,0.4,0.5,0.7,1.2,0.3,0.4,0.2,0.4,0.7,0.5,0.4,0.9,1.3,1.5,1.3,1.3,1.0,0.9,0.6,0.6,0.5,0.4,0.3,0.2,0.1,0.5,1.0,1.2,0.7,0.6,0.5,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0
Guatemala,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.2,3.2,3.2,2.1,2.0,2.0,2.1,2.1,2.2,2.3,2.3,2.3,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.7,2.3,3.0,2.7,2.7,3.2,4.3,4.1,2.8,2.7,2.8,1.7,1.7,2.7,2.5,2.4,2.2,2.0,1.8,1.7,1.8,2.0,1.9,1.8,2.0,2.2,2.2,2.2,2.1,2.1,2.0,2.0,1.9,1.9,1.9,1.8
"Hong Kong",3.1,4.8,5.4,5.4,5.0,4.6,4.2,4.1,4.2,4.6,4.9,5.1,4.8,4.0,2.9,1.8,0.9,0.3,0.4,0.7,1.2,1.6,1.9,2.3,2.6,3.0,3.3,3.3,3.0,2.5,1.9,1.5,1.2,1.1,1.2,1.3,1.4,1.4,1.4,1.2,1.1,1.3,1.8,2.2,2.6,2.7,1.6,0.7,0.8,0.9,0.9,0.7,0.5,0.8,0.8,0.7,0.7,0.5,0.0,-0.1,0.0,0.3,0.5,0.4,0.4,0.4
Hungary,0.9,0.9,1.0,1.2,1.2,0.9,-0.7,0.4,0.6,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.6,0.5,0.5,0.3,0.2,0.1,0.0,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-1.6,-0.4,-0.3,0.3,-0.1,-0.5,-0.3,-0.2,-0.2,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,-0.2,-0.2,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
Iceland,1.9,1.6,2.1,2.3,2.3,2.1,2.3,2.2,2.1,2.1,1.7,1.8,1.9,1.8,1.8,1.7,1.6,1.3,0.8,0.6,1.0,1.5,1.5,1.4,1.3,1.0,0.8,0.8,1.0,1.1,1.2,1.4,1.3,1.0,0.8,0.7,0.7,2.1,1.1,0.8,0.8,0.8,0.9,1.8,0.5,0.6,0.8,1.0,1.2,1.4,1.3,0.9,0.7,0.9,1.6,2.4,2.6,1.9,0.3,-0.2,0.3,0.5,1.0,1.3,1.2,1.2
India,1.7,1.9,1.9,1.8,1.8,2.0,2.0,2.2,1.9,1.9,2.3,2.3,2.2,2.2,2.3,2.1,2.2,2.4,2.1,2.3,2.4,2.3,2.3,2.2,2.4,2.1,2.3,2.2,2.5,2.3,1.9,2.3,2.1,2.2,2.2,2.1,2.2,2.2,2.1,2.1,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.7,1.7,0.7,2.7,1.7,1.6,1.6,1.4,1.4,1.4,1.3,1.3,1.3,1.2,1.2
Indonesia,1.4,1.4,1.4,1.5,1.5,1.5,1.6,1.6,1.6,1.5,1.7,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.3,2.3,2.3,2.2,2.4,2.4,2.4,2.4,2.4,2.1,2.1,2.2,2.2,2.2,1.8,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.7,1.7,1.6,1.6,1.6,1.6,1.5,1.4,1.4,1.4,1.3,1.3,1.2,1.2,1.2,1.1,1.1,1.0,1.0,1.0,0.9,0.9
