Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,873500,874500,875500,881500,877500,878500,888500,799500,805500,800000,850000,816000,827000,854400,844000,834000,833000,834000,815500,795500,735000,690000,661000,632000,598500,578000,544000,531000,510000,508000,482163,475000,557570,577000,572188,466836,426528,426203,365914,247000,194000,361000,539700,584000,528000,385000,385000,385000,417000,400000,378000,426000,425000,470987
Albania,218297,190330,208194,209571,213763,206764,208417,175142,171386,174905,170318,177220,168900,170040,164500,156500,153000,152000,164800,171700,164600,158500,157900,156800,148000,147800,151500,144800,137000,115000,70881,96509,92837,92787,85918,80805,76288,69996,68800,66200,65800,64200,62558,62500,65330,65870,62100,65700,63400,71800,78380,69800,70800,73151
Algeria,1017469,1036000,980705,618140,672460,438000,600130,792720,812810,929840,803660,1045300,884730,771080,947880,1054280,872520,760430,940750,1109710,1022800,930980,825610,1122620,1530230,1350640,1208070,784920,1164640,1177629,1688278,1681927,703542,394176,898240,1384845,290230,998240,516220,230850,566000,446450,853820,989810,746584,888126,1053736,478667,1327555,1100640,912108,1116497,982010,857702
Angola,614000,617000,607000,610000,562000,567000,590000,611000,691000,593000,613000,623000,683000,693000,693000,693000,680000,680000,680000,680000,680000,680000,680000,675000,675000,890000,950000,1000000,975000,768000,884000,1004000,1193000,928000,720000,783485,781654,860338,864848,914084,1020518,1163721,1129305,1495482,1552153,1610348,1669159,1135660,1821821,1850450,2103301,891783,2023274,2018964
"Antigua and Barbuda",,,,,,12,8,12,20,25,35,40,14,18,32,28,18,20,50,17,25,33,38,17,20,21,25,28,28,21,30,30,30,30,28,30,30,30,31,30,31,32,35,38,38,40,41,42,42,40,45,44,45,46
Argentina,5820600,4901460,5739810,6091910,5197000,5861680,6312240,6500430,6606000,7419110,7949750,6653850,7654500,7222300,6416950,6169600,6298700,6462300,6117700,4757300,6322900,6575000,6383100,6279300,5995200,5092555,4707793,4057640,3103610,3081025,3470580,3936640,3893135,3605225,3564530,3770735,4846390,4556550,3941475,4556237,4159358,3612321,3502496,3488502,3832511,3480403,4154702,4890330,3438163,4763735,6146243,6648455,7277564,6843280
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97267,83530,72380,73150,81183,78100,64200,54884,50145,82951,65645,68704,73504,74537,57366,74229,77195,75484,69092,78332,76696,77319,81114
Australia,2463513,2469638,2502279,2546499,2733852,3051533,2772778,3245433,3262046,4079561,4510624,3910546,3898250,3369951,3934221,3936880,4552235,4702174,4194884,4187770,4921666,4554943,5865415,5575575,5361359,4530195,4756982,4502770,4246540,4105662,4420782,4918159,5033766,4143088,5288819,5653688,5381262,5100500,4265000,5279990,5810894,6171901,6809920,6809992,6578312,6471176,7239855,7324149,6590200,5921348,5485141,5429596,4768901,5289203
Austria,626267,627443,613547,613132,591087,587016,586437,605508,671459,686618,695870,700864,715970,716888,717491,735541,741073,767323,797730,800027,776144,762654,754413,736321,733629,734339,679986,674406,668883,670211,652375,591975,584065,580542,551760,605425,612864,599842,572143,558428,558547,524652,537800,525596,529600,492206,518174,544212,526068,527480,522534,523210,505824,523040
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190411,201554,173000,182800,169870,113829,72087,85566,140933,177153,159243,172372,192542,199169,212120,239083,277419,304176,296420,298374,328685,369743,375004
Bahamas,150,180,240,280,330,470,480,500,500,520,535,555,580,595,604,612,621,630,630,630,630,635,600,600,610,610,550,500,500,500,450,300,250,174,174,174,200,190,175,126,100,100,100,100,100,100,100,105,100,90,94,94,88,55
Bangladesh,99159,102778,88626,77633,78495,78509,79309,111397,114000,113601,107660,100520,96393,96700,93455,91360,90679,80510,83215,75828,91556,61779,165708,145579,158885,154858,129929,114204,115041,113264,111445,107707,99521,98602,92681,93172,91378,96279,85795,38586,51595,75093,69392,88297,93858,120034,178085,263705,161744,188695,193107,216575,252920,323913
Barbados,380,358,376,284,300,400,430,610,730,660,600,760,760,765,765,765,765,765,765,800,800,800,800,880,800,820,820,840,840,860,800,700,600,500,400,300,250,200,150,115,96,83,100,94,95,100,105,97,93,90,90,100,120,30
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2485000,2501852,2530519,2413382,2242440,2178593,2024041,1877684,1902021,2038853,1936780,1805149,1876103,1787803,1855864,2014384,1945673,1867809,1797984,1825931,1831074,1718329,1686193
Belgium,316153,310070,296675,281365,288238,318617,317442,308503,306172,308858,289515,284096,279201,269188,252610,247661,252529,251558,246753,233893,230131,215548,200942,206744,189583,190619,183698,183113,166422,146230,132798,130774,132213,110923,100135,96909,99805,123751,111868,,,,,,,,,,,,,,,
Belize,6961,4283,4283,5557,5261,6275,6026,6621,7102,10117,10247,11055,9817,11412,11331,12567,12666,11331,10117,10522,11460,11000,10350,11785,14178,11526,14500,15000,13559,11615,12828,13741,15509,13861,17672,16533,18751,16020,17596,16166,14445,18268,14395,16423,15800,17059,20144,21125,20650,24567,24627,23839,27033,22784
Benin,529675,583910,551083,554200,517164,491008,541415,506184,490415,490526,443085,484607,495970,467995,396570,373438,423543,554790,531628,473283,544956,534699,577986,598239,620346,586887,545615,660176,655311,636023,660827,659528,672664,665716,665557,695562,770489,804173,820628,878001,855224,950495,884339,942861,984724,802333,979267,1062167,1019179,1063601,961638,1082012,1101071,1099197
Bhutan,44900,46400,48000,49300,50800,52100,53700,56000,57100,58400,59700,60900,62300,63700,64650,66300,67400,69000,71750,74150,75800,76517,80150,82798,77700,72800,71200,60600,60960,62004,59411,59166,65370,67029,69326,68850,68955,68103,62014,43570,51818,36257,36448,29484,48358,50787,61071,37897,39610,33511,39133,33606,30740,30650
Bolivia,327397,335227,340397,339274,336987,320867,316391,330732,333850,335100,349750,336150,341086,350460,367640,364090,382460,368610,376755,394025,429745,408120,357007,449172,515027,453025,461008,453636,431871,389042,433564,436869,458775,424837,441917,442744,396145,438494,478184,481996,482177,503786,489412,514952,550819,590841,631664,708062,670539,573394,605742,690299,1103909,1132685
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204100,173435,145000,117200,182900,257305,274931,269497,260683,250244,250917,243557,237614,236111,239179,236459,246128,241064,232146,241808,241220,235956,212652
