Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,10,10,10,10,10,10,10,10,10,10
Albania,8,8,8,8,8,8,8,8,8,8
Algeria,9,9,9,9,9,9,9,9,9,9
Angola,8,8,8,8,8,8,8,8,9,9
"Antigua and Barbuda",5,5,5,5,5,5,5,7,7,7
Argentina,6,6,6,6,6,6,6,9,8,8
Armenia,6,6,8,8,9,8,8,8,8,8
Australia,7,7,7,7,7,7,7,7,7,7
Austria,4,4,4,4,4,4,4,4,4,4
Azerbaijan,11,11,11,11,11,11,11,11,11,11
Bahamas,,,5,5,5,5,5,5,5,5
Bahrain,,,8,8,8,8,8,8,8,8
Bangladesh,9,9,9,9,9,9,9,9,,
Barbados,,,,,,,5,5,5,5
Belarus,10,10,10,10,10,10,10,10,10,10
Belgium,4,4,4,4,4,4,4,4,4,4
Belize,7,7,7,7,7,7,7,7,7,7
Benin,9,9,9,9,9,9,9,9,8,7
Bhutan,11,11,11,11,11,11,11,11,11,11
Bolivia,6,6,6,6,6,6,6,6,6,6
"Bosnia and Herzegovina",7,7,8,8,8,8,8,8,8,8
Botswana,7,7,7,7,7,7,7,6,6,6
Brazil,8,8,8,8,8,8,8,8,,
Brunei,,5,5,5,5,5,5,5,5,5
Bulgaria,8,8,5,5,5,5,5,5,5,5
"Burkina Faso",13,13,13,13,13,12,12,12,12,12
Burundi,10,10,10,10,10,10,10,10,9,9
"Cape Verde",7,7,7,7,7,7,7,7,7,7
Cambodia,11,10,10,10,10,9,9,9,9,9
Cameroon,10,10,10,11,12,12,12,12,12,12
Canada,3,3,3,3,3,3,3,3,3,3
"Central African Republic",17,17,17,17,17,17,17,17,17,17
Chad,10,10,10,10,10,10,10,10,11,11
Chile,5,5,5,5,5,5,5,5,5,5
China,6,6,6,6,5,5,5,5,,
Colombia,6,6,6,6,6,6,6,6,6,6
Comoros,8,8,8,8,8,8,8,8,8,8
"Congo (Kinshasa)",9,10,10,10,10,10,10,10,10,10
"Congo (Brazzaville)",10,10,10,10,10,10,10,10,10,10
"Costa Rica",5,5,5,5,5,5,5,5,5,5
"Ivory Coast",13,13,13,13,13,13,13,13,13,13
Croatia,7,7,7,7,7,7,7,7,7,7
Cyprus,,,,7,7,7,7,7,7,7
"Czech Republic",6,6,6,6,6,6,6,6,6,6
Denmark,3,3,3,3,3,3,3,3,3,3
Djibouti,13,13,6,5,5,5,5,5,5,5
Dominica,8,8,8,8,8,8,8,8,8,8
"Dominican Republic",9,9,6,6,6,6,6,6,6,5
Ecuador,7,7,7,6,6,6,6,6,6,6
Egypt,11,10,10,10,10,10,10,10,10,10
"El Salvador",9,9,9,7,7,7,7,7,7,7
"Equatorial Guinea",6,6,6,6,6,6,6,6,6,6
Eritrea,12,12,12,12,12,12,12,12,12,12
Estonia,4,4,4,4,4,4,4,4,4,4
Ethiopia,11,11,11,11,11,11,11,11,11,11
Fiji,9,9,9,9,9,9,9,9,9,9
Finland,5,5,5,5,5,5,5,5,5,5
France,13,5,5,2,2,2,2,2,2,2
Gabon,7,7,7,8,8,8,8,8,8,8
Gambia,6,6,6,6,6,6,6,6,6,6
Georgia,15,7,7,7,4,4,4,4,4,4
Germany,4,4,4,4,4,4,4,4,4,4
Ghana,7,7,7,7,7,7,7,7,7,7
Greece,6,6,6,6,6,6,6,6,6,6
Grenada,6,6,6,6,6,6,6,6,6,6
Guatemala,3,3,7,6,6,6,6,6,6,6
Guinea,8,8,8,8,8,8,8,8,8,8
"Guinea Bissau",6,6,6,6,6,6,6,6,6,6
Guyana,7,7,7,7,7,7,7,7,7,7
Haiti,9,9,9,9,9,9,9,9,9,9
Honduras,7,7,7,6,6,6,6,6,6,6
"Hong Kong",8,3,3,3,3,3,3,3,3,3
Hungary,6,6,6,6,6,6,6,6,6,6
Iceland,4,4,4,4,4,4,4,4,4,4
India,10,10,10,10,10,10,10,10,,
Indonesia,8,8,8,8,8,8,8,8,,
Iran,11,11,11,11,11,11,11,11,11,11
Iraq,10,10,10,10,10,10,10,10,10,10
Ireland,2,2,2,2,2,2,2,2,2,2
Israel,4,4,4,4,4,4,4,4,4,4
Italy,3,3,3,3,3,3,3,3,3,3
Jamaica,9,7,7,7,7,7,7,7,7,7
Japan,5,5,5,5,5,5,5,5,,
Jordan,12,7,7,7,7,7,7,7,7,7
Kazakhstan,13,13,13,13,13,12,12,12,12,12
Kenya,14,9,9,9,9,9,9,9,9,9
Kiribati,6,6,6,6,6,6,6,6,6,6
"South Korea",8,8,6,6,3,3,3,3,3,3
Kosovo,,,,,7,7,7,7,7,7
Kuwait,10,10,10,10,10,10,10,10,10,10
Kyrgyzstan,17,17,17,17,11,11,11,11,11,11
Laos,15,15,10,10,10,10,10,10,10,10
Latvia,5,5,6,6,6,6,6,6,5,5
Lebanon,11,11,7,7,7,7,7,7,7,7
Lesotho,8,8,8,8,8,8,8,7,7,7
Liberia,,12,12,12,12,12,12,12,12,12
Libya,,,,,,,,9,9,9
Lithuania,5,5,5,5,5,5,5,5,5,5
Luxembourg,,4,4,4,4,4,4,4,4,4
"Macedonia (F.Y.R.O.M.)",9,9,9,8,8,8,8,8,8,8
