Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Brazil,,46.09999847,47.09999847,47.59999847,48.40000153,49.29999924,50,51.59999847,52.40000153,53.20000076,54.5,52.95,51.40000153,51.90000153,53.1,54.29999924,55.70000076,55.79999924,56.5,56.5,59.09999847,59.40000153,57.79999924,58.20000076,57.79999924,57.90000153,59.09999847,59.5,59.70000076,60.70000076,75.30000305,62.40000153,62.70000076,62.90000153,76.59999847
Brunei,,,,,,,,,,,,73.69999695,74.05,74.4,74.75,75.1,75.45,75.8,76.15,76.5,76.85,77.19999695,77.4769,77.7538,78.0308,78.3077,78.5846,78.8615,79.1385,79.4154,79.6923,79.9692,80.2462,80.5231,80.80000305
Bulgaria,32.90000153,33.09999847,33.29999924,33.5,33.70000076,34,34.20000076,34.5,35,36,37.29999924,39.29999924,40.29999924,41.29999924,42,42.59999847,42.79999924,45.625,48.45,51.275,54.09999847,57.79999924,57,57.29999924,56.59999847,57,57.59999847,57,56.20000076,57.59999847,59.90000153,61.70000076,62.20000076,63.09999847,62.79999924
"Burkina Faso",,,,,,,,,,,,,,,7.5,7.9444,8.3889,8.8333,9.2778,9.7222,10.1667,10.6111,11.0556,11.5,11.85,12.19999981,13.5,22.29999924,,,,,,,
"Burma (Myanmar)",23.10000038,23.20000076,23.10000038,23.39999962,23.29999924,23.29999924,23.29999924,23.60000038,23.89999962,23.89999962,21,21.45,21.89999962,21.5,21.5,22.6333,23.7667,24.89999962,25.10000038,,,,,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,5.599999905,,,,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,18.20000076,18.05,17.89999962,19.29999924,23.9,28.5,33.09999847,29.625,26.15,22.675,19.20000076,24.4,29.60000038,,,,
Cameroon,,,,,,,14,14.5733,15.1467,15.72,16.2933,16.8667,17.44,18.0133,18.5867,19.16,19.7333,20.3067,20.88,21.4533,22.0267,22.60000038,,,,,,,,,,,,,
Canada,66,66.30000305,68.19999695,68.90000153,68.90000153,69.5,69.80000305,69.90000153,69.90000153,70,70.80000305,72,72.80000305,73.5,73.40000153,73.30000305,73.5,73.30000305,73.40000153,73.59999847,73.59999847,74.80000305,74.69999695,75,75,75.19999695,75.80000305,76.40000153,76.69999695,77.80000305,78.09999847,78,77.80000305,78,78.19999695
"Cayman Islands",,,,,,,,,,,,80.09999847,79.7714,79.4429,79.1143,78.7857,78.4571,78.1286,77.8,77.4714,77.1429,76.8143,76.4857,76.1571,75.8286,75.5,76.40000153,76.40000153,78.09999847,79.59999847,84.19999695,83.69999695,83.09999847,83.59999847,
Chad,,,,,,,,,,,,,,14.5,,,,,,,,,,,,,,,,,,,,,
Chile,59.79999924,60.70000076,65.40000153,66,63.70000076,59.59999847,58.20000076,56,54.79999924,54.09999847,55.5,54.59999847,55.5,56.20000076,57.70000076,58.20000076,58,58.29999924,60,62.09999847,62.20000076,62.5,62.59999847,63,43,43.5,44.29999924,44.59999847,44.70000076,45.5,65.30000305,66.59999847,65.69999695,67.09999847,
China,,,,,,,,10.69999981,11.10000038,10.89999962,9.899999619,10.19999981,10.60000038,10.60000038,11.5,12.19999981,12.69999981,13.10000038,12.80000019,12.89999962,12.69999981,12.69999981,16.10000038,50.5,50.29999924,49.5,48.90000153,48.59999847,49.29999924,49.09999847,48.79999924,47,,,
Colombia,64.59999847,65.52,66.44,67.36,68.28,69.19999695,69.5,68.59999847,68.59999847,68.80000305,67.69999695,68,67.40000153,67.30000305,67.19999695,67.40000153,68.90000153,71.09999847,72.30000305,74.5,73.30000305,44.29999924,59.59999847,60.40000153,60.29999924,58.90000153,59,62,62.59999847,61.5,61.70000076,61.29999924,62,63.70000076,64.09999847
"Congo (Brazzaville)",,,,,,,,,,,,,,,,,,,,,,,,,,42.20000076,,,,,,,,,
"Costa Rica",48.29999924,49.40000153,48.20000076,49.59999847,50.5,51,49.29999924,46.40000153,47.09999847,46.59999847,47.5,47.29999924,48.90000153,50.5,51.59999847,53.5,54.09999847,55.09999847,56.09999847,56.5,56.70000076,60.70000076,61.29999924,62.20000076,62.90000153,62.90000153,64,64.30000305,65.69999695,64.40000153,64.69999695,65.80000305,66.90000153,68.19999695,
Croatia,,,,,,,,,,,,,,,,,50.90000153,52.70000076,53.40000153,52.79999924,56.5,54.29999924,56.20000076,54.5,55.20000076,56,58.09999847,58,57.40000153,58.79999924,59.29999924,58.40000153,60.70000076,62.20000076,63.90000153
Cuba,,,,,,,,,,,,45.79999924,45.79999924,46.59999847,48.90000153,52,52,52,57.20000076,53.79999924,53.79999924,58.09999847,58.09999847,58.09999847,59.40000153,60.59999847,61.79999924,63.20000076,63.29999924,63.90000153,64.5,63.20000076,61.59999847,64.19999695,
Cyprus,44.70000076,46.09999847,47.40000153,48.70000076,49.40000153,50.90000153,52,53,53.90000153,55.20000076,56.29999924,57.20000076,58.5,60.20000076,62,63,65.05,67.1,69.15,71.19999695,71.19999695,71.80000305,72.09999847,72.5,72.09999847,72,73.69999695,73.69999695,73.59999847,75.09999847,76.5,76,77.5,79.80000305,79.59999847
"Czech Republic",,,,,,,,,,,42.20000076,44,46.79999924,49.29999924,50.90000153,51.5,52.29999924,52.59999847,52.90000153,53.79999924,54.59999847,54.40000153,54.70000076,55.40000153,56,56.29999924,56.09999847,56,56.09999847,58,58.70000076,58.29999924,58.59999847,59.20000076,58.90000153
Denmark,,62.5,63,63.5,66.40000153,65.40000153,65.59999847,65.90000153,66.80000305,66.5,66.59999847,66.30000305,67.59999847,68.5,68.09999847,68.40000153,69.59999847,69.69999695,69.69999695,69.40000153,70.90000153,70.90000153,73.19999695,73.19999695,72.90000153,72.90000153,73.5,73.5,74.5,77.09999847,77.90000153,77.59999847,77.59999847,77.80000305,78
Dominica,,,,,,,,,,38.79999924,41.75,44.70000076,46.2167,47.7333,49.25,50.7667,52.2833,53.79999924,53.9,54,56.4,58.79999924,,,,,,,,,,,,,
"Dominican Republic",,,,,,,,,,,,56.59999847,58.70000076,59.09999847,61.40000153,61.29999924,54.09999847,54.5,56.79999924,57.20000076,59.79999924,62.09999847,62.90000153,59.29999924,58.29999924,58.79999924,59,59.79999924,59,59.79999924,52.40000153,42.5,42.5,42.79999924,41.90000153
Ecuador,,,,,,,,,68.59999847,68.90000153,67.30000305,68.30000305,69.09999847,67.69999695,70.19999695,71.90000153,71.80000305,70.80000305,71.19999695,69.69999695,50.79999924,48.5,49.6,50.70000076,49.79999924,51.29999924,50.5,52.09999847,52.5,52.5,53.09999847,54.09999847,54.40000153,54.29999924,
Egypt,35.70000076,36,37.59999847,36.20000076,36.20000076,36.32,36.44,36.56,36.68,36.79999924,40.09999847,43.79999924,40.09999847,43,43.29999924,44.09999847,44.59999847,46.20000076,47.90000153,48.70000076,49.09999847,50.20000076,51.90000153,50.40000153,48.20000076,47.5,46.59999847,46,45.29999924,46.20000076,46.29999924,47.09999847,48.09999847,47.90000153,
"El Salvador",41.5,42.08,42.66,43.24,43.82,44.40000153,67.30000305,65.3,63.29999924,62.79999924,63.40000153,60.90000153,41.5,43.85,46.20000076,46.70000076,47,50.09999847,50.40000153,53.40000153,51.59999847,51.90000153,53,54.70000076,54.40000153,54.79999924,55.40000153,57,55.29999924,58.5,57.79999924,57.09999847,58.09999847,60.09999847,
"Equatorial Guinea",,,,17.60000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,41.5,41.79999924,43.70000076,45.90000153,50.79999924,53.29999924,55.59999847,56.59999847,56.79999924,57.70000076,59.20000076,59.59999847,60.70000076,61.79999924,61.29999924,59.20000076,61.09999847,61.90000153,60.40000153,60.20000076,64.09999847,64.90000153,62.59999847,63.79999924,64.80000305,65.5
Ethiopia,,,,,,,,,,,,,,,7.599999905,13.8,20,26.2,32.4,38.6,44.8,51,57.2,63.4,69.59999847,13,69.19999695,69.04,68.88,68.72,68.56,68.40000153,70.30000305,19.89999962,
"Faroe Islands",,,,,,,,,,,,,,,,,,,,,,,,,,66.69999695,,,,,,,,,
Fiji,,,,,,,,,,,64.40000153,64.3667,64.3333,64.30000305,65.1333,65.9667,66.80000305,65.5,64.30000305,64.5,67.69999695,68,68.3,68.59999847,68.59999847,68.09999847,68.40000153,73.19999695,,,,,,,
Finland,52.20000076,52.5,53.5,54.79999924,55.79999924,57.09999847,57.59999847,59,60.09999847,60.59999847,61.09999847,62.79999924,64.09999847,64.80000305,65.30000305,64.59999847,64.30000305,64.59999847,64.5,65.80000305,65.80000305,67,67.30000305,67.90000153,68.69999695,69.30000305,69.5,69.69999695,70.09999847,71.30000305,72,72.5,72.80000305,72.80000305,73.69999695
France,56.20000076,57.20000076,58.09999847,59.20000076,60.20000076,61.29999924,62.20000076,63.09999847,63.79999924,64.40000153,64.80000305,65.5,64.59999847,66.90000153,67.90000153,68.09999847,68.59999847,68.80000305,69.19999695,69.5,69.59999847,69.90000153,70.5,71.09999847,71.69999695,72.30000305,72.30000305,73.09999847,73.59999847,74,74.40000153,74.59999847,74.90000153,74.90000153,75.80000305
