Country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Chile,27218.68555,29077.45898,29871.50391,31499.125,34424.95313,37271.72266,38718.08984,39237.16406,39757.13281,40914.64063,42029.41406,42350.01172,42578.53906,43916.45313,44656.90234,45118.92969,45879.69141,45832.43359,45604.94141,44619.14844,45063.24609,46483.21875,47292.11719,47382.89063,47626.96875,47922.79688
China,2991.093018,3347.105957,3751.093994,4183.690918,4602.182129,4987.816895,5394.237793,5780.211914,6164.073242,6599.109863,7093.310059,7666.811035,8355.321289,9123.240234,10065.94141,11267.58789,12757.77832,13992.5957,15208.99512,16773.45898,18238.78516,19547.25,20950.71094,22392.9082,23845.32617,25369.06641
Colombia,24197.10352,24592.22656,24124.6582,24402.41406,24542.22266,24689.89844,24398.44531,24176.33984,23501.88867,23561.74609,21426.5,21182.19727,20762.94727,21928.00781,22167.31836,23860.44531,25149.05078,25354.35938,24598.17773,24857.55664,25711.66211,25975.31445,26677.40234,27181.51563,27538.35547,28015.41992
Comoros,6098.810059,6439.374023,6396.78418,5834.73584,5860.998047,5580.339844,5624.458008,5499.236816,5418.220215,5801.057129,5749.62793,5693.254883,5617.699219,5529.920898,5508.305176,5464.479004,5327.175781,5174.727051,5104.705078,5046.900879,5020.573242,5014.374023,5032.435059,4977.167969,4897.40918,4867.841797
"Congo (Kinshasa)",2993.206055,2575.305908,2139.957031,1983.343994,1932.845947,1863.391968,1714.927979,1648.040039,1538.141968,1392.029053,1327.012939,1328.131958,1361.139038,1408.740967,1448.38501,1480.802002,1525.483032,1569.324951,1561.262939,1618.473022,1676.307007,1740.107056,1828.625,1930.267944,1992.364014,2001.77002
"Congo (Brazzaville)",16423.4082,16292.09082,15570.18066,14189.8457,13911.96094,14086.53711,13508.38965,13522.69336,13083.50684,14078.2793,13288.17383,13667.53125,13498.875,13679.79785,14848.22754,14970.90332,14163.61719,14393.87598,15607.83496,16196.85742,16059.08496,15728.34668,15898.33887,16611.30664,16684.29102,16637.94531
"Costa Rica",20359.13281,21473.51953,22124.61914,22388.76367,22475.94727,22905.28125,22511.14453,23029.72852,24578.75195,24695.3457,23514.58398,23796.64258,24868.38281,25714.48438,25790.25391,27231.53711,28033.32813,28587.36914,28785.08398,30445.53516,31009.81641,32267.49023,32414.7832,33083.40234,33763.5625,34431.93359
"Ivory Coast",9200.537109,8859.091797,8544.581055,8285.71875,8577.973633,8981.947266,9056.484375,9251.240234,9139.443359,8711.806641,8565.379883,8273.413086,8023.335938,7986.87793,7979.458984,7934.438965,7901.719238,7921.248047,7986.630859,7945.598145,7392.454102,7986.606934,8480.537109,8943.883789,9428.390625,9907.583984
Croatia,32774.10156,29052.76563,26866.92969,29048.30859,31395.5918,33484.4375,36143.91016,37773.52344,38837.08984,41906.57813,43919.20703,46360.01953,48075.95703,48649.29297,50194.05859,52220.17969,54016.1875,54545.75781,51308.25,52489.91406,54300.31641,54956.37891,55806.82813,54114.60547,54632.13672,54122.33203
Cuba,30482.44727,26594.80469,22378.4668,22473.33398,23854.14063,25343.49414,25823.45703,25594.08398,27195.39453,28498.02344,28978.6582,29094.51367,29816.26172,31343.24805,34160.95313,37570.97266,39231.76172,40142.16016,39488.57031,41238.79688,42161.90234,43389.65625,44350.16797,44580.61328,46426.99609,47374.83203
Cyprus,45753.21484,53629.71484,47974.62109,48153.09766,52253.4375,54841.62891,49945.71094,49943.94141,52028.22266,49231.55469,48194.67188,48142.74219,47865.06641,48545.75391,50005.64844,50616.20703,51484.69531,52315.63672,51171.32813,51123.45313,51973.96875,52419.375,51417.68359,49377.83203,48642.0625,47532.17969
"Czech Republic",37152.46875,37033.63672,37070.92578,37709.94141,39774.25391,41424.52344,41215.75391,41631.17188,43236.91797,45489.57031,46547.19141,46840.40234,48988.96875,51871.85547,54613.76172,57746.48828,59775.10938,60679.04297,58629.19531,60366.80469,61262.01953,60473.35547,59552.38281,60250.4375,62407.46094,63322.47656
Denmark,65480.67969,66590.61719,68296.3125,72769.36719,73060.67188,74881.46094,75585.53906,77230.0625,78629.46875,81428.25,82112.30469,81897.90625,83433.11719,84440.59375,86249.22656,87646.22656,88259.82031,86414.60938,84575.34375,87937.47656,89042.08594,88842.79688,88416.92188,88696.32031,88769.02344,89010.35156
Djibouti,11970.14844,11565.20898,10433.96191,10038.35352,9413.898438,8757.037109,8458.539063,8245.387695,8194.801758,7976.602051,7899.879883,7858.172852,7851.824219,7891.057129,7881.004883,8021.890137,8178.694824,8393.050781,8548.601563,8595.452148,8762.572266,8965.705078,9204.272461,9547.783203,9975.728516,10425.97461
"Dominican Republic",16494.01953,18073.83008,18803.8418,17950.94922,18442.64844,19574.06055,20452.41797,21141.77734,21962.81641,22863.33594,23060.86328,23880.05469,23429.10938,23664.05078,25087.79492,26562.00586,27880.71094,28311.06641,28909.60938,29222.58008,29745.25,29958.70117,30884.83594,32492.20508,34156.58203,35582.53516
Ecuador,20330.28516,20728.13477,20275.83398,20175.67969,19902.46094,20364.95117,20335.77148,20907.97461,19916.58008,18355.10547,18916.12891,18790.00781,19244.54102,19142.32617,19844.37695,19888.9082,20121.95898,21550.96484,21126.19727,21827.20703,23057.50586,23991.97656,24711.09766,24892.49219,24701.33984,23804.29297
Egypt,23237.33008,24408.1582,24742.43359,24593.76172,25793.42578,25945.14063,26774.625,27334.92578,27287.80859,28429.66602,29003.87695,29395.94141,29129.45898,28628.04297,28837.08789,30508.46484,30622.90625,31808.4668,32612.93555,33200.42578,34524.81641,34793.27344,34912.72656,35053.80859,35585.10938,35954.23438
"El Salvador",13303.74414,14236.8584,15064.8252,15110.14453,16020.13184,16466.87891,17039.25586,16852.18555,17345.0293,17630.49414,17896.36914,18136.43359,18080.35352,18609.76953,18989.77148,19184.85938,19484.56055,19291.93164,18813.45703,18841.38477,18812.70703,18692.28906,18624.20313,18672.71094,18940.75977,19153.18555
"Equatorial Guinea",2141.516113,2842.659912,3081.250977,3520.262939,4041.185059,6613.695801,16343.27246,19236.6543,23409.14063,27252.625,42775.73047,48823.13672,53396.87109,71015.69531,79340.5,82362.35156,89510.92188,95058.625,87437.21094,81078.36719,80174.90625,82041.17188,74050.99219,71466.49219,64270.10547,56466.72656
Eritrea,2672.175049,2717.599121,3142.948975,3873.314941,4013.915039,4279.957031,4489.578125,4405.754883,4226.725098,3917.028076,4046.612061,3966.428955,3661.743896,3536.88501,3474.762939,3341.138916,3304.927002,2906.456055,2962.808105,2966.451904,3162.116943,3315.128906,3341.962891,3432.501953,3520.870117,3551.612061
Estonia,26428.22852,22104.92188,22357.93555,23153.64648,25144.13477,26636.5293,29922.61914,31052.24023,32015.61523,36300.67188,38452.03906,40206.71484,42689.10547,44841.45703,48242.70703,50506.51563,53689.63672,50821.10547,47733.40234,51162.98828,51807.09766,53794.06641,53903.51953,55095.92578,55225.80078,56724.20313
Ethiopia,1428.985962,1259.802979,1377.791992,1373.563965,1409.470947,1540.295044,1555.573975,1471.149048,1518.571045,1498.28894,1597.328003,1551.649048,1452.907959,1580.369995,1703.713013,1831.092041,1980.968994,2126.801025,2239.336914,2440.697998,2625.930908,2777.843994,2939.816895,3134.035889,3342.416016,3455.835938
Fiji,18143.95117,18667.54492,18641.40234,18989.31641,18842.61133,19389.71875,19005.61328,19586.37305,21086.70508,20559.01953,20276.63281,21177.29492,21211.38281,21233.61328,21136.40234,21969.92969,22229.77148,22206.55664,21537.26953,21945.41211,21147.15234,21334.92578,22338.16992,23772.68555,24457.2793,24819.70508
Finland,55767.77344,58031.08203,61296.09766,64336.07813,66816.42969,67927.0625,72014.72656,73694.72656,74178.39063,76946.5625,77586.33594,78823.58594,80807.71875,84032.46094,83846.83594,85377.66406,88129.55469,87357.60938,82583.57813,85476.27344,86563.15625,84979.09375,85264.14063,85474.19531,86434.94531,86923.38281
France,73710.54688,75233.96094,75373.375,78021.85938,78715.83594,79555.92969,81697.6875,83655.49219,85550.6875,86674.32813,86773.75,86877.07813,85527.5,88051.34375,88259.28906,89965.10938,90545.19531,89605.8125,87775.54688,89323.79688,90971.21094,91006.42969,92077.03125,92167.61719,93418.6875,94177.96094
"French Polynesia",59866.56641,58676.00391,57016.8125,55827.71094,54555.83203,52890.49609,53156.13672,55848.03906,61193.11719,59288.30469,56295.51953,54560.34375,57997.60547,55781.05078,58865.28516,61561.85156,56508.69531,57570.29688,56225.89453,56575.39453,60946.77344,65734.78125,65973.17188,66724.92188,65582.35156,65748.94531
Gabon,69644.97656,63833.76953,63728.23438,64614.07813,67390.66406,67077.125,71791.85938,69836.41406,61947.47656,59188.03125,59001.62109,57372.76172,57269.57422,56202.00391,57074.48047,55567.67188,59948.01563,59045.46094,60594.40625,69166.69531,72033.03906,73596.16406,75536.79688,76490.625,75960.26563,75364.46094
Gambia,5151.852051,5177.887207,5197.161133,5040.86084,4957.233887,4939.940918,5040.580078,5081.268066,5243.541992,5353.709961,5503.292969,5128.188965,5337.13623,5530.564941,5276.10498,5180.162109,5209.828125,5341.065918,5502.935059,5669.187988,5225.592773,5388.651855,5464.21582,5319.975098,5366.236816,5326.51123
Georgia,13158.97754,7132.104004,5067.527832,4633.548828,4763.820801,5459.355957,6113.272949,6524.931152,6713.967773,6870.751953,6996.629883,7776.937012,8387.535156,9194.379883,10265.21973,11275.48145,12678.63379,13519.68262,13130.97754,13739.07031,14473.5918,15312.20313,16105.01074,16650.39648,17132.03516,17707.25586
Germany,69734.19531,71989.26563,72217.90625,74706.01563,75188.125,75860.14063,77699.14063,78622.32813,79657.60156,81365.78125,82760.54688,83832.15625,85135.71875,86187.3125,86456.24219,88136.83594,88980.125,88877.58594,83900.64844,86484.17969,87602.69531,87411.85156,86838.09375,87612.15625,88481.17188,89805.36719
Ghana,5167.750977,5124.86084,5211.662109,5245.645996,5363.11084,5474.741211,5477.36377,5583.688965,5762.248047,5797.435059,5751.585938,6020.655762,6056.257813,6221.061035,6461.641113,6689.51123,7086.12207,7077.873047,7306.910156,7208.458984,7862.480957,8262.501953,8629.283203,8747.941406,8886.875,8982.555664
Greece,58254.61719,57098.47266,55735.26172,55621.09375,55575.09766,56154.72266,58228.80078,59750.25391,61456.19141,63248.91797,65959.49219,67446.125,70188.67969,73549.42188,73634.71094,76276.84375,78120.85156,77081.625,74545.125,72753.77344,71368.94531,72689.13281,74184.54688,74650.01563,73368.95313,72584.24219
Guam,11007.16895,11392.29297,11823.57129,12532.88965,12784.07715,12993.57422,12832.63086,12699.72559,13850.44531,13983.70508,13660.72266,13921.05566,13830.10742,13743.15723,14012.15332,14032.23242,14976.95996,15324.26074,15226.80176,15184.33301,16437.33984,16324.16602,16161.91309,16260.39648,16306.5752,16439.69141
Guatemala,16551.78125,16690.74609,16875.51563,17047.16992,17223.82617,17351.35938,17295.76953,17534.5918,17479.11328,17412.83984,17174.94336,17545.02344,17413.5293,17291.36523,16703.90039,16509.28711,17430.48047,17812.54688,17728.16602,18139.72461,18744.34766,17207.31055,18857.16016,19016.67578,19092.30469,19154.0293
Guinea,3143.3479,3053.354004,3016.522949,2962.908936,2949.467041,2974.948975,3040.787109,3074.23999,3116.551025,3116.388916,3161.116943,3249.830078,3210.322021,3201.197998,3205.803955,3191.072021,3143.996094,3189.808105,3069.023926,3019.708008,3015.229004,3041.943115,2728.715088,2656.831055,2579.553955,2601.047119
"Guinea Bissau",4155.433105,4116.053223,4116.833008,4157.647949,4241.851074,4643.605957,4836.168945,3349.562012,3313.278076,3398.511963,3390.440918,3269.985107,3204.842041,3209.455078,3259.711914,3252.61792,3272.11499,3288.749023,3306.666016,3359.863037,3574.259033,3392.531006,3310.105957,3301.01001,3361.090088,3430.365967
Guyana,9133.28125,9805.53418,10506.1084,11348.27148,11899.13086,12725.05273,13445.73535,13148.09277,13553.48633,13421.37695,13704.33691,13943.15137,13835.98242,14343.6543,13951.56445,14581.00684,15363.29297,15599.50391,15871.34668,16348.8252,16918.09375,17513.33203,18181.33789,18659.13086,18893.46875,19365.14063
Haiti,6099.25293,5872.35498,5499.956055,4796.309082,5125.035156,5256.524902,5303.333984,5318.746094,5062.082031,5058.155762,4932.189941,4849.673828,4802.298828,4576.810059,4607.198242,4664.930176,4759.774902,4623.731934,4595.421875,4203.288086,4305.138184,4326.035156,4395.916992,4410.813965,4341.352051,4295.574219
Honduras,10356.56055,10327.15234,10605.83496,10122.02148,10195.18848,9914.547852,9955.990234,9855.280273,9093.762695,9535.15625,9778.553711,10200.42676,10565.0918,11069.05273,11537.48633,11395.50293,11565.1709,11575.06543,10850.21191,11068.7373,11073.39648,11102.94238,11038.19629,11212.57813,11537.43945,11498.46582
