"Data Item",1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"Billions of U.S. dollars spent on food purchases",19.535,18.1,14.8,11.3,11.6,12.8,13.9,14.7,15.5,14.7,15.241,15.9,18.209,22.051,25.153,27.222,29.274,34.896,40.245,42.435,42.044,43.264,48.373,50.589,51.348,51.702,52.679,54.806,58.963,60.938,62.258,64.034,65.101,66.835,67.861,71.202,75.369,79.607,81.127,86.233,92.339,101.964217,107.622408,117.343,129.79445,145.842368,163.275672,177.650948,192.305296,214.757101,240.930523,266.008987,291.347029,305.500284,325.091544,345.832366,362.6476784,380.5998217,397.0513983,427.1581034,453.3862806,489.6119125,512.6356572,522.9,544.8,568.2,588.6,606.3,635.6,657,686.7160187,724.4447119,755.6210639,782.3628144,825.2183431,859.4421842,916.7095967,962.2107254,1011.753135,1052.139034,1047.141959,1076.938363,1135.285603,1187.648783,1231.254488
"Share of disposable personal income",23.42326139,24.23025435,23.01710731,22.96747967,25.1626898,24.24242424,23.44013491,21.81008902,21.46814404,22.07207207,21.34593838,20.703125,19.41257996,18.59274874,18.57680945,18.35603506,19.23390276,21.62081784,23.50759346,22.26390346,22.08193277,20.592099,20.94069264,20.78430567,19.85614849,19.56186152,18.59477586,18.08778878,18.43746091,18.43812405,17.76262482,17.52435687,17.05107386,16.49839546,15.96353799,15.39502703,15.13129894,14.81060465,14.10168608,13.79728,13.70014837,13.85948308,13.42260015,13.50166839,13.26734642,13.60977678,13.75068823,13.63922825,13.39453201,13.35304987,13.43353906,13.24086546,12.97124033,12.61772196,12.46325502,11.87611147,11.66332224,11.58563885,11.6,11.5,11.4,11.5,11.48300198,11,11.1,11,10.8,10.489824,10.5,10.1,10.09386649,9.789131976,9.747056536,9.659754227,9.72469706,9.546917834,9.751399846,9.586732212,9.629324595,9.569772192,9.569494709,9.583092593,9.619923082,9.590187204,9.846018725
