Country,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,12.1444,12.4889,12.8333,13.1778,13.5222,13.8667,14.2111,14.5556,14.9,,,
"Congo (Kinshasa)",,,,,,,,,,,,,,,,,,,,,,,,,,,,77.1,74.7125,72.325,69.9375,67.55,65.1625,62.775,60.3875,58,,,,
"Congo (Brazzaville)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,36.1,34.7,33.3,31.9,30.5,29.1,,,,,
"Costa Rica",,,,,28.8,25.2,21.6,18,14.4,10.8,10.9333,11.0667,11.2,8.9,10.5,8.6,7.6,6.1,6.5,7.4,5.7,4.5,5.7,6,6,5.8,5.5,5.1,4,4,2.4,2.7,3.1,1.5,1.6,1.6,1.5,1.5,1.5,
"Ivory Coast",,,,,,,,,6.4,4.3,7.2,10.5,12.6,14.7,16.8,18.9,18.5667,18.2333,17.9,19.0333,20.1667,21.3,21.175,21.05,20.925,20.8,21.4,22,22.6,23.2,23.8,24.4,24.2143,24.0286,23.8429,23.6571,23.4714,23.2857,23.1,
Croatia,,,,,,,,,,,,0.1,0.1381,0.1762,0.2143,0.2524,0.2905,0.3286,0.3667,0.4048,0.4429,0.481,0.519,0.5571,0.5952,0.6333,0.6714,0.7095,0.7476,0.7857,0.8238,0.8619,0.9,1.2,0.7,0.9,0.9,0.9,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,
"Czech Republic",,,,,,,,,,,,,,,,,,,,0.2,0.19,0.18,0.17,0.16,0.15,0.14,0.13,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.2,0.1,0.1,0.2,0.3,0.2,0.2333,0.2667,0.3,0.3,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,17.6,17.46,17.32,17.18,17.04,16.9,16.76,16.62,16.48,16.34,16.2,18,,,
"Dominican Republic",,,,,,,,,,30.5,29.8,29.1,28.4,20.7333,13.0667,5.4,5.225,5.05,4.875,4.7,4.8,4.7667,4.7333,4.7,3.9,5.3,6.2,8.1,5.5,4.6,4.3,4,3.5,3.2,3.1,3,2.6,2.4,2,
Ecuador,,,,,,,,,,,19.1,18.5429,17.9857,17.4286,16.8714,16.3143,15.7571,15.2,14.95,14.7,14.45,14.2,18.6,22.9,20.1667,17.4333,14.7,13.2,11.8,8.4,8.9,8.3,8.2,6.6,5.8,5.5,4.2,3.7,4.5,
Egypt,,,,,,,,,,,,,,9.5,9.34,9.18,9.02,8.86,8.7,7.7,6.7,5.7,4.7,5.22,5.74,6.26,6.78,7.3,7.125,6.95,6.775,6.6,6.1,5.6,5.05,4.5,4,3.5,3,
"El Salvador",,,,,,,,,,,,,17.1,17.45,17.8,17.675,17.55,17.425,17.3,18.6,17.95,17.3,14.4,10.1,11,10.9,13.9,8.8,8.4,6,4.4,6.5,5.9,6.7,4.7,4.2,3.4,3.3,2.4,
Estonia,,,,,,,,,,,,0.1,0.42,0.74,1.06,1.38,1.7,1.76,1.82,1.88,1.94,2,2.06,2.12,2.18,2.24,2.3,1.1,0.7,0.7,0.4,0.4,0.5,0.7,0.8,0.6,0.9,0.7,,
Ethiopia,,,,,,,,,,,,,,,,,,,47.7,45.85,44,42.15,40.3,38.04,35.78,33.52,31.26,29,28.8333,28.6667,28.5,28.3333,28.1667,28,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,5.45,5.2,4.95,4.7,4.45,4.2,3.96,3.72,3.48,3.24,3,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,,,,,,,,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,54,50.1,46.2,42.3,38.4,34.5,,,,,,,,,,,,,
