Country,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Argentina,,,,0.09,0.14,0.09,0.12,0.12,0.12,0.15,0.15,0.2,0.16,0.18,0.19,0.22,0.2,0.2,0.2,
Armenia,,,,,,,,,,,,,,,,,,,0.6,
Australia,,,,,0.29,0.38,0.34,0.49,0.46,0.45,0.43,0.42,0.41,0.44,0.6,0.46,0.57,0.4,,
Austria,,,,,,,,,0.2,0.25,0.25,0.24,0.29,0.32,0.34,0.18,0.2,0.3,0.3,0.2
Belgium,,,,,0.32,0.3,0.2825,0.265,0.2475,0.23,0.18,0.25,0.29,0.27,0.35,0.27,0.35,0.2,0.3,
Belize,,,,,,,,,,,,0.76,,,,,,,,
Brazil,,,0.03,0.03,0.03,0.02,0.03,0.03,0.04,0.03,0.03,0.04,0.03,0.04,0.03,0.02,0.04,,,
Bulgaria,,,,,,,,,,,,0.05,0.03,0.07,0.02,0.08,0.06,,,
Canada,,,,,,,0.2,0.15,0.24,0.22,0.19,0.2,0.19,0.22,0.2,0.19,0.195,0.2,,
Chile,,,,0.1,0.1,0.11,0.22,0.18,0.1,0.18,0.12,0.21,0.14,0.15,0.14,0.11,0.105,0.1,0.1,
Colombia,,,,0.06,0.09,0.09,0.08,0.07,0.06,0.08,0.09,0.09,0.05,0.07,0.1,0.09,0.095,0.1,,
"Costa Rica",,,,0.09,0.08,0.05,0.09,0.075,0.06,0.11,0.085,0.06,0.045,0.03,0.06,0.09,0.08,,,
Croatia,,0.04,0.05,0.16,0.1,0.07,0.17,0.08,0.24,0.05,0.18,0.2,0.22,0.13,0.37,0.21,0.36,0.3,0.2,0.1
Cuba,,,,,,,,0.07,0.02,0.01,0.05,0.08,0.05,0.04,0.04,0.12,0.04,0.07,0.1,
"Czech Republic",0.17,0.15,0.23,0.18,0.16,0.21,0.1,0.18,0.22,0.17,0.1,0.18,0.21,0.13,0.11,0.13,0.16,0.1,0.2,0.1
Denmark,0.16,0.34,0.17,0.19,0.31,0.17,0.25,0.3,0.22,0.26,0.21,0.13,0.08,0.25,0.27,0.34,0.26,0.2,0.3,
"Dominican Republic",,,,0.02,0.03,,,,,,,,,,,,,,,
Ecuador,,,,,0.08,0.05,0.045,0.04,0.035,0.03,0.09,0.02,0.03,0.05,0.03,0.08,0.05,,,
Egypt,,,,,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,
"El Salvador",,,,,,,,0.05,0.045,0.04,0.035,0.03,0.025,0.02,,,,,,
"England and Wales",,,,,,,,0.43,0.44,0.44,0.45,0.44,0.46,0.51,0.53,0.51,0.55,0.5,0.5,
Estonia,,,,0.07,0.08,0.09,0.24,0.03,0.09,0.05,0.21,0.2633,0.3167,0.37,0.22,0.1,0.03,0.2,,
Finland,,,0.36,0.36,0.47,0.25,0.44,0.36,0.31,0.15,0.4,0.18,0.24,0.33,0.31,0.19,0.24,0.2,0.2,0.4
France,,,,,,,0.27,0.27,0.24,0.25,0.28,0.27,0.32,0.26,0.28,0.28,0.29,0.3,,
Georgia,,,,,0.09,0.0775,0.065,0.0525,0.04,0.08,0.0675,0.055,0.0425,0.03,,,,,,
Germany,,,,,0.24,0.22,0.26,0.27,0.25,0.23,0.2,0.22,0.21,0.22,0.22,0.21,0.25,0.2,0.2,0.2
"Hong Kong",,,,,,,,0.09,0.1,0.06,0.01,0.08,0.05,0.02,0.055,0.09,0.04,0.1,0.1,
Hungary,,,0.09,0.19,0.15,0.16,0.14,0.15,0.21,0.13,0.18,0.06,0.13,0.05,0.16,0.12,0.11,0.1,0.2,0.1
Iceland,,,0.61,0.5675,0.525,0.4825,0.44,0.53,0.62,0.63,0.64,0.91,0.7575,0.605,0.4525,0.3,,,,
Ireland,,,,,,,,,,,,,,0.12,0.12,0.09,0.16,,,
Israel,,,,,0.09,0.14,0.11,0.15,0.19,0.27,0.23,0.09,0.19,0.14,0.16,0.12,0.18,0.1,0.2,
Italy,,,,,,,,,,0.53,0.5167,0.5033,0.49,0.42,0.43,0.44,0.44,0.4,0.5,
Japan,,0.11,0.13,0.11,0.1,0.11,0.11,0.12,0.12,0.13,0.13,0.1,0.13,0.11,0.11,0.1,0.09,0.1,0.1,0.1
Kuwait,,,,,,,,,,,,,,,,,,0.2,0.1,0.2
Kyrgyzstan,,,,,,,,,,,,,,0.1,0.09,0.125,0.16,0.13,0.1,0.1
Latvia,,,0.06,0.16,0.23,0.15,0.14,0.07,0.04,0.29,0.05,0.23,0.14,0.12,0.185,0.25,0.07,0.135,0.2,
Lithuania,,,,,0.28,0.14,0.32,0.33,0.15,0.1,0.12,0.06,0.12,0.19,0.18,0.06,0.08,0.3,0.2,
Luxembourg,,,,,0.21,0.1825,0.155,0.1275,0.1,0.81,0.21,0.21,0.2325,0.255,0.2775,0.3,0.21,0.155,0.1,
"Macedonia (F.Y.R.O.M.)",,,,,,,,,,,,,,0.07,0.18,,,,,
Malta,,,,,0.46,0.3633,0.2667,0.17,0.31,0.45,0.59,0.73,0.49,0.25,0.21,0.17,0.48,0.6,0.4,
Mexico,,,,,0.11,0.08,0.14,0.11,0.1,0.12,0.1,0.11,0.15,0.14,0.13,0.11,0.12,0.1,0.1,
Moldova,,,0.1,0.06,0.07,0.055,0.04,0.12,0.14,0.06,0.09,0.12,0.12,0.09,0.16,0.06,0.04,0.1,0.1,0.1
Netherlands,,,0.31,0.31,0.25,0.32,0.35,0.35,0.35,0.33,0.36,0.26,0.37,0.37,0.27,0.34,0.26,0.3,0.4,0.3
"New Zealand",,,,,,,0.21,0.27,0.23,0.3,0.12,0.32,0.29,0.3,0.24,0.29,0.295,0.3,,
Nicaragua,,,,,,,,,,0.07,0.06,0.07,0.08,0.06,0.04,0.055,0.07,0.085,0.1,
"Northern Ireland",,,,,,,,0.48,0.1,0.42,0.28,0.26,0.26,0.37,0.25,0.28,0.16,0.3,0.2,0.3
Norway,,,0.26,0.06,0.17,0.23,0.12,0.03,0.22,0.18,0.17,0.07,0.19,0.39,0.25,0.26,0.16,0.2,0.2,0.2
Panama,,,,,,0.19,0.06,0.08,0.075,0.07,0.07,0.05,0.09,0.09,0.092,0.094,0.096,0.098,0.1,
Paraguay,,,,,0.07,0.07,0.0675,0.065,0.0625,0.06,0.0575,0.055,0.0525,0.05,0.03,0.03,0.1,,,
Peru,,,,,,2.89,0.03,0.04,0.03,0.08,0.08,0.1,0.1,0.09,0.12,0.07,0.07,0.1,0.1,
Philippines,,,,,,0.02,0.02,0.02,0.02,0.02,0.018,0.016,0.014,0.012,0.01,,,,,
Poland,,,,,,0.06,0.09,0.1,0.08,0.09,0.06,0.11,0.13,0.16,0.14,0.15,0.18,0.2,0.2,0.2
Portugal,,,,,,,,,0.08,0.08,0.075,0.07,0.065,0.06,0.04,0.08,0.13,0.1,0.1,0.1
Romania,,,,,,0.08,0.19,0.13,0.19,0.11,0.12,0.08,0.16,0.13,0.1,0.11,0.11,0.1,0.1,
Scotland,,,,,,,0.25,0.33,0.4,0.37,0.24,0.38,0.38,0.28,0.31,0.48,0.55,0.3,0.3,0.3
Serbia,,,,,0.06,0.15,0.11,0.06,0.09,0.17,0.11,0.08,0.12,0.18,0.08,0.05,0.15,0.1,0.1,0.1
Singapore,,,,,,,,,,,,,,,,,,,0.2,0.1
Slovakia,0.14,0.14,0.03,0.13,0.1,0.18,0.13,0.14,0.15,0.15,0.09,0.07,0.09,0.08,0.06,0.02,0.11,,,
Slovenia,,,,0.22,0.24,0.4,0.51,0.25,0.3,0.47,0.71,0.32,0.7,0.38,0.28,0.21,0.28,,,
"South Africa",,,0.32,0.34,0.29,0.26,0.32,0.3,0.23,0.25,0.26,0.18,0.24,0.25,0.18,0.2,0.2,0.2,0.2,0.1
"South Korea",,0.01,0.04,0.03,0.04,0.01,0.02,0.03,0.03,0.03,0.03,0.04,0.05,0.04,0.05,0.08,0.07,0.085,0.1,
Spain,,,,,,0.19,0.11,0.16,0.2,0.16,0.18,0.11,0.16,0.24,0.17,0.16,0.16,0.2,0.2,0.2
Suriname,,,,,,,,,,,,,,,,0.41,0.405,0.4,,
Sweden,,,,0.22,0.11,0.2,0.21,0.2,0.18,0.17,0.18,0.28,0.24,0.15,0.14,0.22,0.19,0.2,0.2,0.1
"Trinidad and Tobago",,,,,,,,0.16,0.1543,0.1486,0.1429,0.1371,0.1314,0.1257,0.12,,,,,
"United Kingdom",,,,,,,,0.42,0.43,0.43,0.43,0.43,0.45,0.48,0.51,0.5,0.54,0.5,0.5,0.5
"United States",,,,,,0.18,0.17,0.17,0.15,0.17,0.17,0.19,0.16,0.17,0.17,0.17,0.16,,,
Uruguay,,,,0.03,0.03,0.04,0.04,0.06,0.115,0.17,0.12,0.1267,0.1333,0.14,0.1,0.14,,,,
Uzbekistan,,,,,,,,,,,0.02,,,,,,,,,
Venezuela,,,0.09,0.1,0.06,0.09,0.08,0.04,0.03,0.05,0.04,0.07,0.04,0.07,0.04,0.05,,,,
