Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,,,,,,37,37,37,37,37,38,38,38,38,38,38
Algeria,,,,,,,,,,83,83,83,83,83,83,84
Angola,,,,,,,,,,,,,24,24,24,25
Armenia,84,84,84,85,85,85,86,86,86,86,87,87,87,87,87,87
Bangladesh,,,,,,38,38,39,39,39,39,39,40,40,40,40
Barbados,,,,,,,,,88,88,88,88,88,88,88,88
Belize,,,,,,78,78,78,78,78,79,81,82,84,85,87
Benin,1,1,2,2,3,4,4,5,6,6,7,7,8,9,9,10
Bhutan,,,,,,,79,79,79,79,79,80,80,80,80,
"Bosnia and Herzegovina",,,,,,,,,97,97,97,97,97,97,97,97
"Burkina Faso",5,6,6,7,7,8,8,9,9,10,10,11,11,11,11,12
"Burma (Myanmar)",,,,,,,,,,,,,80,80,80,80
Burundi,,,,,,,6,6,6,6,6,6,6,6,6,
Cambodia,,,,,,,,,65,65,65,65,65,65,66,66
Cameroon,,,,,,,,,,,3,3,3,3,3,3
"Central African Republic",,,,,,,16,16,16,16,16,17,17,17,17,
Chad,,,,,,,,,,,,6,6,6,6,6
Comoros,,,,,,,,,16,16,16,16,16,16,16,16
"Congo (Kinshasa)",,,,,4,4,4,4,4,4,4,4,4,4,4,4
"Costa Rica",,,,,,,,84,84,84,84,84,84,84,84,84
Cuba,,,,,,,,,,,85,85,85,85,85,85
"Dominican Republic",,,,,,,,,,,54,54,54,55,55,55
Ecuador,,,,,,,,,,,,,85,85,85,85
Egypt,66,68,69,71,72,74,75,77,78,79,81,82,84,85,87,88
"El Salvador",,,,,,,,,,,90,90,90,90,90,90
"Equatorial Guinea",,,,,,,,23,23,23,23,23,23,23,23,23
Ethiopia,,,,,,,,1,1,1,1,1,1,1,1,1
Gambia,,,,,7,7,7,7,7,7,7,7,8,8,8,8
Ghana,10,10,11,11,12,12,13,14,14,15,16,16,17,18,18,19
Guatemala,,,,,,,,,,,,77,77,77,77,77
Guinea,,,,,,,9,9,9,9,9,9,9,9,9,9
"Guinea Bissau",,,,,6,6,6,6,6,6,6,7,7,7,7,7
Guyana,,,,,,,,,,,77,77,77,77,77,77
Haiti,,,,,,,,,24,24,25,25,25,25,25,26
Honduras,,,,,,,,,84,84,84,84,84,84,84,84
Indonesia,,,,,,,,,75,76,76,76,76,76,76,77
Iraq,,,,,,,,91,91,91,91,91,91,91,91,91
"Ivory Coast",,,,,,,19,19,19,19,19,20,20,20,20,20
Jamaica,,,,,,,,66,66,66,66,66,66,66,66,66
Kazakhstan,,,,,,,,,,,,96,96,96,96,96
Kenya,,,,,,,,,,,14,14,14,14,14,14
Kyrgyzstan,,,,,,,89,89,89,89,89,89,89,89,89,89
Lesotho,,,,,,,,,,,2,2,2,2,2,2
Liberia,,,,,,,,,,1,1,1,1,1,1,1
Madagascar,5,5,5,8,13,18,24,29,34,39,45,50,50,50,50,51
Malawi,17,16,16,15,15,14,14,13,13,12,12,12,11,11,10,10
Mali,,,,,,,,,,16,16,16,16,16,16,16
Mauritania,,,,,,16,16,16,16,16,16,17,17,17,17,17
Mexico,,,,,,,,,,,,88,88,88,88,88
Moldova,,,,,,,,,87,87,87,87,87,87,87,87
Mongolia,,,,,69,69,70,70,70,71,71,71,72,72,72,72
Mozambique,,,,,,,,12,12,12,12,12,12,12,12,12
Namibia,,,,,,,,,,42,42,42,43,43,43,44
Nepal,,,,,,56,56,56,56,56,57,57,57,57,57,57
Niger,,,9,9,9,9,9,9,9,9,9,,,,,
Nigeria,,,,,,12,12,12,12,13,13,13,13,13,13,13
Pakistan,,,,,,,,,,60,60,60,60,60,60,60
Rwanda,1,1,2,2,2,3,3,3,3,4,4,4,5,5,5,5
"Saint Lucia",,,,,,,,,87,87,87,87,87,87,87,87
"Saint Thomas and Principe",,,,,,,,,,,42,42,42,42,42,42
Senegal,,,,,,15,15,15,15,15,15,15,15,15,15,15
Serbia,,,,,,,98,98,98,98,98,98,98,98,98,
"Sierra Leone",,,,,,,13,13,13,13,13,13,13,13,13,
Somalia,,,,,,,,,,,,10,10,10,10,10
Sudan,,,,,,,,,,,23,23,23,23,23,23
Suriname,,,,,,,68,68,68,68,68,68,68,68,68,
Swaziland,,,,,24,24,24,24,23,23,23,23,23,23,23,23
Tajikistan,,,,,,,,,72,72,72,72,72,72,72,73
Tanzania,,,,,,,,,,,,,47,47,47,48
Togo,,,,,,9,10,10,10,10,10,10,10,10,10,10
Tunisia,,,,,,,,,86,86,86,86,86,86,86,86
Turkmenistan,71,73,74,76,78,80,82,83,85,87,89,91,92,94,96,98
Uganda,5,6,6,6,6,6,6,7,7,7,7,7,7,8,8,8
Vietnam,,,,,,85,85,85,85,85,85,85,85,86,86,86
Yemen,,,,,,,,,,48,48,48,48,49,49,49
Zambia,,,,,,,,,,13,13,13,13,13,13,14
Zimbabwe,,,,,,31,31,31,31,31,31,31,31,31,31,31
