Country,2013,2014,2015,2016
Afghanistan,,0.276112069,0.244540093,0.275992907
Albania,0.410051581,0.358980472,0.430296414,0.458326259
"Antigua and Barbuda",,,,0.70292506
Argentina,0.434365174,0.367690423,0.392186008,0.425560255
Australia,0.723642927,0.726995996,0.766051967,0.751814726
Austria,0.747908092,0.809497085,0.815727971,0.83315087
Bahamas,,,,0.675461879
Bangladesh,0.381836004,0.292446323,0.327079057,0.331334567
Barbados,,,,0.607991578
Belarus,0.593916712,0.433681897,0.482498413,0.508748236
Belgium,0.715803453,0.672741506,0.670345449,0.755747522
Belize,,,0.290397437,0.320651918
Bolivia,0.282125213,0.229140731,0.249572775,0.243149706
"Bosnia and Herzegovina",0.61715393,0.539508458,0.509823269,0.561023633
Botswana,0.717397397,0.634674821,0.609018322,0.517751949
Brazil,0.485032514,0.367894563,0.373992968,0.391091332
Bulgaria,0.387255443,0.413912743,0.440266764,0.414048772
"Burkina Faso",0.44652524,0.377602491,0.364046931,0.426889784
Cambodia,0.396515319,0.290310482,0.282380355,0.301075489
Cameroon,0.317064233,0.306912626,0.318425813,0.299308295
Canada,0.748386319,0.715538199,0.724324733,0.740056703
Chile,0.60245591,0.570026308,0.563166094,0.57644205
China,0.543350534,0.431354045,0.447255407,0.469824537
Colombia,0.431520164,0.35230162,0.336205138,0.34143679
"Costa Rica",,,0.571625013,0.554418771
"Ivory Coast",0.372024764,0.402762786,0.379954655,0.367446988
Croatia,0.527299572,0.548159339,0.583499103,0.538261666
"Czech Republic",0.696109027,0.674161243,0.692653871,0.734565378
Denmark,0.871984804,0.840150759,0.838297513,0.817412538
Dominica,,,,0.558151463
"Dominican Republic",0.471472125,0.374720339,0.366404065,0.338669406
Ecuador,0.436403093,0.331125955,0.348241655,0.359684281
Egypt,0.453414801,0.412497385,0.42662791,0.427475734
"El Salvador",0.24922652,0.312411438,0.33722088,0.336243286
Estonia,0.748176485,0.720817216,0.705612807,0.702289926
Ethiopia,0.49222094,0.4483496,0.388073856,0.328369826
Finland,0.867398461,0.852124273,0.85041179,0.847503509
France,0.687802579,0.654240233,0.662190307,0.645526485
Georgia,0.657259086,0.510471981,0.542585564,0.561564414
Germany,0.760791688,0.71001704,0.760885091,0.772581211
Ghana,0.449112236,0.437377764,0.496206805,0.471364144
Greece,0.502898524,0.456704571,0.492481147,0.505544743
Grenada,,,,0.653389591
Guatemala,0.374000578,0.30444871,0.300615211,0.288734268
Guyana,,,,0.349154116
Honduras,,,0.207215574,0.251030267
"Hong Kong",0.760964273,0.731130201,0.794532859,0.802151588
Hungary,0.638948587,0.533172412,0.550791008,0.540842404
India,0.439657077,0.444083456,0.469539391,0.413732541
Indonesia,0.446544988,0.367207117,0.352961502,0.38118731
Iran,0.449979295,0.381512835,0.388135233,0.426626091
Italy,0.672942399,0.632513179,0.625217692,0.638070565
Jamaica,0.41809108,0.41727036,0.455486639,0.454284526
Japan,0.677867705,0.686423864,0.736578393,0.684292471
Jordan,0.516663535,0.559944696,0.545483309,0.587681367
Kazakhstan,0.456711599,0.401147583,0.419142468,0.405721874
Kenya,0.39798686,0.333166987,0.322748068,0.351268607
Kyrgyzstan,0.351086746,0.331132457,0.336177253,0.334997898
Lebanon,0.486493754,0.416051504,0.38521424,0.308953932
Liberia,0.349120744,0.329017618,0.315592224,0.26478361
"Macedonia (F.Y.R.O.M.)",0.534023336,0.503094985,0.440175637,0.514202052
Madagascar,0.494909164,0.350190973,0.345906264,0.398488796
Malawi,0.451202654,0.481799948,0.447216548,0.443950073
Malaysia,0.611482402,0.533302789,0.576578991,0.5576587
Mexico,0.350541223,0.246487427,0.311498196,0.286105451
Moldova,0.403982982,0.334927016,0.337217715,0.382052798
Mongolia,0.543686236,0.483402659,0.420610782,0.483811575
Morocco,0.354185989,0.348786536,0.332465246,0.368541031
"Burma (Myanmar)",,0.319868576,0.29902551,0.318738867
Nepal,0.538776497,0.426710871,0.423714467,0.444216055
Netherlands,0.800579833,0.745402135,0.751971519,0.799106176
"New Zealand",0.793797399,0.723194464,0.772400172,0.750677542
Nicaragua,0.423020391,0.35399288,0.331551918,0.315119647
Nigeria,0.283221376,0.310179296,0.360714462,0.418552149
Norway,0.84578777,0.831982971,0.817337757,0.834871478
Pakistan,0.387801706,0.368171709,0.30859502,0.376854053
Panama,0.383771876,0.376345159,0.321737946,0.287657647
Peru,0.451629482,0.372403373,0.339673642,0.344262193
Philippines,0.419282018,0.363211732,0.376282994,0.364226548
Poland,0.732839709,0.694536231,0.738579403,0.691168318
Portugal,0.624616765,0.590118623,0.669925469,0.67245946
"South Korea",0.755837671,0.761860329,0.757016915,0.706666244
Romania,0.598067883,0.562604405,0.59615558,0.579581594
Russia,0.395172427,0.357832625,0.360146023,0.33116173
Senegal,0.464556701,0.416247628,0.435623215,0.426004248
Serbia,0.44964964,0.41088076,0.384077585,0.339989839
"Sierra Leone",0.359000674,0.322804883,0.334882291,0.358108305
Singapore,0.86512688,0.845073441,0.820874041,0.825560217
Slovenia,0.592049379,0.581433544,0.630380283,0.655427188
"South Africa",0.493221886,0.447763958,0.501909831,0.519183772
Spain,0.692366032,0.61454702,0.61512636,0.630787921
"Sri Lanka",0.616356226,0.489284884,0.452793949,0.488323241
"Saint Kitts and Nevis",,,,0.578918623
"Saint Lucia",,,,0.643840329
"Saint Vincent and Grenadines",,,,0.616931669
Suriname,,,,0.539310293
Sweden,0.823055405,0.77925712,0.775427107,0.793270551
Tanzania,0.487371493,0.455434221,0.374454476,0.40661348
Thailand,0.592741727,0.513094777,0.431924146,0.44966702
"Trinidad and Tobago",,,,0.402214203
Tunisia,0.52459872,0.450866154,0.492831381,0.459122822
Turkey,0.419507377,0.392686738,0.351364725,0.400124875
Uganda,0.430851873,0.36554628,0.339061822,0.338728092
Ukraine,0.393244163,0.334385221,0.363962068,0.397362878
"United Arab Emirates",0.75,0.778811755,0.768740436,0.744638966
"United Kingdom",0.754677617,0.720366111,0.763427254,0.756435483
"United States",0.653877771,0.646769226,0.644967944,0.677851385
Uruguay,0.503522244,0.473111067,0.539217703,0.584904369
Uzbekistan,0.358027479,0.410795075,0.443876111,0.437923929
Venezuela,0.236923896,0.157527058,0.159830164,0.134728838
Vietnam,0.569484675,0.474249757,0.497009428,0.503791675
Zambia,0.3688652,0.356014733,0.37703609,0.415896686
Zimbabwe,0.43276598,0.363100424,0.361289598,0.361678261
