Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,4,4,4,4,4,4,5,4,5,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,3,3,2,3,3,4,4,4,3,4,3,5
Albania,6,6,5,5,5,5,6,6,6,6,6,6,7,8,10,10,9,10,10,10,10,11,12,12,13,14,15,15,16,17,13,14,19,19,20,22,19,20,21,25,23,25,27,27,27,27,26,27,29,28,29,47,46
Algeria,4,3,2,2,2,2,2,2,3,2,2,3,3,3,3,5,6,11,8,11,12,16,18,13,14,9,11,11,12,16,15,11,11,11,13,8,9,10,8,9,10,15,15,16,15,15,16,15,16,21,22,24,27
Angola,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,3,2,2,3,4,2,3,4,4,4,6,5,6,7,9,4
"Antigua and Barbuda",6,6,7,8,7,9,10,11,13,14,14,14,11,15,16,16,8,9,12,15,19,18,19,21,20,21,22,15,15,13,13,12,12,14,9,9,10,10,9,9,13,10,10,12,17,18,24,26,26,22,16,20,15
Argentina,31,24,20,21,22,22,22,23,23,24,25,26,24,26,24,23,22,24,26,31,32,31,30,29,28,30,26,23,31,29,29,24,24,24,25,25,25,26,27,27,25,21,25,28,30,32,34,36,39,42,44,44,41
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,10,12,14,15,15,13,17,19,20,22,31,34,33,31,35,38,42,47,43,46,45
Australia,45,44,43,45,46,45,45,46,45,45,46,48,43,44,47,44,44,46,44,44,44,44,45,41,39,38,38,37,37,37,30,25,25,25,24,23,23,24,24,22,22,21,19,19,20,26,24,23,22,24,26,27,32
Austria,50,54,54,55,51,51,52,52,52,53,52,54,53,51,53,55,55,57,57,56,55,53,54,54,54,55,55,55,52,54,51,51,52,56,53,53,54,54,51,47,49,50,49,49,51,52,53,54,52,52,53,54,57
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,15,16,16,17,16,16,16,16,15,15,16,20,21,18,22,27,29,28,30,29,31
