Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.02,118.07,109.23,103.4433,97.6567,91.87,83.5,76.35,106.37,114.9,103.99,106.92,107,102.25,86.54,94.82,104.82,99.6,94.08,89.04,78.53,86.42,80.84,,,,,
Argentina,,,,,,,,,,,,,,,,,165.4,188.64,195.8,192.64,184.25,181.5157,178.7814,176.0471,173.3129,170.5786,167.8443,165.11,165.33,166.85,162.1,157.35,152.6,154.44,155.77,151.62,150.48,152.96,151,153.29,153.25,153.53,149.66,147.68,149.75,146.31,149.99,148.32,148.91,148.51,145.78,143.95,138.63,139.11,137.27,138.28,137.21,135.32,131.51,128.72,128.36,125.36,124.99,123.81,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.39,121.54,122.6033,123.6667,124.73,115.85,126.48,128.73,128.9,138.52,142.39,135.57,135.41,120.32,127.56,138.35,134.66,131.56,145.55,138.13,142.04,145.34,145.77,140.97,146.05,143.12,146.85,142.86,164.34,,,,,
Australia,121.16,121.42,125.03,126.65,125.79,128.76,128.44,133.42,131.15,134.4,134.23,134.31,137,139.71,142.43,140.39,142.99,143.99,151.3,150.16,154.12,152.27,153.01,153.79,158.58,158.58,158.26,157.73,160.24,158.88,164.81,163.77,164.01,163.92,165.06,166.55,162.52,164.25,163.44,165.26,160.37,157.08,159.28,156.32,161,152.34,151.37,146.41,146.3,141.79,140.22,138.88,136.39,132.87,131.15,128,124.41,123.13,123.57,118.87,119.51,116.16,,,
Austria,,,,,,187.33,187.87,191.04,193.11,190.46,194.28,194.77,192.11,192.8,189.91,198.94,194.18,194.82,194.81,189.44,193.33,192.45,188.97,189,188.13,186.47,186.72,181.5,185.56,183.88,186.5,182.69,180.29,177.65,181.16,175.02,175.15,174.8,172.86,173.26,173.68,174.22,171.6,173.02,165.27,165.2,162.83,159.56,156.44,153.55,150.23,146.43,146.07,146.1,144.55,139.83,137.29,131.99,135.24,131.49,127.96,125.97,124.43,121.38,120.24
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.74,151.17,148.2933,145.4167,142.54,151.79,153.32,153.04,137.09,138.12,125.89,124.04,120.21,118.28,113.52,109.68,106.48,102.87,107.27,103.58,107.08,110.22,119.93,107.59,99.05,90.51,81.97,,,,,,,
Barbados,39.75,55.49,60.5922,65.6944,70.7967,75.8989,81.0011,86.1033,91.2056,96.3078,101.41,98.29,120.95,115.32,105.44,106.31,107.18,125.81,125.94,119.86,102.45,117.49,122.08,109.24,115.46,108.06,126.72,119.63,139.73,116.95,122.02,140.16,105.57,134.55,116,155.59,161.44,153.92,156.33,179.58,150.57,146.73,162.39,166.86,155.2,147.01,136.82,96.41,128.73,144.04,135.38,132.47,140.26,110.76,131.7,131.93,129.48,113.8,126.81,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.11,152.3,156.77,161.24,165.71,168.88,171.93,180.81,188.23,188.57,191.69,200.8,202.91,201.11,205.53,203.385,201.24,199.29,200.95,196.27,193.1,192.86,188.27,185.195,182.12,179.045,175.97,178.26,178.15,175.085,172.02,,,
Belgium,,,,,149.72,153.67,153.39,156.18,157.61,163.8,172.5,171.87,175.37,180.76,176.46,182.44,183.21,188.39,188.72,191.41,190.72,194.96,195.58,198.78,198.25,202.59,200.82,203.97,211.54,209.03,211.31,215.29,210.36,210.75,209.04,211.94,205.39,204.04,206.2,201.32,198.21,195.37,194.46,195.71,192.44,193.79,186.4,184.02,176.05,171.38,167.58,164.82,161.2,154.95,150.63,152.08,145.46,143.34,144.8,138.84,138.39,133.96,131.4,,
Belize,,,,,,,,,,,,,,,65.34,67.73,37.89,18.22,48.9,39.36,50.51,61.86,82.06,49.56,40.26,51.95,48.17,58.65,42.54,26.43,37.53,48.63,59.73,70.83,59.2,58.27,57.34,79.74,67.15,54.56,48.07,49.77,49.615,49.46,66.84,72.73,54.57,115.89,142.06,139.97,99.27,114.62,115.29,96.78,96.32,138.96,120.92,125.78,97.08,109.37,84.71,82.73,88.48,91.32,
