Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,36.7,38.3833,40.0667,41.75,43.4333,45.1167,46.8,,,
Albania,,26.5,25.3333,24.1667,23,21.8333,20.6667,19.5,,,,
Algeria,,18.8,,,,,,,,,,
Angola,19.3,27.3,35.3,43.3,51.3,,,,,,,
"Antigua and Barbuda",,,,,6.9,,,,,,,
Argentina,7.2,7.975,8.75,9.525,10.3,10.1571,10.0143,9.8714,9.7286,9.5857,9.4429,9.3
Armenia,,,,15.5,13.4,11.3,9.2,7.1,,,,
Azerbaijan,,,,52,42.975,33.95,24.925,15.9,,,,
Bahamas,,,,,21,,,,,,,
Bangladesh,,60.3,58.2,56.1,54,51.9,49.8,47.7,,,,
Barbados,,,,,1.2,,,,,,,
Belarus,,,15.5,14.18,12.86,11.54,10.22,8.9,,,,
Belize,,,,,6.2,,,,,,,
Benin,,,,34.5,31.6429,28.7857,25.9286,23.0714,20.2143,17.3571,14.5,
Bhutan,,,,6.3,5.4,4.5,3.6,2.7,1.8,0.9,,
Bolivia,20.9,18.35,15.8,13.25,10.7,10.4714,10.2429,10.0143,9.7857,9.5571,9.3286,9.1
"Bosnia and Herzegovina",,,,10.2,10.325,10.45,10.575,10.7,,,,
Botswana,5.3,6.075,6.85,7.625,8.4,,,,,,,
Brazil,,,,11.7,,,,,,,,
Bulgaria,,6.7,8.8,10.9,10.4,9.9,9.4,8.9,,,,
"Burkina Faso",22.7,18.4,14.1,9.8,,,,,,,,
"Burma (Myanmar)",,,,,,,,,42.9,36.1,29.3,
Burundi,25.3,25.925,26.55,27.175,27.8,28.425,29.05,29.675,30.3,,,
Cambodia,,59.5,61.15,62.8,64.45,66.1,67.75,69.4,67.8333,66.2667,64.7,
Cameroon,70.4,58.2333,46.0667,33.9,32.8714,31.8429,30.8143,29.7857,28.7571,27.7286,26.7,
"Cape Verde",12,8.6667,5.3333,2,,,,,,,,
"Central African Republic",,,,,,21,,,,,,
Chad,,,,35,,,,,,,,
Chile,7.8,6.175,4.55,2.925,1.3,,,,,,,
China,,,,,,,11.6,,,,,
Colombia,3.5,3.175,2.85,2.525,2.2,,,,,,,
"Congo (Brazzaville)",,,,37.5,,,,,,,,
"Congo (Kinshasa)",68.9,65.975,63.05,60.125,57.2,56.9667,56.7333,56.5,,,,
"Costa Rica",,,,,8.7,,,,,,,
Croatia,,4.9,4.7333,4.5667,4.4,4.2333,4.0667,3.9,,,,
"Czech Republic",,,,7.1,6.2,5.3,4.4,3.5,,,,
Djibouti,,,,,,,,11.1,,,,
Dominica,,,,,5.8,,,,,,,
"Dominican Republic",,,,,16.3,15.6333,14.9667,14.3,13.6333,12.9667,12.3,
Ecuador,15.4,11.975,8.55,5.125,1.7,2.3,2.9,3.5,4.1,4.7,5.3,5.9
Egypt,,25.2,7.9,9.8,11.7,13.6,15.5,17.4,16.6667,15.9333,15.2,
"El Salvador",4.7,4.6,4.5,4.4,4.3,4.2833,4.2667,4.25,4.2333,4.2167,4.2,
Estonia,,,,5.7,,,,,,,,
Ethiopia,6.8,6.74,6.68,6.62,6.56,6.5,11.575,16.65,21.725,26.8,,
Fiji,,,,10.5,,,,,,,,
Gabon,,,,23.2,,,,,,,,
Gambia,25.1,,,,,,,,,,,
Georgia,,,9.8,8.28,6.76,5.24,3.72,2.2,,,,
