Country,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Madagascar,,,,,,,,25.63487,25.6957,25.7566,25.8174,25.8783,25.9391,26,,,,,,,,,
Mexico,,,,,,,,,,,8.9,8.7,8.5,8.3,10.25,12.2,8,6.8,6.2035,5.606943,,,
"Macedonia (F.Y.R.O.M.)",,,,,,,,,,,,,11.8,13.4,15,16.6,18.2,19.8,,,,,
Mali,,,,,,,,,,,,52.3,49.5,23,24.1167,25.2333,26.35,27.4667,28.5833,29.7,,,
Mongolia,,,,,,,22.02146,20.0972,18.1729,16.2486,14.3243,12.4,11.25,10.1,11.28,12.46,13.64,14.82,16,14.699067382827,,,
Mozambique,,,1.8,3.9333,6.0667,8.2,10.3333,12.4667,14.6,16.7333,18.8667,21,23.1333,25.2667,27.4,,,,,,,,
Mauritania,,,,,,,,,,,,,,21.3,19.6064,17.9128,16.2192,14.52555,,,,,
Malawi,,,,,,,,,,,42.6,41.45,40.3,37.26,34.22,31.18,28.14,25.1,32.5928,40.0855,47.57831,48.9,
Namibia,,,,,,15.4382866349112,,,,,,,,,,,,,,,,,
Niger,,,,,,,,,,,,,,47.1,51.1,55.1,52.9,50.7,48.5,,,,
Nigeria,,,,,,,,,,,,,,40.7,34.2,27.7,21.2,35.06192,,,,,
Nicaragua,,,,,,,,12.1306786605,11.623,11.1153,10.6077,10.1,14.3,18.5,22.7,26.9,31.1,39.4249,47.74977,,,,
Nepal,,,,,,47.2,46.4667,45.7333,45,44.2667,43.5333,42.8,42.0667,41.3333,40.6,40.9712,41.3425,41.7137,42.085,42.4562,42.8274929134937,,
Pakistan,,,,,,,,,,,,,,,15.9,14.9333,13.9667,13,,,,,
Panama,,,,,,,,,,5.1,5.86,6.62,7.38,8.14,8.9,7.15,5.4,4.95,4.5,5.0602,5.620417,,
Peru,,,,,,,24.1,26.6857,29.2714,31.8571,34.4429,37.0286,39.6143,42.2,36.825,31.45,26.075,20.7,22.5031,24.3063,26.10942,22.5665722356755,
Philippines,,,,,,,,13.25641,12.8308,12.4051,11.9795,11.5538,11.1282,10.7026,10.2769,9.8513,9.4256,9,,,,,
Portugal,,,,,,,,3.63655415626555,,,,,,,,,,,,,,,
Paraguay,,,,,,,,,,,,15.3,14.7579,14.2158,13.6737,13.1316,12.5895,12.0474,11.5053,10.9632,10.42105,,
Romania,,,,,,,1.4,,,,,,,,,,,,,,,,
Rwanda,,,,,,,33.1,29.9,26.7,23.5,20.3,17.1,13.9,10.7,7.5,13.3,19.1,5.000835,5.3006,5.6003,5.9,,
Sudan,,,,,,,19.13425,18.305,17.4757,16.6464,15.8171,14.9878,14.1586,13.3293,12.5,15.5092,18.5183,21.5275,24.5367,27.5459,30.5550319917431,,
Senegal,,,,,,,,,,,,18.5,17.6,16.7,15.8,14.9,14,13.1,16.1097,19.1194,22.1292,25.1388709166593,
