Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,,,,,,,,,17.61206,,,,,
Albania,,,98.25227,97.7422,97.2321,96.7221,96.212,95.7019,95.1919,94.68181,95.0184,95.3549,95.69148,96.13607,,,,
Algeria,,,,60.07508,61.036,61.9969,62.9579,63.91879,65.7338,67.54875,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,100,100
Angola,,,54.19449,54.1339,54.0734,54.0128,53.9523,53.8917,53.8311,53.7706,53.71,53.6495,53.5889,53.5283,53.4678,53.40721,,
"Antigua and Barbuda",,,99.42,,,,,,,,,,,,,,,
Argentina,,,97.19341,97.2603,97.3272,97.3941,97.461,97.5279,97.5948,97.6617,97.7286,97.7955,97.8624,97.9293,97.9962,98.0631,98.13,
Armenia,,,99.16107,99.214,99.2669,99.3199,99.3728,99.4257,99.4786,99.5316,99.5845,99.6374,99.69035,,,,,
Aruba,,97.07136,97.0362,97.001,96.9659,96.9307,96.8956,96.8604,96.8253,96.7901,96.7549,96.71978,,,,,,
Azerbaijan,98.17478,98.3277,98.4806,98.6334,98.7863,98.9392,99.0921,99.245,99.39788,99.54,99.68215,99.69263,99.70496,99.70286,99.71682,99.71966,99.71714,99.71955
Bahrain,,,83.55742,84.4524,85.3475,86.2425,87.1375,88.0325,88.9275,89.8225,90.7176,91.61258,,,,,,
Bangladesh,,,40.82335,41.3096,41.7959,42.2821,42.7684,43.2546,43.74085,44.4914,45.242,45.9926,46.74321,51.374,56.0048,60.6356,65.2664,69.89721
Belarus,99.41972,99.4271,99.4346,99.442,99.4494,99.4569,99.4643,99.4717,99.4791,99.4866,99.49399,,,,,,,
Benin,,,,23.30014,22.0858,20.8715,19.6572,18.44291,19.0514,19.6599,20.2684,20.8769,21.4854,22.09388,,,,
Bhutan,,,,,,,38.68066,40.0144,41.3481,42.6818,44.0155,45.3492,46.6829,48.01656,,,,
Bolivia,,,80.65438,81.543,82.4316,83.3202,84.2088,85.0973,85.98594,86.83175,86.82146,87.4508,88.0802,91.87327,90.7765,89.6797,88.58286,
"Bosnia and Herzegovina",,94.35994,94.5821,94.8043,95.0264,95.2486,95.4707,95.6929,95.9151,96.1372,96.3594,96.5815,96.80371,95.8571,94.91049,,,
Botswana,,,,,81.80795,,,,,,,,,,,,,
Brazil,,86.50005,87.0766,87.6531,88.2296,88.80613,89.3309,89.85559,90.22801,90.21955,90.41122,90.6817,91.63315,91.6249,91.76496,92.06052,,
Brunei,,,90.16155,90.6106,91.0597,91.5088,91.9579,92.407,92.8561,93.3052,93.7543,94.2034,94.65248,,,,,
Bulgaria,,,97.70649,97.7342,97.762,97.7897,97.8175,97.8452,97.8729,97.9007,97.9284,97.9562,97.9839,,,,,
"Burkina Faso",,,,,15.18877,15.9055,16.62224,16.29113,21.57957,22.2425,22.9055,23.5684,24.2314,24.8943,25.5573,26.22025,,
Burundi,,52.23776,51.1027,49.9676,48.8325,47.6975,46.5624,45.4273,44.2923,43.15719,45.0748,46.9925,48.9101,50.8278,52.7454,54.66303,,
"Cape Verde",,,,,,,,,,,,,,80.49622,81.0116,81.5269,82.04222,
Cambodia,,,,,,64.05099,65.7528,67.4546,69.1564,70.8582,65.93125,,,,,,,
Cameroon,,58.72176,59.3361,59.9504,60.5647,61.1791,61.7934,62.4077,63.02206,63.6145,64.207,64.7995,,,,,,
