Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,,,,,,,,,,63.19696,62.75931,56.5091,50.25896,52.5926,59.67704,61.79289,
Albania,,,,,,,,,,,93.34664,91.79587,97.85482,103.29584,92.98149,106.70087,
Algeria,,,,,84.62801,85.13915,82.3871,79.63503,84.0089,88.3827,92.7565,97.1304,101.5042,105.878,110.2519,114.6257,
Angola,,,,,,,,,,37.6916,37.3702,37.09959,37.01685,,,,
"Antigua and Barbuda",,,,,,,,,97.98995,76.47428,72.16301,86.80905,83.63866,97.13558,98.7952,100.45484,
Argentina,96.42213,94.66924,99.27122,99.92106,104.15161,104.34814,100.75133,102.67294,105.04545,110.34048,113.12212,112.38009,110.74201,111.72817,109.61111,,
Armenia,,,,,98.50045,101.6198,102.955,104.2901,105.62532,101.32788,,,,,,,
Aruba,,,,,89.76744,86.31985,85.8144,85.30895,92.04618,99.7904,107.5347,94.46667,,,,,
Azerbaijan,,,93.53519,95.6528,91.77816,94.24866,91.42725,96.27167,92.7666,89.2615,92.12701,92.86569,91.46657,89.49398,87.09692,,
Bahamas,,,,,,,,,,,,99.96514,,,,,
Bangladesh,,,,,,,,,60.39951,53.10182,54.98282,59.13867,60.22793,,,,
Barbados,,,,,104.96259,96.84685,94.3271,91.8073,89.28757,93.62037,93.8977,94.17501,99.00158,98.3456,97.6896,97.03357,
Belarus,,,,,,99.25794,95.39935,95.09733,94.25307,98.52008,105.02724,105.67625,104.34038,106.47248,100.45824,96.3018,
Belize,,,,,73.44599,80.65038,88.6346,96.6189,95.2751,93.93129,89.76523,98.11863,102.22795,107.07998,105.90471,101.32844,
Benin,,,,29.28775,37.82338,42.14842,46.0067,49.865,53.7233,57.58163,51.87529,50.3568,48.83834,59.07869,55.70485,64.86132,
Bhutan,,,,,,67.84743,71.95313,75.1002,78.2473,81.39443,85.56399,82.57952,90.34702,98.10741,,,
Bolivia,,,,,,98.4012,97.4648,96.5285,95.59208,94.59684,95.0921,94.44095,96.89467,97.84134,95.78965,,
Botswana,,,,,87.30807,90.6614,94.01474,81.4132,68.81159,66.23977,65.69818,65.2646,64.8311,64.39752,99.36845,,
Brazil,,,,,,,,,,,,,,,,471.61065,
"British Virgin Islands",,,,,,100.53476,96.2671,91.9993,87.7316,83.4639,79.19622,79.7145,80.2329,80.75117,89.55916,72.64368,
Brunei,,,,87.34563,93.29406,87.12989,93.86467,88.31925,88.86637,88.86819,92.59573,94.68977,100.2489,105.80801,105.2344,99.17187,
"Burkina Faso",,,,,,,,26.91959,27.34485,25.79787,30.2074,34.6169,39.0264,38.84764,58.6401,78.43256,
Burundi,,,,11.6944,12.31108,17.81349,18.899,19.98456,21.3329,22.6812,24.0295,25.37786,28.61405,34.5851,57.32986,56.06474,
Cambodia,,,,,,,,79.0522,80.52407,77.19698,78.5656,79.9342,81.3029,82.6715,84.0401,84.09924,
Cameroon,,,,47.54292,47.25523,46.0491,52.10768,41.08265,40.38826,54.43992,49.90905,48.98572,47.94163,49.4053,50.869,52.33262,
Canada,,,,,,,,,,,,,,,100.06332,,
"Cape Verde",,,,89.79419,90.36052,90.09587,90.6648,91.23366,91.8,92.3663,92.93265,95.10692,92.77108,96.01689,93.68545,99.0112,
"Central African Republic",,,,,,,,,,,,,,23.26667,,,
Chad,,,,,,,,20.06427,20.6546,21.2449,21.8352,22.42547,24.22502,25.64125,21.64667,,
Chile,,,,,,,,,,,,,,,,94.832,
China,,,,,,,,,,,,117.69237,118.766,119.8396,120.91321,113.72835,
Colombia,,,,,,94.75495,100.3654,105.9758,111.58617,112.61396,117.17765,117.24014,115.79924,107.05574,107.71783,105.42716,
Comoros,,,,,,,,,39.47765,41.8455,44.2134,46.5813,48.94921,53.7712,58.59318,,
"Congo (Brazzaville)",,,,,,,,66.73579,61.2036,55.6714,50.1392,44.60706,46.1106,47.61423,,,
"Costa Rica",81.39062,83.6037,85.8168,88.03,90.24307,89.67768,85.79655,83.14634,86.45626,90.1194,94.52882,94.75963,99.01645,98.3071,97.77629,99.6569,
"Ivory Coast",,,,,,,,,,,42.55194,42.2701,41.9882,41.70638,56.32533,56.72341,
Cuba,,,,,99.94846,97.36032,97.9095,96.16477,96.79918,93.10642,101.67203,102.1307,102.591,100.28037,98.9041,101.27745,
"Czech Republic",,,,,,,,,,,,,,,99.48038,98.87376,
"Congo (Kinshasa)",,,,,,22.1108,26.5433,30.9758,35.40835,,,,,,,,
Denmark,,,,,,,,,,,,,,,99.77603,99.60853,
Djibouti,,,,,,24.8874,26.30289,28.37026,32.4044,36.4386,40.4728,40.9687,41.46462,42.55691,41.33109,46.96807,46.80931
Dominica,137.74584,131.3681,128.30609,113.49036,100.34698,101.28292,105.33689,92.71613,96.65956,91.32691,89.09513,84.45344,96.58412,108.74662,109.80952,,
"Dominican Republic",,,,,94.48014,94.68422,90.715,86.7459,82.77669,86.74986,89.3765,79.40554,88.41313,88.56714,87.85327,88.39918,
Ecuador,,,,,,,,98.09664,97.72846,96.2528,94.77715,96.99476,101.34089,109.64257,105.24168,113.10954,
Egypt,,,,,,,,,,,,,,,87.93375,94.92422,
