Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.8348524,376.3371302,364.6388484,390.142472,400.0629282,441.5729906,446.498882,526.9877049,555.4528446,575.3352253,640.2665508,642.0209493,635.4192164,625.1686601,624.654882
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3183.004591,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978.52847,1774.041606,1959.926656,2225.963096,2406.793604,2627.804783,2729.014181,2905.308041,3073.047363,3253.226638,3482.124791,3710.842602,3794.752784,3863.482095,4053.454419,4210.596545,4245.658254,4337.658411,4361.969675,4482.626437,4612.785416
"United Arab Emirates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63236.61301,59177.33865,59842.34422,60319.30263,57123.27528,55184.24616,50024.5712,44299.76211,37610.85272,35037.09857,35562.49899,36438.67292,38227.73357,39101.83261,40333.16403,41086.65516
Argentina,5759.808568,5978.45064,5824.287911,5433.208953,5896.046691,6425.226511,6379.110989,6257.23945,6345.830863,6913.890837,6800.209579,7419.528638,7225.659961,7441.522153,7720.769166,7670.321077,7302.701942,7630.921243,7191.324673,7788.176752,7990.209122,7309.781474,6588.388225,6759.103135,6836.349944,6208.960843,6657.991232,6741.269834,6490.471695,5669.318865,5698.620046,6408.209322,7157.951715,7522.022074,7846.396148,7501.891472,7802.719565,8327.731684,8520.786968,8131.024432,7974.723222,7525.422961,6328.220023,6894.019821,7469.938487,8212.609099,8823.707927,9584.121773,9879.489029,9143.681242,9925.019405,10468.56003,10306.77582,10470.61838,10114.90092,10292.40502,9926.909582
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1720.829834,1599.445741,762.5966447,801.3878058,956.1871841,1042.387145,1153.441922,1243.541124,1308.331297,1357.35224,1443.546264,1596.078241,1828.775214,2089.980606,2313.310601,2683.389551,3077.220665,3553.557349,3848.664717,3264.093068,3377.655864,3487.318659,3742.915153,3921.522834,3990.681302,4084.582365,4007.385776
"Antigua and Barbuda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11842.04336,,,,,,
Australia,19014.91774,19123.42033,18957.68554,19704.91622,20679.3731,21537.47439,21536.39671,22611.76979,23267.44792,24393.71542,25631.62376,25794.98801,26359.03419,26626.5982,27091.55466,27149.91727,27447.12131,28118.86625,28040.66473,28842.09624,29298.32659,29873.85064,30370.60709,29406.2414,30208.78566,31212.4688,31932.08721,32233.95317,33498.59909,33999.72355,34477.28334,33893.7452,33858.27793,35063.75558,36123.40459,36868.37805,37783.63223,38902.01149,40293.58199,41853.35429,43051.22364,43322.1686,44476.67731,45239.57148,46540.90836,46978.7934,47554.84385,48717.31821,49690.88845,49836.81118,49860.25914,50187.57473,51631.34448,52376.88605,52856.42723,53686.3387,54364.27912
Austria,,,,,,,,,,,19533.15902,20459.37905,21571.06141,22491.5374,23410.90912,23369.19067,24443.14858,25658.56416,25626.3569,27080.31253,27590.18654,27505.49784,28072.73801,28958.35763,28988.68315,29723.53822,30264.97276,30643.99071,31771.73395,32968.20618,34193.99521,34850.75956,35121.66574,35041.59491,35673.95347,36441.18069,37390.26553,38014.12835,39266.25489,40193.48607,41752.65694,41940.98272,42767.46117,43025.10622,43966.91923,44569.98026,46042.63106,47395.92096,48427.87826,46061.94988,47250.00837,48172.26169,48197.82912,48056.74528,47949.14556,47485.91658,47972.09051
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1405.038328,1220.819907,1207.621822,1285.256742,1399.781279,1480.972338,1558.492456,1694.566038,1852.090606,2042.559387,2172.101517,2503.220269,3221.195851,3775.087867,4428.090226,5175.612602,5492.939151,5304.013256,5466.034915,5767.811899,5968.2178,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.7601389,238.6801019,231.6931287,231.9683306,224.5248808,227.4853164,216.5618378,218.1729342,215.8463189,222.1303128,225.4616311,229.3866144,227.9611168,229.8141389,231.8467218,234.9416058,239.3436948,243.2595759,226.0976941,216.8646331
Belgium,,,,,,,,,,,20309.1806,21054.40636,22089.67456,23392.86035,24380.21958,23827.87478,25135.33027,25203.31336,25870.42044,26349.15544,27436.23286,27401.67389,27458.45524,27527.93807,28267.74323,28813.00458,29344.13416,30079.09496,31394.57286,32284.67174,33244.16476,33848.39883,34221.12503,34081.86999,35327.51653,36010.04536,36554.22629,37859.25998,38526.02172,39763.21669,41202.23295,41106.08909,41590.26828,41810.74477,42914.85483,43505.24927,44380.97449,45556.37548,45998.68349,43645.55995,45778.9951,45001.10906,45411.36985,44933.12089,44938.12086,45084.58754,
Benin,518.7401627,527.6641886,502.0395045,517.5711015,542.848797,561.5580197,572.3137982,566.6253752,574.561163,576.7282782,576.349078,554.1905007,579.6907436,591.1192675,599.4878761,552.8146235,545.2069732,557.8323485,550.6896351,571.802709,592.2517836,633.4410326,628.3679166,579.7786466,597.476316,629.7119209,626.1108346,599.7849434,603.820548,562.7148257,596.727267,603.9141233,587.1470082,612.3212749,601.0545697,617.771942,624.8652983,645.4239142,656.8824583,672.74907,691.0601037,705.7684872,713.6205078,715.6215556,726.3082746,720.6041255,726.0693083,746.1956563,765.9221243,759.5760946,751.8820476,757.1358112,766.725821,799.6853347,828.2499188,825.1224179,837.7678471
"Burkina Faso",,,,,,255.7889431,254.5274032,272.5208311,276.2818196,277.1194947,273.7516492,272.5069674,273.5696658,270.491405,286.7525602,286.7235811,306.3502697,298.5674077,309.7223789,315.1470041,311.6436197,316.1567941,337.9466873,330.539954,317.4361902,335.5757901,353.3978598,343.0909149,353.0703901,351.4716609,340.9879009,361.8794338,352.8455287,354.4364733,348.9646724,360.1242309,391.6129041,403.4730686,420.94225,439.2059609,431.03227,447.2475942,454.747176,476.1050727,482.9414342,510.8193005,528.5604985,540.6996083,562.8394757,561.9119821,560.3703198,572.1650026,602.4447633,617.9435912,612.502998,615.9867223,
Bangladesh,,,,,,,,,,,,,,324.4998134,348.8502356,327.499288,337.7810482,336.832494,351.1744062,358.2760088,352.316895,373.1512242,371.1230178,379.5309819,386.7519557,385.2688335,391.7328577,397.1691242,395.9223837,396.607257,407.9142218,412.8024644,426.6515068,438.332341,447.3007219,459.845838,468.5751799,480.5353194,495.2315936,508.8835562,526.357082,541.4877048,557.103984,573.5874724,596.0530976,626.215759,666.6910558,710.4808211,752.1141398,783.2035799,819.0458916,859.9434581,909.5109518,949.4403005,983.1821767,1034.396407,1089.128252
Bulgaria,,,,,,,,,,,,,,,,,,,,,3164.354508,3331.755586,3407.119212,3528.897063,3650.670951,3742.941992,3888.784331,4098.003395,4503.994284,4357.128106,3821.669708,3481.006922,3556.058315,3526.986194,3596.083157,3670.036785,3733.397928,3746.352119,3937.428861,3754.026366,3919.097965,4272.525534,4712.294573,4970.183851,5313.507231,5692.957794,5962.892891,6161.953699,6627.082553,6583.600011,6700.701947,6793.854853,6966.879067,7004.357636,7235.39945,7455.540693,7945.992129
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21399.74706,21562.43174,20783.84925,18793.70251,18809.61217,17898.46061,18253.48903,19004.09406,18488.07177,21301.55292,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23077.46044,22048.03778,20697.18788,20111.35733,19518.24235,19776.68619,23673.51252,26081.82449,21204.71123,22662.50148,23708.23777,24262.45258,24433.09149,24582.01749,23917.69722,23702.54093,23676.97146,23724.16268,23584.9901,23050.72039,21513.06651,21270.59795,21112.41005,21484.00277,20953.67717,20209.12442,19427.32021,19176.90111
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4284.843155,4534.039819,4834.268973,4720.931823,4689.887314,4737.921954,4750.518976,4947.021035,5032.011393,5223.290077,5384.505639
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3112.700508,3073.839691,2772.767083,2557.52886,2255.42258,2023.956777,2090.771635,2330.297615,2537.100199,2641.749147,2807.600756,2954.099578,3129.637969,3385.26197,3797.548355,4186.817604,4607.30308,4991.927936,5489.71033,5455.612393,5913.885609,6227.657475,6310.335183,6265.041075,6407.93933,6067.212512,5881.349034
Belize,,,,,,,,,,,,,,,,,,,,,,2211.942132,2110.46233,2005.067223,1915.200506,1912.115863,2023.463396,2152.768206,2295.642097,2529.599301,2740.882331,2973.18238,3251.506245,3398.169097,3290.731736,3252.448346,3177.431477,3192.725186,3148.468497,3272.817508,3545.935432,3564.300726,3659.509206,3841.780173,3853.12298,3891.518421,3966.17908,3807.288044,3849.110553,3948.948888,3854.358722,4016.011604,4041.033648,4010.140944,4024.989147,4163.742243,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110003.977,,,,,,
Bolivia,,,,,,,,,,,1453.743751,1506.968666,1587.024248,1641.950025,1659.316269,1738.397007,1781.587477,1813.517248,1802.557291,1750.086827,1653.02436,1732.849527,1422.778223,1385.55592,1304.489531,1237.767796,1185.49072,1213.97996,1229.975108,1257.250828,1294.935503,1344.282096,1356.217381,1384.578611,1426.846117,1461.855371,1511.235507,1551.105995,1606.51409,1575.490045,1579.990046,1578.304219,1587.779925,1582.314495,1606.806682,1656.401404,1712.40427,1756.350554,1842.647452,1862.852023,1894.037697,1948.618152,1987.191634,2086.299181,2199.500919,2320.906206,2422.475705
Brazil,3429.701831,3673.063061,3752.533854,3675.868722,3695.518065,3702.117444,3574.35106,3697.837767,4054.747486,4361.976451,4643.922618,5060.458381,5548.748054,6151.506875,6575.463366,6712.804197,7183.787026,7326.302131,7333.02123,7621.701676,8074.151073,7473.069276,7267.626664,6803.804826,7007.061556,7436.164711,7944.819401,8128.841113,7944.133788,8864.000528,7783.414257,7798.272908,7658.413039,7840.381299,8014.187929,8250.772518,8372.422004,8475.227674,8264.101877,8117.113552,8407.581341,8395.842756,8558.327906,8542.099028,8962.644055,9134.188891,9370.52282,9823.91929,10148.79286,10044.889,10894.63738,11256.43562,11426.56285,11777.72235,11637.35245,11087.14572,10609.28402
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15602.76712,,,,,,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37071.7353,37162.5406,37838.32056,36904.47506,37043.18167,37703.79173,37833.36477,36400.03739,35382.14265,35672.33991,35923.40183,36162.97793,36832.26623,37202.35794,36752.04732,36325.12073,37401.05316,37135.42481,35999.98161,34956.8953,35009.58165,34922.49641,34846.25122,34160.18354,33278.43239,34197.89174,33401.18625
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1199.913816,1263.509194,1340.4231,1393.309114,1435.812494,1513.064446,1595.771953,1824.14126,1846.99827,1907.009174,2058.008784,2165.87552,2201.869349,2236.73218,2329.708009,2398.754439,2571.064937
Botswana,,,,,,,,,,,,,,,,1287.816498,1371.756839,1477.838254,1624.698788,1752.946148,1812.394993,2048.698376,2202.558696,2291.129994,2285.394657,2357.913809,2488.919811,2573.273564,3147.788248,3381.80201,3748.74641,4095.667208,4142.314373,4279.970738,3850.542705,4208.276395,4165.625084,4507.141692,4697.817658,4699.166826,4651.237037,4767.835719,4455.361049,4770.227555,4772.158031,5050.288159,5432.284227,5840.202146,6143.789146,5817.124214,6073.405424,6559.469172,6796.245793,7218.12865,7404.737565,7182.996645,7344.597649
"Central African Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.4838903,436.4682051,448.609333,460.3699747,478.1519946,301.6306476,303.8498992,316.3885217,326.1402711
Canada,,,,,,,,,,,24273.5993,24901.54634,25877.83904,27194.71673,27667.27187,27638.61935,28608.8038,29163.23396,29907.5144,30657.45102,30915.81896,31407.19466,29992.66097,30631.33844,32086.25411,33313.51456,33600.53716,34612.37755,35624.65812,35732.79776,35206.45691,34097.25692,33892.51766,34484.9392,35627.79123,36317.72152,36546.44564,37804.49682,38850.60867,40512.89218,42528.49851,42765.83653,43795.17318,44157.65372,45191.08696,46222.37689,47273.97914,47835.27949,47785.1115,45752.20321,46507.47915,47530.52713,47852.99332,48601.74502,49258.44379,49378.62942,49582.41036
Switzerland,,,,,,,,,,,,,,,,,,,,,55895.08327,56748.58544,55606.18466,55917.07023,57780.48112,59594.22939,59975.39774,60435.48726,62387.95821,64251.06229,65501.47691,64156.75213,63261.01456,62889.58684,62710.22043,63107.08484,63326.6984,65727.16905,67761.61772,69090.57585,71987.33423,70670.04778,69471.28033,71657.56263,72868.6204,76158.49034,78003.76593,75380.57406,70721.25126,74375.8506,78771.57546,75434.71421,76329.79744,76909.74671,76786.97977,77866.66092,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11946.76985,,,,,,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4541.022566,,,,,,
"Ivory Coast",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1169.202705,1178.150726,1175.031338,1095.312025,1191.311449,1248.256043,1348.378669,1421.517054,1502.269623
Cameroon,,,,,,,,730.4300381,769.7685772,807.5284901,822.5151898,851.5218851,866.055805,833.7538164,903.2228044,1002.780797,919.2325983,887.9640321,1241.745524,1317.25342,1117.465213,1369.706679,1470.549467,1533.871369,1637.37119,1721.825425,1811.317597,1718.645362,1549.776059,1455.270142,1296.848597,1186.539634,1128.964024,1015.821861,1003.671805,1009.715069,1026.32831,1051.633147,1085.272057,1106.36141,1094.851078,1104.427883,1132.183215,1181.303956,1243.663036,1229.805208,1256.296584,1270.206872,1287.630194,1295.218731,1295.90297,1312.780655,1328.938857,1358.103512,1416.147714,1448.796044,1465.603967
"Congo (Kinshasa)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.8688004,343.864881,327.5720405,343.5382804,314.6897662,305.042421,274.7910464,270.0032744,249.2642945,253.6051322,261.6142333,269.2731001,273.2497425,281.5540648,287.724284,286.8817363,294.1259467,303.9602121,311.6403947,322.1919231,327.9424466,349.6106674,365.504888,379.6646268
"Congo (Brazzaville)",1883.00301,1984.559987,2031.73952,1899.092239,1918.122799,1934.44527,1909.397133,1908.917081,1990.918721,2072.794102,2131.067369,2233.368508,2367.216008,2431.093976,2565.43654,2668.213283,2591.55812,2293.371881,2348.003433,2464.335644,2762.181618,3272.977667,3866.073431,3888.3466,4132.104479,3979.992215,3872.582502,3777.381232,3319.991975,3236.006008,3008.05713,3051.473404,3176.662742,2859.875084,2774.89886,2006.412087,1909.507458,2261.978114,2554.703364,2179.99631,1921.672626,2048.552151,2068.214527,2329.164416,1781.036694,1722.840429,1855.474275,1590.935034,1836.423326,2066.550742,2057.177618,2018.507921,2406.355245,2590.492349,3011.910796,3866.846932,3491.573423
Colombia,2205.757153,2251.662022,2302.7144,2295.341464,2378.554213,2356.069383,2416.090271,2418.60006,2535.56522,2607.27412,2682.693666,2786.745542,2928.015289,3072.64312,3194.722506,3164.208752,3247.390248,3330.19126,3535.249926,3658.248858,3736.763225,3714.557048,3598.10686,3554.110862,3575.094123,3573.061584,3735.347408,3831.660567,3936.658922,3945.569473,4101.085159,4147.621007,4294.30004,4358.230592,4606.310054,4769.193716,4770.224875,4852.064687,4829.189657,4558.929403,4672.123905,4669.721977,4708.854099,4790.875619,4973.944912,5131.494154,5409.588496,5695.920571,5813.003097,5866.588328,6006.101241,6276.199045,6503.990274,6780.416677,7048.519699,7311.042327,7399.480687
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,807.6976117,801.6995021,798.3916251,793.4329031,797.9002111,800.3804526,792.675871,772.172453,769.2144305,767.94108,769.2688166,772.252502,782.7150625,781.4307451,,
"Cape Verde",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3136.931407,3291.291879,3216.683215,3167.193067,3273.964287,3259.211926,3272.452681,,,
"Costa Rica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7933.50737,,,,,,
Cuba,,,,,,,,,,,2203.884116,2351.28207,2422.331555,2464.367143,2451.468038,2648.753409,2761.508879,2973.764838,3145.014441,3158.244903,2986.821586,3556.94305,3857.68974,4051.349901,4353.260543,4385.672251,4355.965941,4208.462171,4330.582871,4322.075584,4130.899421,3674.481535,3241.583781,2741.112185,2744.241487,2779.208857,2989.337369,3060.083547,3057.033089,3230.729081,3403.456453,3515.814856,3547.565094,3681.536135,3880.641642,4319.39889,4849.490741,5174.664988,5386.389273,5411.976554,5549.77649,5735.584367,5903.209544,6059.430389,,,
Cyprus,,,,,,,,,,,,,,,,7676.533982,9302.190757,10959.52044,11750.94563,12750.28086,13368.29654,13445.47767,14073.33217,14561.06619,15665.73386,16256.1774,16639.38112,17832.07659,19156.95559,20434.3404,21503.84814,21124.83429,22406.78065,22065.32613,22816.64748,23462.02576,23426.93293,23520.67995,26586.79702,25258.00679,25874.86605,26613.586,27644.95019,28205.53678,28970.98732,29569.35771,30242.59132,31723.13706,31983.1453,30817.32109,29888.55387,30141.4194,27890.04349,25869.70392,26059.07581,27918.32687,28008.53216
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12347.69938,12300.01772,12652.21989,13335.75079,13833.515,13771.40707,13726.72591,13881.71342,14505.1212,14844.23051,14995.71527,15565.19164,16094.97782,17145.29494,17983.31072,18807.37142,19145.6151,18000.73285,18277.36943,18566.28674,18667.49267,18605.13483,18913.79094,19929.29962,
Germany,,,,,,,,,,,19726.26796,20292.2411,21046.29591,21989.53421,22178.54219,22087.12909,23300.82085,24114.19942,24936.3534,25908.57608,26228.97609,26306.29757,26205.39304,26751.55436,27698.72553,28410.63442,29006.01375,29342.6579,30457.28742,31451.20385,32848.04647,34091.27089,34431.86972,33820.15783,34300.63814,34713.34101,34933.22914,35454.25615,36015.22054,36640.27555,37746.3751,38252.88101,38048.07071,37869.89518,38948.43633,39317.25275,41153.65141,42447.19678,42770.95326,40993.51473,42608.81041,45227.2273,45285.88579,45349.33833,45907.91584,46255.36123,46629.041
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6780.280266,,,,,,
Denmark,,,,,,,,,,,30662.69143,31327.60428,32354.82055,33567.1652,32903.06219,32310.91095,34175.17673,34656.11546,35281.03056,36293.62901,36196.65386,35677.78354,36775.40633,37827.48568,39243.03953,40755.65189,42799.44583,42993.85025,42889.13456,43006.35647,43465.97044,43927.84504,44812.98769,44970.61382,47264.50763,48633.56557,49658.36596,51003.84555,52089.83197,53575.23414,54733.86484,55344.59829,55546.68681,55917.72711,57854.85855,59260.95339,61618.27618,61475.34554,61171.36946,57792.10526,58990.78444,59799.6848,59800.44983,60647.55999,61600.57778,61989.66999,62264.7735
"Dominican Republic",1256.919,1171.310993,1325.018957,1371.380295,1422.286501,1215.499447,1327.758711,1331.013347,1296.678803,1394.382126,1625.554769,1762.478078,1933.826171,2088.919373,2147.155077,2204.25423,2292.120262,2309.819664,2343.379192,2415.807622,2443.303908,2470.109412,2480.157673,2531.282633,2510.316697,2342.449905,2422.153698,2584.2777,2556.091129,2649.70755,2465.478574,2453.95932,2657.373432,2746.019052,2776.684176,2876.570127,3054.574365,3240.659309,3404.928064,3565.934891,3718.322067,3723.71076,3883.60467,3717.26773,3630.117212,4043.214312,4436.568717,4782.128512,4939.397033,4917.025472,5253.34501,5334.979413,5411.367989,5551.721231,5891.374065,6259.348014,6573.981778
Algeria,2907.783899,2513.98466,1785.230101,2182.256171,2202.781529,2222.064168,2030.223722,2194.052718,2380.964869,2545.44929,2631.676434,2304.883562,2870.805472,2883.262326,3020.727991,3064.773195,3204.409437,3278.568239,3460.607978,3556.556204,3485.12867,3473.536681,3586.693762,3683.762226,3766.355556,3791.980257,3735.563352,3607.926632,3436.005134,3492.615596,3427.822021,3248.247311,3249.817844,3150.18619,3040.187131,3060.155649,3117.968687,3125.728793,3264.78932,3296.81765,3332.699266,3482.231103,3592.23861,3806.000438,3888.39724,3989.586512,4040.44813,4273.688861,4349.24786,4338.987561,4452.669795,4444.669308,4452.140476,4468.431552,4547.520869,4580.158303,4603.001445
Ecuador,2186.341413,2151.891697,2194.158233,2232.127632,2339.751751,2392.688373,2315.960754,2354.546128,2328.373635,2371.26227,2458.939258,2532.372837,2583.213854,2820.141849,3058.470129,3367.068229,3504.632183,3457.441039,3545.646908,3554.272974,3590.966986,3684.303061,3566.087949,3465.5535,3427.768574,3427.193677,3464.075257,3338.584732,3432.317341,3380.344755,3428.786461,3543.795382,3584.834512,3612.413869,3697.923276,3713.669437,3688.043555,3784.180097,3814.799027,3481.707357,3412.464478,3572.675857,3690.462773,3719.118747,3944.86217,4108.08942,4233.134072,4251.320289,4514.726008,4481.536796,4587.842797,4863.971569,5063.447951,5233.523754,5344.450399,5261.173657,5095.424601
Egypt,,,,,,756.5715818,745.0301809,732.8232607,734.3408609,760.9124906,784.7194554,792.8537845,792.0049636,775.6095172,777.6519977,821.2570334,915.5008193,1005.719379,1022.955485,1042.136881,1108.983019,1114.118205,1199.504487,1257.705464,1299.159749,1305.62741,1287.964616,1425.562921,1471.275904,1494.214777,1521.529102,1525.499692,1561.882088,1567.362032,1614.293301,1664.7769,1724.554187,1793.477583,1834.945914,1905.695988,1967.99443,2003.216556,1992.612654,2012.713809,2053.136175,2105.848874,2228.007598,2354.060834,2476.673626,2525.726181,2550.607906,2525.68302,2532.37402,2523.338286,2545.468174,2618.886291,2686.892162
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.1694037,431.7557449,525.880381,546.682652,578.4980762,619.3727746,624.4895988,611.5540727,571.9487769,601.1667187,596.070934,559.257726,547.9285887,549.803402,532.2832993,529.4809327,467.3275769,476.4671671,477.6788811,510.1128294,,,,,
