Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Angola,,,,,,,,,18,49,53
Argentina,,,,,,,,,,61,75
Armenia,,,,,,,,33,91,93,94
Australia,,,81,82,84,85,84,84,84,85,87
Austria,,,47,61,61,61,61,61,61,61,61
Bahrain,,,49,90,59,96,96,97,97,97,98
Belgium,,,,,,,86,86,86,88,87
Bolivia,,,51,76,87,91,91,93,99,99,99
Botswana,,,,,,,74,85,95,95,95
Brazil,47,80,81,86,83,87,86,93,92,94,94
"Burkina Faso",,,,,,,,9,91,91,91
Burundi,,,,,,,,,96,96,96
Cameroon,,,,,,,,,46,73,80
Colombia,,,,55,74,78,87,87,89,91,90
"Congo (Brazzaville)",,,,,,,,,60,80,80
Djibouti,,,,,,,,,,86,86
"Dominican Republic",,,,,,,9,69,86,83,75
Ecuador,,,82,97,94,90,87,83,81,78,80
"El Salvador",25,78,83,62,90,90,93,92,96,93,93
Eritrea,,,,,,,,,25,96,96
Estonia,,,,,,,,,32,64,85
Swaziland,,,,,,,,,,36,95
Ethiopia,,,,,,,,,63,63,63
Fiji,,,,,,,,85,99,99,99
Finland,,,,,93,93,93,93,92,91,84
Gambia,,,,,,,,7,92,97,95
Georgia,,,,,,,,41,69,72,75
Germany,,,,,,,,,70,70,66
Ghana,,,,,,,49,87,98,88,94
Greece,,,,,,,,,20,20,20
Guatemala,,,,,38,71,81,81,54,79,82
"Guinea Bissau",,,,,,,,,,,61
Guyana,,,,,39,77,91,94,95,96,96
Haiti,,,,,,,,,23,43,48
Honduras,,,,81,97,97,97,97,97,97,97
India,,,,,,,,,,,4
Iraq,,,,,,,31,52,29,34,34
Israel,,,,,,,82,80,81,80,81
Jordan,,,,,,,,,,88,97
Kenya,,,,,,,,,19,66,74
Kiribati,,,,,,,,,,37,79
Latvia,,,,,,,,,,68,83
Liberia,,,,,,,,,,,48
Libya,,,,,,,,,86,93,97
Luxembourg,,,,86,87,88,89,89,89,89,89
Madagascar,,,,,,,,,39,69,78
Malawi,,,,,,,7,81,83,84,81
Mali,,,,,,,,,13,33,60
"Marshall Islands",,,,71,25,43,60,52,44,90,38
Mauritania,,,,,,,,,5,56,73
Mauritius,,,,,,,,,,66,92
Mexico,,,47,93,90,98,99,81,85,81,72
Micronesia,,,,,70,40,45,33,40,46,46
Morocco,,,,,2,80,88,90,90,90,99
Mozambique,,,,,,,,,,17,76
Namibia,,,,,,,,,,87,86
"New Zealand",,,,,,,,,,,66
Nicaragua,,66,89,94,98,98,98,98,98,98,98
Niger,,,,,,,,,19,47,61
Palau,,,,15,76,89,89,99,99,97,98
Panama,82,66,74,78,89,95,92,87,87,87,92
Paraguay,,,,,56,85,85,83,85,92,92
Peru,,,3,41,75,84,91,86,86,87,87
Philippines,,,,,,,5,28,1,2,
Qatar,,,,59,55,93,90,97,90,92,99
Moldova,,,,,,,21,65,69,62,70
Rwanda,,,,,,,50,98,98,98,98
"Saint Thomas and Principe",,,,,,,,,,,24
"Saudi Arabia",,,,,,,,84,94,95,95
Senegal,,,,,,,,,,83,93
"Sierra Leone",,,,,,,,,53,85,95
Singapore,,,,,,,,,,57,57
"South Africa",,,,17,60,67,71,71,76,77,73
Sudan,,,,,,27,75,80,86,84,90
Tajikistan,,,,,,,,,,85,96
Togo,,,,,,,,,35,85,90
"United Arab Emirates",,,,,,,,,56,87,92
"United Kingdom",,,,,,,,,,89,90
Tanzania,,,,,,,,85,97,98,96
"United States",,,,44,59,67,69,73,72,72,73
Uzbekistan,,,,,,,,,52,95,99
Venezuela,13,29,50,54,49,66,76,77,76,84,47
Yemen,,,,,,,23,56,57,52,59
Zambia,,,,,,,,,73,82,90
Zimbabwe,,,,,,,,,48,87,91
