Country,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,1,1.2,1.9,1.4,1,0.7,1.8,1.9,1.1,2.1,1.2,2.3,1.7,1.5,1.8,1.5,1.5,1.2,6.9,5.6,5.7,6.2,5.1,5.1,5.2,5,6,5.9,5.3,5.1,5.2,4.8,4.7,4.7,
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,3.8,3.8,4.2,4.3,4.5,4.6,4.6,5,5,5.2,5.2,,
"El Salvador",,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.3,0.6,0.2,0.1889,0.1778,0.1667,0.1556,0.1444,0.1333,0.1222,0.1111,0.1,1.1,2.1,3.1,4.1,4,3.5,4.2,4.7,4.3,3.5,4,4.2,4,4.5,3.9,4.5,4.2,3.9,4.3,
"England and Wales",,,,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.325,0.35,0.375,0.4,0.425,0.45,0.475,0.5,0.525,0.55,0.575,0.6,0.7,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.9,0.9,1,1.1,0.9,0.9,0.9,0.9,1,1,1.1,1.1,1.4,1.4,1.3,1.5,1.5,1.5,1.7,1.8,1.8,1.9,2.1,2.2,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,1.5,2.4,2.5,2.5,1.9,2.7,1.7,2,2.2,2,1.6,2.5,2.3,1.9,2.6,
Finland,0.5,0.3,0.4,0.3,0.5,0.4,0.3,0.7,0.8,0.8,0.8,1.2,0.8,1.1,1.0895,1.0789,1.0684,1.0579,1.0474,1.0368,1.0263,1.0158,1.0053,0.9947,0.9842,0.9737,0.9632,0.9526,0.9421,0.9316,0.9211,0.9105,0.9,1.1,1.8,2.5,2.2,2,2.5,2.1,2.15,2.2,2.8,2.2,2.5,2.5,2.6,2.2,2.1,2.4,2.4,2.5,2.1,2.1,2.4,2.2,1.8,2.1,2.2
France,0.3,0.3,0.4,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.5,0.4,0.425,0.45,0.475,0.5,0.525,0.55,0.575,0.6,0.625,0.65,0.675,0.7,0.6,0.7,0.7,0.8,0.8,0.9,0.9,1,1,1,1,1.1,1.1,1.2,1.4,1.3,1.5,1.5,1.6,1.7,2.1,2.2,2.2,2.3,2.2,2.3,2.2,2.2,2.4,2.3,2.3,2.3,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,3,2.7,2.9,2.9,2.9,2.9,2.1,1,1.4,2.1,2.8,1.4,2,2.2,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.6,0.5,0.6,0.8,1,1,0.8,0.9,1.1,1.1,1.1,1.2,1.2,1.2,1.7,1.9,1.8,1.6,1.8,1.9,1.8,1.8,1.9,1.8,2,1.9,1.9,2,1.9,1.9
"United Kingdom",,,,0.5,0.5,0.6,0.5,0.5,0.5059,0.5118,0.5176,0.5235,0.5294,0.5353,0.5412,0.5471,0.5529,0.5588,0.5647,0.5706,0.5765,0.5824,0.5882,0.5941,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.9,0.9,0.9,0.9,1,1.1,0.9,0.9,1,1,1.1,1.1,1.1,1.2,1.4,1.5,1.4,1.6,1.6,1.6,1.7,1.8,1.8,1.9,2.1,2.2,2.2
Greece,,,,,,,,,,,,0.5,0.6,0.6083,0.6167,0.625,0.6333,0.6417,0.65,0.6583,0.6667,0.675,0.6833,0.6917,0.7,1.1,1.2,0.8,0.4,0.4,0.7,0.4,0.4,0.7,0.6,0.4,0.3,0.5,0.6,0.5,0.5,0.6,0.6,0.7,0.9,0.5,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.5,0.6,0.8,0.7,0.6,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,3.7,0.2,0.6,0.4667,0.3333,0.2,0.7476,1.2952,1.8429,2.3905,2.9381,3.4857,4.0333,4.581,5.1286,5.6762,6.2238,6.7714,7.319,7.8667,8.4143,8.9619,9.5095,10.0571,10.6048,11.1524,11.7,12.4,11.7,12.6,12.2,12.9,12.2,12.8,
"Hong Kong",,,,,,,,,,,,,,,,,,,,,,,,,7.5,8.2,7.7,7.5,8.2,7.2,7.8,6.9,7.4,6.4,6.4,7.3,6.9,7.2,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,4.9,5.6,5.6,6.2,5.65,5.1,5.3,5.8,5.6,5,5.5,4.7
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,4.1,3.6,4.3,3.7,4.2,3.8,3.6,3.6,3.8,3.7,3.3,3.8,3.9,4,3.8,3.8,4.1,3.6,3.1,3.2,3.6,3.2,2.9,2.7,2.9,2.8,2.5,2.3,1.6,2.1,2.1,1.8,2,2.2,2.2
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,0.9,1.5,2.7,0.8,2.1,1.8,0.7,0.8,1.4,0.9,0.3,1,1.5,0.5,3.2,1.1,1.1,2.3,1.8,1.4,1,0.6,0.2,1.1,0.7,1.7,2.5,2.1,,,,
