Country,2013,2014,2015,2016,2017
Albania,3.591451,2.942645276,2.471684921,2.404660686,2.287286758
Algeria,1.961113,2.258606909,2.424745523,2.240132937,2.049827576
Angola,3.823529,3.752316771,,,
Argentina,2.414037,2.497468443,2.501461763,2.638896007,2.90267849
Armenia,2.555007,2.521086487,2.593319708,2.711409287,2.860156775
Australia,4.732827,4.791496837,4.754578171,4.664742403,4.744925976
Austria,4.249105,4.122354515,4,3.978598384,3.90912962
Azerbaijan,4.100669,3.993891283,3.993891283,4.255754773,4.692295074
Bahrain,5.027027,5.071549912,4.970479374,4.57184959,4.571849823
Bangladesh,2.425023,2.403600918,2.48660791,2.758486022,2.668556213
Barbados,4.67382,4.466530681,4.3675,4.268537344,
Belgium,3.852112,4.025805734,4.232528833,4.193024532,4.165250301
Benin,2.574824,2.7949,3.01492548,2.939024162,2.58488059
Bhutan,3.65448,3.599384646,3.551514205,3.623938561,3.653136015
Bolivia,3.300099,3.362128923,3.065605021,2.46699035,
"Bosnia and Herzegovina",1.9208921,1.8595,1.798076868,1.728068991,1.593054771
Botswana,3.33689,3.715198015,3.853243694,3.915435359,3.940073967
Brazil,3.732276,3.576217277,2.980225918,2.735836967,2.780485868
Brunei,4.367924,4.215,4.062,3.909090996,3.899713755
Bulgaria,1.885399,1.812308542,2.205732295,2.528378003,2.320783615
"Burkina Faso",2.239632,2.433942713,,,
Burundi,1.901334,1.86142358,1.86142358,1.840756366,2.263518572
Cambodia,3.796098,3.646059733,3.494821489,3.57488818,3.768876314
Cameroon,2.76681,2.902493082,2.78130931,2.602250868,2.544989109
Canada,5.123711,5.23675794,5.312748647,5.124065038,5.173699379
"Cape Verde",3.473333,3.56954264,3.415801243,3.19232465,3.038509607
Chad,2.683364,2.933989687,3.015400575,3.029021612,3.008023024
Chile,4.50308,4.337628798,4.23842829,4.315445752,4.274170876
China,4.386159,4.242322134,4.176699164,4.365059612,4.483802795
Colombia,3.111864,3.144357147,3.151488423,3.143524274,3.165344954
"Congo (Kinshasa)",,,,2.946808577,2.785227299
"Costa Rica",3.981581,4.006408525,3.780959027,3.763195331,3.929509401
"Ivory Coast",3.482354,3.883390909,3.92857635,3.726722181,
Croatia,1.889726,1.812445447,1.900401287,1.895465651,1.795286059
Cyprus,3.388484,3.51797053,3.170188475,2.982011177,3.274998665
"Czech Republic",3.200955,3.071707084,3.158966842,3.316204745,3.25393343
Denmark,3.773371,3.763710022,3.914035544,4.061267603,4.045476913
"Dominican Republic",3.28557,3.346271209,3.428697666,3.446522045,3.210516691
Ecuador,4.097975,3.7359,3.37391305,3.179046826,2.988588572
Egypt,2.176362,2.723715234,2.701519639,2.701519639,2.404040337
"El Salvador",3.813953,3.496198837,2.784260526,2.356991787,2.242971659
Estonia,3.008097,3.059503431,3.15588473,3.316769666,3.462245703
Ethiopia,2.544505,2.772412986,3.43083815,3.7720351,3.524149895
Finland,3.513514,3.673529962,3.534667332,3.484054478,3.648504257
France,3.876106,3.84287288,3.807973243,3.639152038,3.430503607
Gabon,3.617784,3.611498322,3.324571883,3.54094805,
Gambia,3.578734,3.878981494,3.99586035,3.61191177,4.163418293
Georgia,2.75745,2.612266636,2.549848056,2.635435962,2.730118036
Germany,4.691153,4.697410603,4.678465901,4.740484027,5.041265965
Ghana,3.94326,3.43572439,3.330197219,3.755775535,3.97829628
Greece,2.262081,2.347456845,2.214535335,2.077427585,1.899263859
Guatemala,3.051422,3.259997437,3.341794937,3.25238457,3.118089199
Guinea,2.717524,2.706356856,2.706356856,2.736,2.765625
Guyana,3.945041,4.037945329,3.862444235,,
Haiti,2.671892,2.713261008,2.735245211,2.3872,2.039215803
Honduras,2.676105,3.131922367,3.517572221,3.268172436,2.927775621
"Hong Kong",5.743659,5.554344983,5.396919946,5.396919946,5.204545498
Hungary,2.557026,2.59177277,2.490349663,2.354468129,2.540886641
Iceland,3.414421,3.417308197,3.653975784,3.99618863,4.034526348
India,3.718754,3.819372444,3.848209287,4.401800722,4.669833183
Indonesia,4.312507,4.30557526,4.148971117,4.21906489,4.454935551
Iran,1.803642,1.822192266,1.939722586,2.236585896,2.585194349
Ireland,5.033239,5.121659218,5.349289342,5.544599997,5.044480324
Israel,3.515344,3.271115757,3.56549802,3.860737926,3.968197107
Italy,2.391822,2.339736562,2.553549273,2.638312668,2.623649836
Jamaica,2.961128,3.163887564,3.182247607,3.139686797,3.317666054
Japan,3.315706,3.311275243,3.263052364,3.200978943,3.261473179
Jordan,3.663409771,3.991304398,3.73477839,3.518394437,3.169870853
Kazakhstan,3.938506,3.917131293,3.800605597,3.638511983,3.478851795
Kenya,3.806087,3.650576797,3.715298344,3.934171247,3.996917009
"South Korea",4.139119,4.239392405,3.942455447,3.722128808,3.861500025
Kuwait,3.861111,3.66249734,3.338465397,3.118965516,3.030708313
Kyrgyzstan,1.909511,2.062076493,2.271154891,2.400824217,2.308261871
Laos,3.410539,3.376388952,3.197229823,3.381800081,3.505912304
Latvia,2.656533,2.734956304,2.639269298,2.436509588,2.276178122
Lebanon,2.416055,2.155176741,2.427702232,2.574199554,2.620640516
Lesotho,3.273001,3.552893406,3.797762538,3.195574115,3.102688789
Liberia,4.071715,4.0171,3.962500095,3.788377302,3.671946526
Libya,2.233949,2.27439249,,,
Lithuania,2.139298,2.31230724,2.551944684,2.516430599,2.378293514
Luxembourg,5.434823,5.481187957,5.474587157,5.512511896,5.552621365
"Macedonia (F.Y.R.O.M.)",2.149868,2.165973455,2.100987768,2.162148123,
Madagascar,3.016015,3.00811385,3.189635129,3.308406718,3.13572669
Malawi,3.627814,3.542019686,3.188673225,2.954283084,3.114674091
Malaysia,4.630383,5.027169808,5.303943037,5.096969748,4.90033102
Mali,3.40292,3.332347365,3.256115118,3.274871512,3.095047474
Malta,4.707001,4.32195876,4.261875856,4.412494833,4.575451851
Mauritania,2.099787,2.458729905,2.575473224,2.1421609,2.050111055
Mauritius,3.886137,3.916420194,3.956324003,4.005729126,4.017661095
Mexico,3.321569,3.301817155,3.374259344,3.513555207,3.521475315
Moldova,1.741008,1.823136898,1.746442958,1.720782591,1.836471438
Mongolia,2.206855,2.657241236,2.751851857,2.473205138,2.552291155
Montenegro,3.099161,2.949514353,2.779731336,2.5145192,2.592342377
Morocco,3.882902,3.896503605,3.551012336,3.373183627,3.29740119
Mozambique,3.676048,3.607275156,3.675502582,3.568632615,3.32832408
"Burma (Myanmar)",2.439553,2.702778846,2.662801159,,
Namibia,3.457989,3.413498703,3.641497957,3.843263376,3.672832966
Nepal,1.985473,2.278505242,2.50448793,2.490172346,2.443727016
Netherlands,4.731129,4.834508541,4.970110866,4.968936647,5.094868183
"New Zealand",4.308409,4.641368604,4.738385695,4.878686204,5.246874809
Nicaragua,3.336828,3.122575419,2.798529371,2.798529371,2.886363745
Nigeria,3.819875,3.800440324,3.700183111,3.692614104,3.56874609
