Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9499998092651,11.8221,12.6942,13.5663,14.4384,15.3105,16.1826,17.0547,17.9268,18.7989,19.6711,20.5432,21.4153,22.2874,23.1595,24.0316,24.9037,25.7758,26.6479,27.5200004577637,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95160007476807,4.0935,4.2355,4.3774,4.51929998397827,8.5366,12.5538997650146,15.5022,18.4504,21.3987007141113,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.3372993469238,47.2323,37.1273,27.0224,16.9174,6.81239986419678,20.8600006103516,16.6201000213623,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.943000793457,27.2952995300293,27.9587993621826,31.8365001678467,19.4664001464844,23.3484992980957,27.0660991668701,32.8133010864258,40.8205986022949,34.8376998901367,27.7884998321533,25.7959995269775,25.8505001068115
"United Arab Emirates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9200000762939,12.9692,13.0184,13.0677,13.1169,13.1661,13.2153,13.2645,13.3137,13.363,13.4122,13.4614,13.5106000900269,14.2523,14.9940004348755
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.3772010803223,30.6436004638672,29.1471004486084,25.6852,22.2231998443604,24.6888008117676,23.6247005462646,22.1688995361328,23.0510997772217,23.5093002319336,22.3610992431641,23.8731,25.3852,26.8971996307373,27.7735996246338,28.7766990661621
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0881996154785,54.4655990600586,46.7602005004883,47.956600189209,44.9179000854492,40.6514015197754,41.4641990661621,44.5340995788574,36.6988983154297,45.7001991271973,44.8196983337402,39.0255012512207,
"American Samoa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1199998855591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antigua and Barbuda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5499992370605,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,14.5073003768921,13.9314002990723,12.9294996261597,14.535400390625,17.0058994293213,15.9042997360229,14.681300163269,14.7917003631592,14.8123998641968,13.4603996276855,11.7121000289917,12.7847003936768,16.289400100708,17.6312007904053,17.2332992553711,16.2817993164063,14.8396997451782,14.8225002288818,14.6635999679565,13.5401000976563,12.4441995620728,11.2320995330811,12.2868995666504,11.7319002151489,11.2827997207642,10.8703002929688,10.3414001464844,9.47259998321533,9.24779987335205,8.6008996963501,10.3509998321533,11.1265001296997,10.7838001251221,10.9567003250122,11.3562002182007,12.4702997207642,11.9148998260498,11.3992004394531,11.4695997238159,10.6795997619629,10.6069002151489
Austria,,,,,,,,,,,,,,,,,,,,,,,6.34999990463257,7.94000005722046,5.28999996185303,4.40000009536743,4.42999982833862,5.40000009536743,5,4.73000001907349,3.77999997138977,3.40000009536743,4,4.57999992370605,5.24100017547607,6.16820001602173,6.52159976959229,7.33459997177124,7.61339998245239,6.37099981307983,5.58790016174316,5.79570007324219,6.56489992141724,6.76109981536865,11.8866996765137,10.3121995925903,9.75010013580322,9.61970043182373,8.60470008850098,10.097900390625,9.37040042877197,9.09980010986328,9.22710037231445,10.010199546814,9.92549991607666,10.0130996704102,10.2250995635986,8.74030017852783,9.37269973754883,7.79180002212524
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8799991607666,25.4099998474121,25.6499996185303,24.5699996948242,20.7299995422363,21.2000007629395,16.2099990844727,14.25,11.710000038147,12.0600004196167,14.8500003814697,13.4399995803833,15.2399997711182,16.3299999237061,16.12,15.9099998474121,15.7799997329712,15.38,14.98,14.58,14.1800003051758
