Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,,10239002,11003229,11864748,12711757,13423140,13670152,13786204,13808447,13873628,14005348,14257195,14550709,14876829,15122600,15268116,15328922,15278039,15175481,15066330,14977647,14913717,14857328,14786967,14675593,15080213
Albania,,,,,137924,137075,136225,132228,131398,127460,120472,116287,118989,118545,118051,120459,119702,121771,123787,125883,128173,130734,133418,138964,141566,141154
Algeria,2202551,2230564,2256031,2278473,2410792,2543578,2676439,2839250,2972902,3107327,3274284,3411953,3583445,3726404,3906900,4094478,4256017,4459010,4671336,4894275,5164822,5412475,5672443,5942477,6258130,6538931
"American Samoa",3010,2903,2777,2637,2435,2273,2103,1923,1733,1476,1265,1047,822,591,356,59,,,,,,,,,,
Angola,6609092,6803968,7028843,7251420,7432779,7690988,7943116,8178228,8418845,8660723,8927422,9221913,9541948,9866226,10206352,10558373,10901171,11254760,11619530,11973809,12362270,12714747,13100190,13467140,13837120,14208246
"Antigua and Barbuda",1734,1683,1711,1748,1793,1767,1815,1866,1916,1882,1922,1956,1984,1920,1942,1964,1987,1919,1942,1965,1988,2010,2032,2054,2076,2098
Argentina,2029244,1958441,1918344,1841990,1762464,1714746,1629305,1576695,1522147,1429275,1371126,1311503,1250349,1187591,1123132,1056928,988972,919315,848030,775189,742030,666510,589354,510479,472797,390760
Armenia,,,320181,312768,308664,305647,300980,281978,264238,244032,227150,210495,191136,172015,153031,134157,115382,96791,78522,60660,46037,28756,8646,2894,,
Aruba,5593,5622,5732,5873,5906,5944,5907,5811,5586,5429,5269,5109,4845,4657,4443,4201,3832,3543,3243,2942,2643,2245,1949,1961,1972,1982
Azerbaijan,2212131,2254010,2295802,2338440,2317085,2290130,2259033,2218225,2183988,2139377,2084587,2027800,1977612,1918545,1860656,1804248,1756302,1699097,1665046,1619451,1557345,1504385,1440847,1384270,1315841,1254414
Bahamas,,,,10033,10208,10366,10500,10618,10732,10569,10128,10003,9584,9472,9031,8890,8396,8216,7671,7452,6856,6598,5953,6036,6115,6189
Bahrain,25292,25998,26677,27347,25281,22548,19675,17253,14115,10821,7311,4185,,,,,,,,,,,,,,
Bangladesh,33874177,33814231,33700247,33540066,33344311,33119217,32864074,32697625,32370679,31999363,31579498,31246968,30735150,30167123,29533265,28973082,28201393,27515029,26785047,26028664,25104602,24318083,23670512,22847837,21997929,21117316
Barbados,10155,9667,9439,8945,8712,8214,7978,7474,7235,6723,6476,5955,5701,5173,4916,4384,4126,3590,3328,2785,2516,1964,1690,1130,850,853
Belarus,50945,50970,51080,51195,51135,50970,50800,50585,50345,50134,49898,49643,49328,48984,48651,48320,38420,38244,38112,38027,37962,37893,28393,28398,28424,28469
Belize,50827,49502,47996,46440,44772,43462,42308,41219,39839,38483,36850,34933,32776,30412,27885,25212,22388,19396,16227,12557,9005,4938,2357,1721,1758,1796
Benin,2135775,2157640,2180707,2214227,2239974,2261829,2279253,2299080,2309885,2325770,2334423,2342399,2356412,2361454,2371501,2370721,2374683,2367341,2365561,2352458,2345811,2336818,2315540,2301024,2283650,2337285
Bhutan,150438,149365,146701,136534,127060,118937,112684,106808,101925,97012,92320,86671,81257,75436,69791,63037,57139,50148,43459,36437,29106,22215,15059,6885,,
Bolivia,2180286,2132719,2082458,2051219,2010511,1974912,1937078,1904747,1870117,1824745,1784656,1741757,1704709,1656359,1605226,1560445,1513183,1453982,1401579,1346707,1299290,1239636,1177485,1123229,1056216,1072471
