Country,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.88,3.91,4.49,4.4767,4.4633,4.45,3.5,2.8,4.57,5.41,5.29,4.81,4.96,4.27,4.52,5.15,6.5,4.99,5.3,5.76,4.61,6.61,4.71,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.74,2.86,2.6,2.56,2.79,2.8,2.76,3,2.87,3.01,2.74,2.69,2.72,2.79,2.84,3.11,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.78,5.67,5.56,5.79,6.5,5.97,6.16,
Australia,3.83,3.52,4.11,3.4,4.06,5,3.95,4.26,4.27,4.35,3.8,4.29,4.47,4.91,4,4.72,4.36,4.36,4.37,5.08,4.87,4.75,4.67,4.9,4.94,5.23,5.11,4.8,5.26,5.29,5.09,4.87,4.91,5.22,4.83,5.35,5.02,5.4,5.23,5.18,4.94,5.33,5.18,4.88,4.99,5.08,5.05,5.04,4.79,4.76,4.52,4.28,4.54,4.6,4.49,4.61,4.63,,
Austria,2.39,2.43,2.41,2.28,2.4,3,2.16,2.9,2.82,2.71,3.31,2.93,3.29,3.18,2.7,2.9,3.86,4.36,3.05,3.2,3.51,3.63,3.42,3.7,3.8,3.44,3.46,3.93,3.42,4.68,4.07,3.48,4,3.52,4.53,4.07,4.05,4.4,4.03,4.18,3.66,4.92,4.6,4.72,4.27,4.64,4.61,4.35,4.56,4.56,4.53,3.99,4.02,3.6,4.15,3.85,3.7,4.33,4.22
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,5.01,4.37,3.91,3.7333,3.5567,3.38,,,,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.18,1.31,2.94,5.55,1.13,3.65,5.33,0.62,2.45,0.59,2.77,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,3.84,3.905,3.97,4.035,4.1,3.91,4.24,4.07,3.9,,
Belgium,3.18,3.46,3.65,3.43,3.76,4.34,3.49,3.84,4.19,3.95,3.91,4.57,4.88,4.63,4.41,4.5,4.6,5.48,5.8,5.6,5.25,4.97,5.46,6.27,6.06,6.95,7.03,6.56,6.68,6.43,6.46,6.49,6.4533,6.4167,6.38,6.3433,6.3067,6.27,5.74,5.76,6.34,5.52,5.38,4.86,5.29,4.63,4.59,4.1,4.13,4.34,3.91,3.96,4.17,4.56,4.14,4.48,4.42,4.61,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.78,2.88,8.39,2.55,2.23,1.91,1.67,1.98,2.29,4.54,4.12,2.9,1.2,3.47,4.41,5.35,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.97,3.52,3.68,3.67,3.79,3.91,3.83,3.92,3.98,4.21,4,4.17,4.12,4.24,4.4,4.41,4.43,
Bulgaria,,,,,,,,,,,,2.85,2.86,3,2.14,2.26,2.53,2.47,3.03,3.2,2.98,2.33,2.16,2.21,2.42,2.23,4.8,3.94,4.4,4.86,5.4,4.93,6.03,5.07,4.53,5.06,5.3,4.69,4.62,5.34,5,5,5.67,4.91,5.22,4.28,4.93,5.81,5.27,5.47,6.15,6.46,6.31,7.73,5.9,5.79,6.26,6.47,
Canada,3.71,4.29,3.98,4.58,3.89,4.48,4.44,4.14,4.48,4.73,4.23,4.72,4.63,4.82,4.83,4.73,5,5,4.84,4.94,4.58,4.84,4.39,5.12,4.45,5.28,4.7,4.95,4.64,5.03,4.79,4.75,4.91,4.97,4.64,4.88,4.33,4.59,4.36,4.44,4.51,4.63,4.52,4.52,4.42,4.49,4.28,4.1,4.16,4.24,4,4.3,4.28,4.26,4.35,4.13,4.13,,
Chile,0.43,0.83,1.04,1.14,0.99,0.74,0.41,0.58,0.77,0.91,1,0.82,0.85,0.8743,0.8987,0.923,0.9473,0.9717,0.996,1.0203,1.0447,1.069,1.0933,1.1177,1.142,1.1663,1.1907,1.215,1.2393,1.2637,1.288,1.3123,1.3367,1.361,1.3853,1.4097,1.434,1.4583,1.4827,1.507,1.5313,1.5557,1.58,1.87,1.66,1.78,2.21,1.87,1.81,2.22,2,1.78,2.13,2.2,2.38,2.36,2.46,2.19,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.91,2.88,3.25,3.22,2.98,3.02,2.82,3.42,3.19,3.04,3.09,2.77,2.73,2.47,2.31,,
