Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,17,17,20,20,20,20,20,20,20,20,20,20
Albania,45,44,44,44,44,44,44,44,42,34,34,34
Algeria,39,39,27,27,27,27,27,27,27,27,27,27
Angola,32,32,32,32,32,32,32,32,32,32,32,31
"Antigua and Barbuda",45,45,45,57,57,57,57,57,57,57,57,57
Argentina,62,19,19,9,9,9,9,9,9,9,9,9
Armenia,54,54,54,54,54,54,38,17,14,14,14,14
Australia,13,12,12,12,11,11,11,11,11,11,11,11
Austria,12,12,12,12,12,12,12,12,12,12,12,12
Azerbaijan,37,37,37,22,22,18,18,18,18,7,7,6
Bahamas,,,19,19,19,19,19,19,19,19,19,31
Bahrain,,,25,25,25,13,13,13,13,13,13,13
Bangladesh,33,21,33,21,34,22,34,33,33,33,33,33
Barbados,,,,,,,27,27,27,27,28,28
Belarus,125,125,124,112,107,82,18,10,10,7,7,7
Belgium,11,11,11,11,11,11,11,11,11,11,11,11
Belize,41,41,41,40,40,40,29,29,29,29,29,29
Benin,55,55,55,55,55,55,55,55,55,55,57,57
Bhutan,18,18,18,18,18,18,18,18,18,18,18,18
Bolivia,42,42,42,42,42,42,42,42,42,42,42,42
"Bosnia and Herzegovina",55,55,55,55,55,55,55,44,40,45,45,34
Botswana,34,34,34,34,34,34,34,34,34,34,34,34
Brazil,11,11,11,11,10,10,10,10,9.6,9.6,9.6,9.6
Brunei,,15,15,15,15,15,28,28,28,28,19,16
Bulgaria,29,29,15,15,15,15,15,14,14,14,14,14
"Burkina Faso",45,45,45,45,45,46,46,46,45,45,45,45
Burundi,33,33,33,33,33,33,25,25,25,25,25,25
"Cape Verde",44,44,44,44,44,31,31,30,30,30,30,30
Cambodia,39,39,39,39,39,39,39,40,40,40,40,40
Cameroon,45,45,45,45,44,44,44,44,44,44,44,44
Canada,9,9,9,9,9,8,8,8,8,8,8,8
"Central African Republic",66,54,54,54,54,54,54,56,56,56,56,56
Chad,54,54,54,54,54,54,54,54,54,54,54,54
Chile,8,8,8,8,8,7,7,7,7,7,7,7
China,37,37,37,11,9,9,9,9,9,9,9,9
Colombia,70,70,70,32,21,21,10,10,10,11,11,12
Comoros,33,33,33,33,33,33,33,33,33,33,33,33
"Congo (Kinshasa)",40,40,40,40,40,40,40,40,40,50,52,52
"Congo (Brazzaville)",61,61,61,61,61,61,61,61,49,49,50,50
"Costa Rica",43,43,43,43,43,43,32,24,24,24,10,10
"Ivory Coast",67,67,67,67,67,65,63,63,63,63,63,63
Croatia,40,40,40,29,29,30,30,30,19,19,19,31
Cyprus,,,,29,29,29,29,30,31,30,28,28
"Czech Republic",27,12,12,12,12,12,8,8,8,8,8,8
Denmark,10,10,10,10,10,10,10,10,10,10,10,10
Djibouti,23,23,23,23,23,36,36,36,36,36,36,36
Dominica,37,37,37,37,37,37,37,37,37,37,37,37
"Dominican Republic",75,63,62,7,7,7,7,7,7,7,7,7
Ecuador,8,8,8,8,8,8,8,8,8,8,8,8
Egypt,42,41,36,29,29,29,29,29,29,29,29,29
"El Salvador",41,41,41,41,41,41,41,41,41,41,41,41
"Equatorial Guinea",46,46,46,46,46,46,46,46,46,46,46,46
Eritrea,30,30,30,30,30,30,30,30,30,30,30,30
Estonia,7,7,7,7,7,7,8,9,8,8,8,8
Ethiopia,30,30,30,30,30,30,30,30,30,30,30,30
Fiji,33,33,33,33,33,33,33,34,38,39,39,38
Finland,20,20,20,20,8,8,8,8,8,8,8,8
France,20,20,20,8,8,8,8,8,8,8,8,8
Gabon,26,26,26,26,26,26,26,26,26,26,26,26
Gambia,48,50,48,50,48,48,49,48,48,49,49,49
Georgia,46,33,30,30,30,30,5,5,5,5,5,5
