Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Albania,1227,1254,1283,1315,1353,1392,1434,1477,1521,1571,1623,1677,1728,1780,1832,1884,1933,1984,2039,2100,2157,2209,2264,2296,2348,2401,2455,2509,2563,2618,2671,2724,2780,2837,2896,2957,3015,3075,3137,3196,3251,3187,3078,3072,3117,3164,3209,3231,3219,3193,3164,3134,3104,3075,3051,3030,3011,2997,2990,2988,2992,3000,3008,3017,3026,3035,3044
Algeria,8893,9073,9280,9532,9611,9842,10057,10271,10485,10696,10909,11122,11001,11273,11613,11963,12339,12760,13146,13528,13932,14335,14761,15198,15653,16140,16635,17153,17686,18230,18806,19407,20034,20681,21341,22008,22643,23255,23881,24496,25089,25722,26387,27045,27647,28208,28721,29200,29649,30083,30515,30952,31397,31847,32320,32785,33286,33866,34480,35126,35805,36507,37217,37934,38657,39383,40102
Angola,4118,4173,4232,4294,4358,4423,4491,4561,4636,4715,4797,4752,4826,4920,5026,5135,5201,5247,5350,5472,5606,5753,5895,6026,5987,5885,5943,6164,6287,6453,6743,6880,7019,7241,7442,7585,7749,7878,8023,8154,8297,8519,8761,9035,9323,9621,9916,10207,10508,10809,11093,11369,11690,12084,12521,12919,13297,13690,14084,14489,14907,15346,15793,16239,16696,17166,17644
Argentina,17150,17517,17877,18231,18581,18928,19272,19611,19947,20281,20616,20951,21284,21616,21949,22283,22612,22934,23261,23600,23962,24364,24780,25210,25646,26082,26531,26984,27440,27902,28370,28848,29330,29784,30231,30672,31145,31625,32099,32572,33036,33505,33967,34408,34847,35274,35683,36103,36518,36924,37336,37695,38000,38337,38742,39182,39615,40049,40483,40914,41344,41770,42193,42612,43025,43432,43834
Armenia,1355,1379,1417,1456,1506,1565,1617,1672,1733,1796,1869,1944,2007,2066,2135,2206,2274,2338,2402,2463,2520,2582,2647,2713,2777,2834,2893,2955,3014,3067,3115,3166,3219,3270,3322,3374,3422,3469,3516,3326,3377,3434,3357,3185,3060,2995,2985,2978,2972,2970,2966,2965,2962,2955,2953,2951,2948,2946,2943,2941,2939,2937,2934,2932,2928,2924,2919
Australia,8267,8511,8691,8858,9064,9277,9501,9713,9915,10132,10361,10599,10795,11001,11218,11439,11655,11872,12102,12379,12660,12937,13177,13380,13599,13771,13916,14074,14249,14422,14616,14923,15162,15348,15510,15695,15900,16137,16400,16681,16956,17202,17419,17608,17781,17975,18196,18415,18621,18830,19053,19294,19535,19766,19995,20232,20489,20749,21007,21262,21515,21766,22015,22262,22507,22751,22992
Austria,6935,6935,6928,6932,6940,6947,6952,6966,6987,7014,7047,7086,7130,7176,7224,7271,7322,7377,7415,7441,7467,7500,7544,7586,7599,7579,7566,7568,7562,7549,7549,7565,7575,7553,7554,7560,7568,7579,7600,7628,7723,7818,7915,7989,8028,8047,8061,8070,8079,8094,8113,8142,8178,8216,8263,8315,8352,8380,8407,8428,8448,8475,8513,8563,8616,8666,8712
Azerbaijan,2885,2983,3091,3159,3223,3314,3417,3526,3631,3741,3882,4034,4157,4283,4430,4567,4702,4827,4945,5059,5169,5284,5394,5498,5599,5696,5790,5887,5986,6082,6173,6271,6369,6470,6579,6682,6776,6874,6976,7102,7200,7300,7412,7528,7637,7731,7815,7897,7979,8056,8127,8194,8257,8319,8391,8475,8565,8657,8750,8842,8933,9024,9117,9210,9302,9393,9481
Bahrain,115,118,120,123,127,130,134,139,144,150,157,164,172,179,186,191,197,202,208,214,220,225,231,239,248,259,274,297,323,336,348,363,378,393,408,424,440,455,469,485,500,517,532,547,562,576,590,605,619,633,648,665,707,773,839,907,974,1043,1096,1133,1168,1202,1236,1268,1301,1333,1365
Bangladesh,45646,46150,46882,47653,48593,49588,50462,51346,52377,53459,54593,55709,56803,58186,59359,60284,61496,62765,64072,65417,67331,69150,70677,72383,74585,76153,77821,80314,82813,85361,87937,90517,92626,94788,96955,99154,101438,103816,106284,108842,111437,113123,114951,116807,118689,120603,122579,124638,126777,128981,131237,133548,135923,138342,140754,143142,145504,147864,150244,152638,155039,157474,159970,162523,165131,167789,170510
Barbados,211,215,218,221,225,227,226,226,228,231,232,230,229,231,233,235,236,238,240,239,239,241,242,244,246,247,248,249,250,251,252,252,253,255,256,257,258,259,260,261,262,263,265,266,267,268,269,270,271,273,274,275,276,278,279,280,281,282,283,285,286,287,288,289,290,291,291
Belarus,7722,7742,7698,7667,7699,7781,7857,7913,7983,8075,8168,8263,8365,8439,8502,8591,8694,8787,8865,8946,9027,9101,9169,9236,9304,9360,9406,9457,9520,9582,9644,9713,9779,9845,9914,9982,10044,10097,10150,10184,10201,10206,10228,10251,10239,10205,10171,10129,10092,10064,10034,10000,9955,9905,9856,9807,9764,9734,9713,9697,9681,9662,9644,9626,9609,9590,9571
Belgium,8639,8678,8730,8778,8819,8868,8924,8989,9053,9104,9119,9166,9218,9283,9367,9448,9508,9557,9590,9613,9638,9673,9709,9738,9768,9795,9811,9822,9830,9837,9847,9852,9856,9856,9855,9858,9862,9870,9884,9938,9969,10004,10046,10085,10123,10155,10179,10200,10217,10236,10264,10292,10326,10369,10413,10469,10536,10610,10693,10778,10866,10963,11058,11148,11237,11324,11409
Bolivia,2766,2824,2883,2945,3009,3074,3142,3212,3284,3358,3434,3513,3594,3678,3764,3853,3945,4041,4139,4241,4346,4455,4566,4680,4796,4914,4956,5080,5205,5327,5441,5545,5642,5737,5834,5935,6041,6156,6283,6423,6574,6731,6893,7054,7215,7375,7534,7695,7859,8026,8195,8367,8542,8719,8896,9073,9250,9426,9601,9775,9947,10119,10290,10461,10631,10801,10970
Brazil,53443,54996,56603,58266,59989,61774,63632,65551,67533,69580,71695,73833,76039,78317,80667,83093,85557,88050,90569,93114,95684,98265,100874,103513,106182,108879,111603,114373,117207,120101,123020,125992,129028,131960,134699,137382,140196,143027,145873,148659,151170,153735,156281,158813,161327,163819,166306,168806,171317,173839,176369,178873,181316,183692,185994,188212,190348,192408,194394,196305,198142,199924,201670,203378,205045,206667,208249
