Country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Brazil,,,,,,,,,,,,,,,,,,,,,,,33.9591865113412,33.0518,32.1444,31.237,30.3296,29.4222,28.5148,27.6074,26.7,25.7925808124363,26.3907,26.9889,27.587,28.1852,28.7833,29.3814,29.9796,30.5777,31.1759,31.7740184945597,31.2151,30.6561,30.0972,29.5382675341377,,,,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.8395061728395,47.8589,49.8783,51.8978,53.9172,55.9366,57.956,59.9754,61.9949,64.0142857142857,,,,,,,,,,,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,130.202872831143,125.6603,121.1178,116.575295355623,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.83363752358804,,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,33.8637671726315,36.4625,39.0612,41.6599,44.2586,46.8573,49.456,52.0547476545556,50.1591,48.2634,46.3677923583248,45.9226,45.4774,45.0323,44.5871,44.1419309085617,,,,,,,,,,,,,,,,
"Central African Republic",,,,,,,,,,,,,,,,,,,,,,,69.6421949080721,66.0739,62.5055,58.9372,55.3689,51.8005,48.2322,44.6639,41.0955,37.5272,33.9589,30.3905,26.8222,23.253854721863,23.2542,23.2546,23.2549,23.2553,23.2556159790338,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,19.8613380453044,19.9428,20.0243,20.1058,20.1873,20.2687925941025,21.1064,21.9441,22.7817,23.6194,24.4570372220717,25.7456,27.0342,28.3227,29.6113,30.8998,32.1884,33.477,34.7655,36.0541,37.3427,38.6312119532107,39.4846,40.3378974281582,,,,,,,
Switzerland,,,,,,,,,,,122.81110862247,125.0454,127.2798,129.5141,131.7484,133.982762332861,135.4418,136.9008,138.3598,139.8188,141.277813872654,143.7804,146.2831,148.7857,151.2883,153.7909,156.2935,158.796154473669,162.012,165.2279,168.4438,171.6597,174.875581278226,179.1654,183.4552,187.7449,192.0347,196.324512371235,206.5992,216.8738,227.1485,237.4232,247.6978,257.9725,268.2472,278.5218,288.7965,299.071182906904,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6520122891311,4.7099,4.7677,4.8255,4.8834,4.9412,4.999,5.0569,5.1147,5.1726,5.2304,5.2882,5.3461,5.4039,5.46175439723875,,,,,,,,,,
China,,,,,,,,,,,,,,,,0.767650167731662,0.849,0.9303,1.0116,1.0929,1.17426062760083,1.2705,1.3667,1.463,1.5592,1.6554644544692,1.8501,2.0447,2.23936075362304,2.4994,2.7595,3.0196,3.2797,3.5398,3.7998,4.05992413600265,4.6268,5.1937,5.7606,6.3274,6.8943,7.4612,8.02807819821105,8.8208,9.6136,10.4063,11.199,11.9917758079338,12.9947,13.9976,15.0005328139698,
"Ivory Coast",,,,,,,,,,,,,,,,,,,,,,,24.3545944458771,21.6247,18.8948,16.1649548688457,15.7468,15.3287,14.9106,14.4924834957546,14.7175,14.9425,15.1675,15.3925,15.6175,15.8425617635552,15.5562,15.2699,14.9836,14.6973,14.4109249235885,,,,,,,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,47.0336289681366,45.0029,42.9721,40.9414,38.9106,36.8798753046611,34.5707,32.2615,29.9523,27.6431,25.3339,23.0247,20.7155,18.4063118370184,,,,,,,,,,,,,,,,
"Congo (Kinshasa)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.3864836959902,23.5268,23.6671,23.8074,23.9477,24.0880393826424,,,,,,,,,,,
"Congo (Brazzaville)",,,,,,,,,,,,,,,,,,,,,,,157.118958713975,158.6567,160.1944,161.7321,163.2698,164.8075,166.3453,167.883,169.4207,170.9584,172.4961,174.0338,175.5716,177.1093,178.647,180.184716532205,,,,,,,,,,,,,,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8793705306916,24.6491,24.4188,24.1885,23.9582,23.728,23.4977,23.2674,23.0371245291381,,,,,,,,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.4135853658298,,,,,,,,,,,,,,,,,
"Cape Verde",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.7651273422872,,,,,,,,,,,,,,,
"Costa Rica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7515661356701,,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.95242773547396,6.4604,6.9683,7.4762,7.9841,8.4921,9,9.5079,10.0159,10.5238,11.0317,11.5396,12.0475660561438,11.716,11.3845,11.053,10.7214,10.3899,10.058374257741,,,
Cyprus,,,,,,,,,,,23.8269267296482,26.3772,28.9274,31.4777,34.028,36.5782295928356,37.7376,38.897,40.0564,41.2158,42.3751508262084,44.5308,46.6864,48.842,50.9976,53.1532497577851,56.5168,59.8803,63.2437971732024,69.2155,75.1873,81.159,87.1308,93.1025,99.0742,105.046,111.0177,116.989450105801,123.8624,130.7354,137.6084,144.4814,151.354424074367,145.9914,140.6284,135.2654,129.9023,124.539314383906,105.097135938993,,,
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.7798585586118,62.8739,67.968,73.0621,78.1561,83.2501885786685,87.6802,92.1103,96.5404,100.9704,105.400465954392,107.0773,108.7541,110.431,112.1078,113.784609022845,126.341989922858,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,58.5127214092134,59.5982,60.6837,61.7692,62.8546748610175,65.8932,68.9317,71.9702,75.0087,78.0472,81.0857386997658,85.2617,89.4376,93.6135,97.7895,101.9654,106.141357971234,105.0779,104.0145,102.951017752765,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4929859646078,21.9716,22.4502,22.9288,23.4074703778255,23.7838,24.1601,24.5364,24.9127191986107,24.8758,24.8389,24.802,24.7651,24.7282,24.6912962962963,,,,,,
Denmark,,,,,,209.074651785065,194.3879,179.7011,165.0143,150.3275,135.640713105515,139.4448,143.2488,147.0529,150.857,154.66103046216,148.7548,142.8486,136.9424,131.0362,125.12998419619,136.8819,148.6339,160.3858,172.1378,183.889709024365,200.1515,216.4132,232.675,248.9368,265.1985,281.4603,297.722050890097,330.7118,363.7016,396.6914,429.6812,462.671043200856,490.3603,518.0495,545.7388,573.428,601.117247738158,583.5747,566.0322,548.4896,530.9471,513.404566351701,,,,
"Dominican Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.05478911568874,7.1367,7.2187,7.3007,7.3826,7.46457797083887,7.481,7.4974,7.5138,7.5302,7.54661280033573,,,,,,
Algeria,,,,,,19.5890092839401,19.8224,20.0557,20.2891,20.5224,20.7557812782652,21.2738,21.7919,22.3099,22.8279,23.3459829391734,23.7392,24.1324,24.5256,24.9188,25.3120604678838,24.3984,23.4847,22.571,21.6573,20.7435553931027,20.6701,20.5966,20.5231,20.4496,20.3761,20.3026,20.2291,20.1556,20.0822,20.0087,19.9351852888515,20.1194,20.3037,20.4879,20.6722,20.8564,21.0407,21.2249,21.4092,21.5934,21.7777,21.9619453908789,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9598986952454,5.1554,5.3509,5.5465,5.742,5.93750359711322,,,,,,,,,,,
Egypt,,,,,,,,,,,0.642018468516518,0.6981,0.7541,0.8101,0.8662,0.9222,0.9782,1.0343,1.0903,1.1464,1.2024,1.2584,1.3145,1.3705,1.4266,1.4826,1.5386,1.5947,1.6507,1.7068,1.7627890579685,1.8884,2.014,2.1397,2.2653,2.39090144073215,2.4484,2.5059,2.5634,2.6209,2.6784,2.7359,2.7934,2.851,2.9085,2.96596645670397,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.52223541071671,3.3336,3.1451,2.9565,2.76788334402676,,,,,,,,,,,,
Spain,,,,,,,,,,,16.4779227703707,16.4652,16.4525,16.4399,16.4272,16.4144699173815,16.3145,16.2145,16.1145,16.0145,15.9145,15.8145048476121,17.5282,19.2418,20.9555,22.6692,24.3828399193703,25.1687,25.9545,26.7404,27.5262,28.3121,29.0979341950554,30.2089,31.3199,32.4309,33.5419,34.652878928341,36.0775,37.5022,38.9269,40.3516,41.7762307309099,40.8629,39.9495,39.0362,38.1228,37.2094972284669,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.62685816733409,8.1459,8.665,9.1841,9.7032,10.2223,10.7414,11.2604570106998,11.5835,11.9066,12.2297,12.5528,12.8759031824784,12.9765,13.0771,13.1776,13.2782,13.378781136324,13.3101,13.2413803900199,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58632498898327,2.4816,2.3768,2.27207428101961,2.5244,2.7768,3.0292,3.2816,3.5339,3.7863,4.0387,4.291,4.5434,4.7958,5.04816461555798
Finland,,,,,,25.4983407917082,26.2766,27.0548,27.8331,28.6114,29.3896024409492,30.1027,30.8159,31.529,32.2421,32.95526000227,33.3848,33.8144,34.244,34.6736,35.1032079874253,42.2575,49.4117,56.566,63.7202,70.8744839957313,69.3019,67.7293,66.1567,64.5842,63.0115677265092,68.4917,73.9718,79.452,84.9321316980223,78.188,71.4438,64.6997,57.9555,51.2114,44.4672,37.7230880996687,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,61.9346774450366,59.7025,57.4703,55.2381,53.0059,50.7738,48.5416,46.3094,44.0772,41.845,39.6128,37.3806,35.1485,32.9162666955004,33.4749,34.0336,34.5922,35.1509,35.7095204397124,,,,,,,,,,,
France,,,,,,,,,,,,,,,,47.8881222408694,47.509,47.1299,46.7509,46.3718,45.9926826152882,46.507,47.0212,47.5355,48.0498,48.564,49.0783,49.5925624017006,53.4948,57.3971,61.2994,65.2017,69.1039482671522,70.1585,71.2131,72.2677,73.3223,74.3769495700601,76.6811,78.9853,81.2895,83.5937,85.8978335850969,86.8934,87.8891,88.8847,89.8803,90.875895294797,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,137.062320173045,134.5073,131.9522,129.3971,126.8421,124.287,121.732,119.1769,116.6218,114.0668,111.5117,108.9566,106.4016,103.846518790957,102.4218,100.9971,99.5723,98.1476,96.7228949683951,,,,,,,,,,,
"United Kingdom",,,,,,,,,,,,,,,,91.3413033578519,97.1269,102.9125,108.6981,114.4837,120.269292586522,123.5489,126.8286,130.1082,133.3878,136.667484542598,138.7798,140.892,143.0043,145.1166,147.228864922092,146.2364,145.2438,144.2513,143.2588,142.2663,141.2738,140.281297220927,172.196,204.1107,236.0254,267.9402,299.854879660016,303.5121,307.1694,310.8266,314.4839,318.141139342301,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.22877567391479,5.6727,6.1167,6.56058953451858,,,,,,,,
Ghana,,,,,,31.3644838908531,30.9425,30.5206,30.0986,29.6766,29.2547,28.8327,28.4108,27.9888,27.5668,27.1449,26.7229,26.301,25.879,25.457,25.0351,24.6131,24.1912,23.7692,23.3472,22.9253,22.5033,22.0813,21.6594,21.2374,20.8155,20.3935,19.9715,19.5496,19.1276,18.7056595880135,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,4.03286366471849,4.4206,4.8083,5.196,5.5838,5.9715,6.3592,6.747,7.1347,7.5224,7.9101,8.2979,8.6856,9.0733,9.4610483255294,,,,,,,,,,,,,,,
Gambia,,,,,,,,,,,,,,,,,,28.528147503177,27.6168,26.7055,25.7941,24.8828,23.9715,23.0601,22.1488,21.2374,20.3261,19.4148,18.5034,17.5921,16.6807,15.7694,14.8581,13.9467,13.0354,12.1240547980708,,,,,,,,,,,,,,,,
"Guinea Bissau",,,,,,,,,,,,,,,,,,,,,,,,,,,39.3080209024714,32.372,25.4359,18.4999,11.5638,4.62777787994589,4.4144,4.201,3.9877,3.77427979671931,,,,,,,,,,,,,,,,
"Equatorial Guinea",,,,,,,,,,,,,,,,,,,,,,,21.7853582684806,35.0186,48.2518,61.485,74.7182,87.9514,101.1847,114.4179,127.6511,140.8843,154.1175,167.3507,180.584,193.817179324119,,,,,,,,,,,,,,,,
Greece,,,,,,27.6812335085291,29.1835,30.6859,32.1882,33.6905,35.1928106803279,35.4937,35.7946,36.0955,36.3964,36.6973498823703,36.1332,35.569,35.0049,34.4407,33.8765225051427,32.6887,31.5008,30.3129,29.1251,27.9372,26.7494,25.5614960900761,25.6537,25.7459,25.8381,25.9303,26.0225443342266,26.7182,27.4139,28.1096,28.8052,29.5009164575969,30.5237,31.5465,32.5693,33.5921,34.6148893934083,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.6847301238685,78.3684,76.0522,73.7359,71.4196,69.1033,66.787,64.4707,62.1545,59.838179048329,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9534965459365,,,,,,,,,,
