Country,2010,2011,2012,2013,2014,2015
Lithuania,4.467656,4.43338286,4.508015158,4.750084848,4.939350214,4.939350214
Luxembourg,6.391727,6.344367733,6.180330075,6.147955638,6.310731438,6.310731438
Latvia,4.261775,4.368221578,4.694887502,4.970980077,5.114854549,5.114854549
Morocco,4.786255,4.786255,4.74404851,4.571581118,4.609016705,4.609016705
Moldova,3.664346,3.640010997,3.701727718,3.72100354,3.760538287,3.760538287
Madagascar,3.631433,3.462773554,3.407582706,3.589266578,3.537348912,3.537348912
Mexico,4.326288,4.59560799,4.740545498,4.583254521,4.338182889,4.338182889
"Macedonia (F.Y.R.O.M.)",3.508411,3.52635106,3.817666944,4.303391518,4.296090107,4.296090107
Mali,3.686711,3.713124569,3.781484495,3.565370415,3.548524469,3.548524469
Malta,5.377176,5.328851122,5.256593582,5.36051695,5.422859585,5.422859585
"Burma (Myanmar)",,,,2.9208,2.797746249,2.797746249
Montenegro,4.414102,4.381811758,4.288583714,4.181450221,4.065480347,4.065480347
Mongolia,3.351372,3.5888572,3.803954715,3.61921402,3.756388502,3.756388502
Mozambique,4.172588,3.924134427,3.77171971,3.667163749,3.720036998,3.720036998
Mauritania,2.58083,2.883221276,3.586159014,3.065205853,2.863477317,2.863477317
Mauritius,5.130423,4.883494725,4.975945846,5.243847075,5.202957178,5.202957178
Malawi,4.034322,3.991566467,3.847774272,3.742882317,3.754232089,3.754232089
Malaysia,5.610152,5.756625739,5.645067557,5.54075113,5.647184358,5.647184358
Namibia,5.243798,4.977332421,4.857972766,4.804483502,4.734402482,4.734402482
Nigeria,4.189793,4.128331905,3.830815277,3.977363593,4.129683902,4.129683902
Nicaragua,4.214919,4.048829594,3.762830418,3.551725332,3.731404843,3.731404843
Netherlands,6.033499,6.132889224,6.24423112,6.012364504,5.902607591,5.902607591
Norway,6.094638,5.981682908,5.936929667,6.01371137,6.024061837,6.024061837
Nepal,3.63602,3.699814475,3.893009,4.08238185,4.18671281,4.18671281
"New Zealand",5.319633,5.600963301,5.758347739,5.661484696,5.745904566,5.745904566
Oman,4.884611,4.752220947,4.875311111,5.102051,4.917137441,4.917137441
Pakistan,4.029594,3.98092168,4.046078758,4.143610933,4.237294785,4.237294785
Panama,6.060277,6.202721921,6.323958995,6.015509169,5.675671794,5.675671794
Peru,5.482826,5.255521433,5.026326282,4.943088233,4.721451107,4.721451107
Philippines,5.059484,4.892301286,4.95083052,5.071753985,4.982372464,4.982372464
Poland,4.779838,4.813707227,4.841092891,4.8600487,4.94275328,4.94275328
