Country,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,9.46,8.62,7.78,6.94,6.1,,
Albania,,,,,,,,,,,,,,12.9,11.78,10.66,9.54,8.42,7.3,8.45,9.6,10.75,11.9,10.5625,9.225,7.8875,6.55,5.2125,3.875,2.5375,1.2,,,
Algeria,,,,,,7,6.5375,6.075,5.6125,5.15,4.6875,4.225,3.7625,3.3,6.65,10,8.5,7,5.5,4,4.0667,4.1333,4.2,4.2667,4.3333,4.4,,,,,,,,
Angola,,,,,,,,,,7.6,7.4947,7.3895,7.2842,7.1789,7.0737,6.9684,6.8632,6.7579,6.6526,6.5474,6.4421,6.3368,6.2316,6.1263,6.0211,5.9158,5.8105,5.7053,5.6,,,,,
Armenia,,,,,,,,,,,,,,2.6,3.2,3.8,4.4,5,5.6,5.46,5.32,5.18,5.04,4.9,4.75,4.6,4.45,4.3,4.15,4,,,,
Azerbaijan,,,,,,,,,,,,,,9.3,9.0333,8.7667,8.5,8.2333,7.9667,7.7,7.1714,6.6429,6.1143,5.5857,5.0571,4.5286,4,,,,,,,
Bangladesh,,,,,,,,,,,22,19.1,16.2,13.3,13.9,14.5,15.1,15.7,16.6,17.5,18.4,17.8,17.2,16.6,16,15.7,15.4,15.1,,,,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,2.4,2.56,2.72,2.88,3.04,3.2,2.925,2.65,2.375,2.1,,,,,
Benin,,,,,,,,,,,,,,,10.2,9.8231,9.4462,9.0692,8.6923,8.3154,7.9385,7.5615,7.1846,6.8077,6.4308,6.0538,5.6769,5.3,5.375,5.45,5.525,5.6,,
Bhutan,,,,,,,,,,,,,3.3,3.4778,3.6556,3.8333,4.0111,4.1889,4.3667,4.5444,4.7222,4.9,5.55,6.2,,,,,,,,,,
