"Data Item",1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"Top 1 percent share of wealth",8.43,8.35,8.02,7.8,7.79,7.75,7.74,8.12,8.01,7.89,7.9,7.95,8.03,8.18,8.03,8.39,8.59,8.89,9.09,9.13,10.75,13.17,12.61,12.98,12.17,13.48,12.82,12.85,13.53,14.11,14.77,15.29,15.87,16.49,15.37,14.99,15.21,16.34,17.68,18.06,18.33,17.89,16.68,17.45,17.47,18.88,17.54,17.85
"Official poverty measure",14.2,12.9,12.1,12.6,12.5,11.89,11.1,11.2,12.2,11.7,11.6,11.3,11.7,13,14,15,15.2,14.4,14,13.5,13.4,13.1,12.8,13.5,14.2,14.8,15.2,14.6,13.8,13.7,13.2,12.7,11.9,11.3,11.7,12.1,12.4,12.7,12.6,12.3,12.4,13.3,14.3,15.1,15,15,14.8,14.8
