Country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Algeria,,,5.7,4.4,7.5,7.6,10.1,10,11,12,12.8,11.8,12,12.2,10.8,10.1,10.7,10.5,9.2,8.8,8,9,9.4,10.8,10.2,13.4,13.7,13.7,15.1,16.1
Libya,,,,,,,,,,11.7,14.2,11.5,10.3,6.3,5.2,4.8,4.9,5,3.6,2.8,3.1,4.375,5.65,6.925,8.2,8.7,10.8,,,
Morocco,,,14.5,15.8,15.1,15.8,16.3,16,17.6,17.8,17,14.5,9,14.5,12.5,13.4,12.3,10.5,11.1,10.7,10.4,10.8,10.9,9.8,9.8,11.6,11.2,10.5,10.6,10.7
Tunisia,,,,6.3,6.3,6.2,6.4,6.3,6.7,6.7,6.6,6.2,6.1,6,5.9,6,5.9,6,6,5.2,5.2,5,5.2,5.3,5.1,5.1,6.4,7.9,8.2,6.9
Angola,,,,,,,,,6,13.9,6.2,27.4,12.9,10.8,9.2,10.9,11.6,13.9,12.3,8.2,6.8,10.5,10.6,8.7,8.7,12,12.9,11.5,12.5,10.3
Benin,,10.5,9.2,8.6778,8.1556,7.6333,7.1111,6.5889,6.0667,5.5444,5.0222,4.5,2.6,2.3,4.1,4.7,5.1,4.8,5.1,4.85,4.6,4.675,4.75,4.825,4.9,4.6,4.9,4.4,4.4,5.2
Botswana,10,9.6,10.3,10.4,10,10.2,10.3,9.1,7.8,8.1,8.6,7.6,8.2,9,9,9.2,8.5,8.2,8.1,7.6,6.5,6,6.2,6.4,6.1,6.2,6.1,7.1,9.8,9.2
"Burkina Faso",13.9,18.8,17.2,14,13.8,9.4,8,7.1,6.5,7,6.3,5.8,6.2,5.9,6.1,6.1,6,5.9,5.1,6.2,6.7,6.3,6,5.9,5.2,4.9,6.1,6.1,5.4,5.1
Burundi,,,17.3,16.4,11.9,13.8,20.1,16.4,20.6,29.1,28.3,24.8,19.7,23.9,22.6,15.2,12,13.4,9.6,8.8,6.6,6.625,6.65,6.675,6.7,7.1,6.7,8.1,10,8.3
Cameroon,,,,,,,,,,,,,8,7.8,8.5,9,8.8,9.2,9.8,9.3,7.8,8.4,8.5,6.4,6.9,6.1,5.7,6,5.9,6.5
"Cape Verde",,,,,,,1.6,2.4,1.8,1.9,2.3,2.1,2.7,2.4,1.8,2.2,1.9,1.9,1.7,1.8,2,1.5,1.3,1.6,1.6,1.6,1.8,1.8,2.1,1.7
"Central African Republic",,,,6.8,7,7.2,5.6,5.6,10.3,9.6667,9.0333,8.4,7.7667,7.1333,6.5,10.3,8.8,6.7,7.6,8.5,9.7,10.9,14,14.5,12,21.2,17.7,11.3,12.2,9.7
Chad,,,,,,,,7.7,8.8,6.1,6.2,7.2,7.5,8.7,8.5,6.8,7.9,7.2,21.5,26.3,31.3,33,23.7,22.4,23.45,24.5,12.8,11.9,21.1,13.8
